Country,Life expectancy at birth(29),Obesity rate (%) (23),GDP(in USD)(1),Intentional Homicide Rate(4),Democracy index(7),Military expenditures(%GDP)(5),Human developement index(6),Tertiary education(>2years)(8),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Importance of Religion(9),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median download speed(Mbit/s)(2),Median ages in years combined,Pure Alcohol consumption(Litres)(3),Oil production April 2022(27)
Japan,84.3,4.3,39650,0.2,8.13,1.1,0.925,60.0,45.9,1.3,24%,-0.23,72.1,1583.2,94.2,167.18,48.6,8.0,3243.0
Switzerland,83.4,19.5,93525,0.5,8.83,0.8,0.962,49.0,72.9,1.52,41%,0.83,81.9,1489.8,91.4,188.69,42.7,11.5,
South Korea,83.3,4.7,34940,0.5,8.01,2.7,0.925,69.0,48.0,0.81,43%,0.36,72.3,1667.4,95.4,241.58,43.2,10.2,
Singapore,83.2,6.1,66822,0.1,6.03,2.8,0.939,,71.1,1.12,70%,1.4,89.4,851.2,81.1,259.11,35.6,2.5,
Spain,83.2,23.8,30058,0.6,8.12,1.5,0.905,41.0,118.6,1.19,49%,0.03,65.7,1499.0,89.3,186.4,43.9,10.0,19.0
Cyprus,83.1,21.8,32281,1.3,7.56,,0.896,,131.3,1.32,75%,0.78,68.1,1961.4,76.5,,37.9,10.8,
Italy,83.0,19.9,35579,0.5,7.74,1.7,0.895,25.0,90.4,1.25,72%,-0.13,62.2,1493.3,85.3,,46.5,7.5,83151.0
Australia,83.0,29.0,66916,0.7,8.96,1.9,0.951,48.0,108.2,1.7,,1.3,80.9,917.0,81.6,,37.5,10.6,310919.0
Israel,82.6,26.1,54111,1.9,7.84,4.5,0.919,46.0,97.1,3.0,51%,1.55,72.8,1280.7,76.3,147.36,30.4,3.8,
Norway,82.6,23.1,89242,0.5,9.81,1.6,0.961,48.0,61.7,1.55,,0.94,73.0,552.8,94.8,159.99,39.5,7.5,1704297.0
France,82.5,21.6,44229,1.1,7.99,1.9,0.903,45.0,101.1,1.83,30%,0.39,63.8,1089.9,92.2,192.25,41.7,12.6,11969.0
Sweden,82.4,20.6,60730,1.1,9.26,1.3,0.947,46.0,76.1,1.67,17%,0.72,75.2,716.2,91.3,169.0,41.1,9.2,
Luxembourg,82.4,22.6,133745,0.6,8.68,,0.93,50.0,141.7,1.38,39%,1.27,75.9,6330.9,89.3,154.26,39.5,13.0,
Iceland,82.3,21.9,69133,0.5,9.37,,0.959,40.0,84.8,1.82,,0.77,77.1,848.1,88.9,,37.1,9.1,
Canada,82.2,29.4,52112,2.1,9.24,1.2,0.936,59.0,108.1,1.43,42%,0.9,77.7,1021.3,89.0,181.99,41.8,8.9,4543800.0
New Zealand,82.0,30.8,48824,2.6,9.25,,0.937,39.0,142.1,1.64,,0.93,84.4,685.1,83.3,153.88,37.2,10.7,6551.0
Malta,81.9,28.9,33642,0.4,7.68,,0.918,,86.9,1.14,86%,0.31,68.6,1527.9,65.5,134.48,42.3,8.1,
Netherlands,81.8,20.4,57871,0.7,8.96,1.6,0.941,45.0,89.3,1.62,,0.29,76.8,1459.9,90.7,152.94,42.8,8.7,29451.0
Ireland,81.8,25.3,101109,0.4,9.05,,0.945,52.0,106.3,1.72,54%,0.78,80.5,976.5,80.7,112.81,37.8,13.0,
Germany,81.7,22.3,51073,0.8,8.67,1.4,0.942,30.0,82.1,1.58,40%,0.2,73.5,1599.5,93.3,120.93,47.8,13.4,33242.0
Portugal,81.6,20.8,24651,0.8,7.9,,0.866,33.0,91.1,1.38,,-0.39,65.3,1133.4,74.1,150.39,44.6,12.3,
Finland,81.6,22.2,53703,1.6,9.2,,0.94,41.0,67.4,1.46,,0.36,74.9,1098.8,97.7,119.32,42.8,10.7,
Austria,81.6,20.1,53840,0.7,8.16,,0.916,39.0,94.1,1.48,,0.24,72.0,1927.0,86.1,117.31,44.5,11.6,9953.0
Belgium,81.4,22.1,51166,1.1,7.51,1.2,0.937,43.0,86.1,1.6,,0.58,67.3,2440.9,86.3,,41.6,12.1,
United Kingdom,81.4,27.8,46542,,8.54,2.2,0.929,49.0,79.6,1.56,27%,0.58,78.9,827.7,96.6,,40.6,11.4,744965.0
Denmark,81.3,19.7,68037,0.8,9.15,1.2,0.948,44.0,145.9,1.72,19%,0.38,76.7,1298.0,92.4,210.71,42.0,10.4,64791.0
Slovenia,81.3,20.2,29135,0.4,7.54,,0.918,41.0,88.0,1.64,47%,0.07,65.5,2236.5,77.4,,44.9,12.6,
Greece,81.1,24.9,,0.9,7.39,3.7,0.887,40.0,78.7,1.39,71%,-0.21,57.7,2078.6,75.9,,45.3,10.4,1497.0
Kuwait,81.0,37.9,32150,0.3,3.8,4.5,0.831,,60.2,2.11,91%,1.78,60.8,1412.7,95.4,130.66,29.7,0.0,2825724.0
Costa Rica,80.8,25.7,,11.4,8.16,,0.809,28.0,40.4,1.53,79%,0.96,65.3,411.4,68.1,,32.6,4.8,
Chile,80.7,28.0,,3.6,8.28,1.8,0.855,36.0,66.4,1.54,70%,0.78,75.4,769.3,76.3,246.39,35.5,9.3,2000.0
Peru,79.9,19.7,,5.7,6.53,,0.762,,34.5,2.19,84%,1.2,67.8,97.7,46.5,,29.1,6.3,40538.0
Maldives,79.6,8.6,,0.6,,,0.747,,16.6,1.69,,1.85,53.2,560.9,52.9,,29.5,2.7,
Colombia,79.3,22.3,,27.5,7.04,3.1,0.752,27.0,33.9,1.72,83%,0.81,67.3,351.4,59.3,,31.2,5.8,751876.0
Panama,79.3,22.7,,12.6,7.18,,0.805,,54.5,2.33,88%,1.55,67.2,219.3,54.5,125.25,30.1,7.9,
Czech Republic,79.1,26.0,26809,0.4,7.67,,0.889,31.0,77.3,1.83,,0.06,73.7,2427.9,79.5,,43.3,14.4,1687.0
Estonia,78.9,21.2,27991,2.0,7.84,,0.89,41.0,67.4,1.61,16%,-0.23,76.6,1759.9,86.8,,43.7,,
Croatia,78.6,24.4,,0.8,6.5,,0.858,,49.9,1.62,70%,-0.58,61.4,1578.9,69.2,,43.9,8.9,10977.0
