Country,Median download speed(Mbit/s)(2)
Romania,178.9
South Korea,241.58
Hong Kong,265.17
Monaco,220.35
Singapore,259.11
Denmark,210.71
Thailand,206.81
Hungary,193.8
Liechtenstein,193.79
France,192.25
United States,191.97
Andorra,191.23
Switzerland,188.69
Spain,186.4
Chile,246.39
China,172.95
Macau,170.3
Sweden,169.0
Canada,181.99
Japan,167.18
Taiwan,163.85
Norway,159.99
Luxembourg,154.26
New Zealand,153.88
Netherlands,152.94
United Arab Emirates,151.09
Portugal,150.39
Israel,147.36
Malta,134.48
Lithuania,132.67
Poland,130.98
Kuwait,130.66
Latvia,128.69
Panama,125.25
Germany,120.93
Finland,119.32
Austria,117.31
San Marino,115.27
Moldova,114.01
Ireland,112.81
