Country,Total Fertility rate (births/woman) (21)
Niger,6.82
Somalia,6.31
Chad,6.25
Democratic Republic of the Congo,6.16
Central African Republic,5.98
Mali,5.96
Angola,5.3
Nigeria,5.24
Burundi,5.08
Benin,4.97
Burkina Faso,4.77
Tanzania,4.73
Gambia,4.68
Mozambique,4.64
Afghanistan,4.64
Uganda,4.58
South Sudan,4.47
Cameroon,4.46
Sudan,4.46
Ivory Coast,4.42
Guinea,4.4
Mauritania,4.4
Senegal,4.39
Zambia,4.31
Equatorial Guinea,4.27
Togo,4.26
Republic of the Congo,4.17
Ethiopia,4.16
Liberia,4.09
Guinea-Bissau,4.0
Solomon Islands,3.98
Sierra Leone,3.98
Comoros,3.98
Samoa,3.93
Malawi,3.92
Eritrea,3.87
Madagascar,3.85
So Tom and Prncipe,3.82
Rwanda,3.82
Yemen,3.79
Vanuatu,3.73
Ghana,3.56
Palestine,3.5
Iraq,3.5
Zimbabwe,3.49
Gabon,3.49
Pakistan,3.47
Kenya,3.33
Kazakhstan,3.32
Kiribati,3.3
Namibia,3.3
Tonga,3.24
Papua New Guinea,3.21
Tajikistan,3.19
Uzbekistan,3.17
Tuvalu,3.16
East Timor,3.15
Lesotho,3.02
Israel,3.0
Egypt,2.92
Kyrgyzstan,2.89
Algeria,2.89
Eswatini,2.84
Mongolia,2.84
Jordan,2.83
Haiti,2.81
Djibouti,2.8
Botswana,2.79
Philippines,2.75
Syria,2.75
Marshall Islands,2.73
Micronesia,2.71
Turkmenistan,2.67
Oman,2.62
Bolivia,2.62
Guam,2.57
Laos,2.5
Fiji,2.48
Paraguay,2.47
Libya,2.46
Seychelles,2.46
Saudi Arabia,2.43
Saint Martin,2.42
Guyana,2.4
Guatemala,2.4
South Africa,2.37
Honduras,2.36
Suriname,2.35
Cambodia,2.34
Morocco,2.33
Panama,2.33
Nicaragua,2.32
Faroe Islands Denmark,2.29
Dominican Republic,2.27
Venezuela,2.21
Peru,2.19
Indonesia,2.17
Myanmar Burma,2.15
Kuwait,2.11
Lebanon,2.09
Tunisia,2.09
Georgia,2.08
India,2.03
Nepal,2.03
Ecuador,2.03
New Caledonia,2.02
US Virgin Islands,2.01
Belize,2.01
Grenada,2.0
Sri Lanka,1.99
Bangladesh,1.98
Vietnam,1.94
Cape Verde,1.9
Turkey,1.89
Argentina,1.89
Gibraltar,1.85
Czech Republic,1.83
France,1.83
Mexico,1.82
Iceland,1.82
Bahrain,1.81
North Korea,1.81
Moldova,1.81
Malaysia,1.8
El Salvador,1.8
Qatar,1.8
Greenland,1.8
Romania,1.8
Saint Vincent and the Grenadines,1.8
Brunei,1.78
Montenegro,1.75
Ireland,1.72
Denmark,1.72
Colombia,1.72
Australia,1.7
French Polynesia,1.7
Iran,1.69
Maldives,1.69
Sweden,1.67
Turks and Caicos Islands,1.67
United States,1.66
Brazil,1.64
Slovakia,1.64
New Zealand,1.64
Slovenia,1.64
Barbados,1.63
Trinidad and Tobago,1.63
Netherlands,1.62
Croatia,1.62
Estonia,1.61
North Macedonia,1.6
Belgium,1.6
Dominica,1.59
Hungary,1.59
Sint Maarten,1.58
Antigua and Barbuda,1.58
Germany,1.58
Bulgaria,1.58
Armenia,1.57
Latvia,1.57
Isle of Man,1.56
United Kingdom,1.56
Norway,1.55
Chile,1.54
Costa Rica,1.53
Saint Kitts and Nevis,1.53
Liechtenstein,1.53
Kosovo,1.52
Switzerland,1.52
Azerbaijan,1.52
Uruguay,1.49
Russia,1.49
Belarus,1.48
Austria,1.48
Serbia,1.48
United Arab Emirates,1.46
Finland,1.46
Channel Islands,1.46
Guernsey,1.46
Jersey,1.46
Cuba,1.44
Canada,1.43
Bhutan,1.41
Mauritius,1.41
Saint Lucia,1.4
Albania,1.39
Greece,1.39
Bahamas,1.39
Curaao,1.38
Portugal,1.38
Luxembourg,1.38
Jamaica,1.35
Bosnia and Herzegovina,1.35
Lithuania,1.34
Thailand,1.33
Poland,1.33
Cyprus,1.32
Japan,1.3
Bermuda,1.3
Italy,1.25
Spain,1.19
Aruba,1.18
China,1.16
Ukraine,1.16
Malta,1.14
Singapore,1.12
Macau,1.09
British Virgin Islands,1.0
Puerto Rico,0.91
South Korea,0.81
Hong Kong,0.77
American Samoa,2.03
Andorra,2.03
Cayman Islands,2.03
Monaco,2.03
Nauru,2.03
Northern Mariana Islands,2.03
Palau,2.03
San Marino,2.03
Vatican City,2.03
Western Sahara,2.03
