Country,Ages 25–34:% equivalent to a degree course lasting at least:
Country,2 years
Australia,48
Austria,39
Belgium,43
Brazil,16
Canada,59
Chile,36
China,35.8
Colombia,27
Costa Rica,28
Czech Republic,31
Denmark,44
Estonia,41
Finland,41
France,45
Germany,30
Greece,40
Hungary,32
Iceland,40
Indonesia,11
Ireland,52
Israel,46
Italy,25
Japan,60
Latvia,40
Lithuania,55
Luxembourg,50
Mexico,21
Netherlands,45
New Zealand,39
Norway,48
Poland,43
Portugal,33
Russia,58
Saudi Arabia,26
Slovakia,31
Slovenia,41
South Africa,14
South Korea,69
Spain,41
Sweden,46
Switzerland,49
Turkey,28
United Kingdom,49
United States,51.1
