Location,2018,2019,2020,2021
Afghanistan *,71,74.0,80.0,81.0
Algeria *,258,251.0,215.0,
Andorra *,3188,3062.0,3337.0,
Angola *,84,69.0,51.0,
Antigua and Barbuda,850,802.0,830.0,
Argentina *,1122,959.0,864.0,
Armenia *,439,549.0,552.0,
Australia *,5864,5555.0,5901.0,
Austria *,5337,5262.0,5585.0,6491.0
Azerbaijan *,165,192.0,191.0,
Bahamas,1920,1921.0,1851.0,
Bahrain *,1049,1024.0,1110.0,
Bangladesh *,45,48.0,51.0,
Barbados *,1193,1171.0,1200.0,
Belarus *,342,390.0,408.0,
Belgium *,5142,4984.0,5009.0,
Belize *,287,304.0,278.0,
Benin *,30,27.0,32.0,
Bhutan *,102,115.0,134.0,
Bolivia *,229,239.0,241.0,
Bosnia and Herzegovina *,528,544.0,591.0,
Botswana *,420,409.0,363.0,
Brazil *,863,850.0,701.0,
Brunei *,754,675.0,650.0,
Bulgaria *,690,698.0,857.0,
Burkina Faso *,39,41.0,54.0,
Burundi *,20,17.0,16.0,
Cape Verde *,179,174.0,176.0,
Cambodia *,94,115.0,116.0,
Cameroon *,58,56.0,58.0,
Canada *,5053,5084.0,5619.0,6086.0
Central African Republic *,49,34.0,42.0,
Chad *,32,31.0,35.0,
Chile *,1457,1369.0,1278.0,1479.0
China *,505,540.0,583.0,
Colombia *,517,523.0,477.0,
Comoros *,74,78.0,81.0,
Congo *,48,59.0,81.0,
Cook Islands,567,650.0,531.0,
Costa Rica *,902,915.0,953.0,
Ivory Coast *,71,74.0,85.0,
Croatia *,1025,1040.0,1095.0,
Cuba *,973,1013.0,1186.0,
Cyprus *,2021,2044.0,2245.0,
Czech Republic *,1753,1803.0,2120.0,
DR Congo *,18,20.0,21.0,
Denmark *,6233,6059.0,6438.0,7375.0
Djibouti *,64,62.0,63.0,
Dominica *,485,443.0,427.0,
Dominican Republic *,328,347.0,354.0,
Ecuador *,497,487.0,479.0,
Egypt *,120,145.0,151.0,
El Salvador *,345,364.0,386.0,
Equatorial Guinea *,271,223.0,237.0,
Eritrea *,24,25.0,24.0,
Estonia *,1553,1599.0,1788.0,2036.0
Eswatini *,291,259.0,219.0,
Ethiopia *,24,26.0,29.0,
Fiji *,216,228.0,186.0,
Finland *,4522,4460.0,4726.0,
France *,4669,4508.0,4769.0,
Gabon *,211,208.0,229.0,
Gambia,23,23.0,19.0,
Georgia *,332,309.0,320.0,
Germany *,5504,5478.0,5930.0,6503.0
Ghana *,74,74.0,85.0,
Greece *,1603,1569.0,1675.0,
Grenada *,439,488.0,491.0,
Guatemala *,266,279.0,289.0,
Guinea *,35,43.0,47.0,
Guinea-Bissau *,60,61.0,61.0,
Guyana *,299,319.0,378.0,
Haiti *,62,49.0,44.0,
Honduras *,178,184.0,213.0,254.0
Hungary *,1080,1054.0,1163.0,
Iceland *,6234,5865.0,5637.0,6636.0
India *,58,61.0,57.0,
Indonesia *,112,121.0,133.0,
Iran *,463,451.0,573.0,
Iraq *,227,240.0,202.0,
Ireland *,5484,5431.0,6092.0,6700.0
Israel *,3220,3454.0,3867.0,
Italy *,3003,2911.0,3057.0,3351.0
Jamaica *,334,343.0,326.0,
Japan *,4288,4379.0,4388.0,
Jordan *,322,315.0,299.0,
Kazakhstan *,273,270.0,342.0,
Kenya *,76,86.0,83.0,
Kiribati *,192,163.0,167.0,
Kuwait *,1661,1644.0,1533.0,
Kyrgyzstan *,67,63.0,64.0,
Laos *,57,68.0,68.0,
Latvia *,1101,1183.0,1313.0,
Lebanon *,745,732.0,994.0,
Lesotho *,122,121.0,107.0,
Liberia *,66,52.0,57.0,
Lithuania *,1249,1370.0,1522.0,1840.0
Luxembourg *,6227,6222.0,6757.0,7314.0
Madagascar *,22,19.0,18.0,
Malawi *,37,30.0,33.0,
Malaysia *,416,427.0,419.0,
Maldives *,805,852.0,826.0,
Mali *,32,33.0,35.0,
Malta *,2754,2944.0,3135.0,
Marshall Islands *,737,782.0,731.0,
Mauritania *,59,60.0,59.0,
Mauritius *,642,672.0,560.0,
Mexico *,531,553.0,539.0,
Micronesia *,422,421.0,425.0,
Monaco *,3101,3055.0,3085.0,
Mongolia *,158,183.0,200.0,
Montenegro *,727,732.0,866.0,
Morocco *,175,177.0,187.0,
Mozambique *,41,40.0,34.0,
Myanmar *,60,61.0,72.0,
Namibia *,473,432.0,380.0,
Nauru *,1176,1159.0,1144.0,
Nepal *,50,53.0,58.0,
Netherlands *,5331,5341.0,5846.0,6531.0
New Zealand *,3958,4082.0,4202.0,
Nicaragua *,168,162.0,161.0,
Niger *,30,31.0,35.0,
Nigeria *,66,70.0,70.0,
Niue,1325,1157.0,1319.0,
North Macedonia *,387,421.0,453.0,
Norway *,8272,8007.0,7704.0,9021.0
Oman *,639,728.0,845.0,
Pakistan *,41,37.0,38.0,
Palau,1790,2403.0,2640.0,
Panama *,1228,1318.0,1215.0,
