Rank,Country/Territory,Mediandownloadspeed(Mbit/s)(Ookla)[1],Averagedownloadspeed(Mbit/s)(M-Lab)[2],Averagedownloadspeed(Mbit/s)(SpeedTestNet.io),Averagedownloadspeed(Mbit/s)(Speed-Test-Pros.com)[4]
19,Romania,178.9,72.74,242.17,221.41
5,South Korea,241.58,40.80,168.46,143.06
1,Hong Kong,265.17,105.32,53.27,49.84
4,Monaco,220.35,104.97,203.15,201.23
2,Singapore,259.11,61.08,186.06,200.05
6,Denmark,210.71,85.02,193.23,178.89
7,Thailand,206.81,30.61,211.10,205.23
8,Hungary,193.8,99.73,172.10,174.58
9,Liechtenstein,193.79,229.98,178.94,168.52
10,France,192.25,51.33,179.05,181.51
11,United States,191.97,71.29,171.01,141.52
12,Andorra,191.23,213.41,180.10,186.74
13,Switzerland,188.69,110.45,194.16,199.03
14,Spain,186.4,55.83,167.15,154.32
3,Chile,246.39,16.10,149.37,152.58
16,China,172.95,2.08,153.49,139.05
17,Macau,170.3,14.65,158.94,153.56
18,Sweden,169.0,81.29,164.32,158.33
15,Canada,181.99,181.60,176.94,182.65
20,Japan,167.18,54.61,147.19,148.25
21,Taiwan,163.85,54.62,143.39,
22,Norway,159.99,67.31,151.86,138.98
23,Luxembourg,154.26,118.05,144.99,132.56
24,New Zealand,153.88,66.66,146.01,130.54
25,Netherlands,152.94,95.60,134.42,137.14
26,United Arab Emirates,151.09,28.33,123.65,111.74
27,Portugal,150.39,37.99,137.26,141.29
28,Israel,147.36,26.49,123.50,121.95
29,Malta,134.48,87.36,116.20,110.04
30,Lithuania,132.67,56.63,120.14,118.67
31,Poland,130.98,55.40,109.60,98.71
32,Kuwait,130.66,12.06,118.86,126.93
33,Latvia,128.69,32.32,119.95,120.67
34,Panama,125.25,36.55,104.60,179.32
35,Germany,120.93,42.32,118.12,132.57
36,Finland,119.32,44.05,112.15,126.02
37,Austria,117.31,27.74,72.15,89.43
38,San Marino,115.27,24.26,97.12,101.52
39,Moldova,114.01,27.48,101.50,106.44
40,Ireland,112.81,34.87,99.67,124.82
41,Slovenia,108.47,65.46,87.60,96.03
42,Belgium,107.12,66.48,97.61,104.78
43,Barbados,105.71,56.90,102.32,89.17
44,Qatar,105.2,23.98,97.79,110.26
45,Malaysia,103.34,46.82,92.35,98.34
46,Slovakia,101.28,,91.97,108.85
47,United Kingdom,92.63,37.82,82.84,94.41
48,Italy,90.93,23.18,73.65,87.89
49,Brazil,90.3,17.89,74.32,75.52
50,Saudi Arabia,90.24,12.67,78.95,73.55
51,Russia,87.01,24.98,79.65,68.09
52,Czech Republic,85.89,28.12,69.50,72.03
53,Trinidad and Tobago,79.89,29.70,71.84,84.91
54,Bulgaria,78.84,46.22,67.46,76.89
55,Estonia,78.58,70.90,86.30,91.33
56,Australia,77.88,25.65,60.25,75.06
57,Serbia,77.88,24.74,68.23,68.41
58,Belarus,68.73,16.08,66.41,69.29
59,Ukraine,67.52,15.09,64.10,59.64
60,Jordan,67.35,14.54,50.43,48.62
61,Vietnam,66.38,13.41,61.50,82.41
62,Montenegro,64.44,25.07,59.50,63.57
63,Turkey,62.52,-,-,69.36
64,Bahrain,58.53,10.87,224.15,178.02
65,Oman,57.53,12.25,45.98,54.33
66,Croatia,57.3,33.82,45.63,41.09
67,Paraguay,56.89,16.50,45.40,51.25
68,Kazakhstan,56.12,5.01,51.30,66.74
69,Bahamas,55.99,,43.01,71.24
70,India,54.17,14.46,52.25,59.56
71,Grenada,54.65,38.64,49.93,66.57
72,Kosovo,54.39,20.30,46.62,57.54
73,Uruguay,53.88,22.16,54.60,68.48
74,Colombia,53.73,8.80,42.56,66.3
75,Ghana,51.93,5.46,44.76,38.02
76,Peru,51.81,7.98,46.28,58.31
77,Argentina,51.51,6.20,48.34,42.48
78,Cyprus,50.46,15.62,49.30,54.22
79,Belize,49.44,16.57,38.54,54.05
80,Ivory Coast,49.33,,,32.09
81,Philippines,49.31,8.77,,39.48
82,Mexico,48.35,16.19,42.96,57.54
83,Kyrgyzstan,48.12,5.47,44.01,44.98
84,Costa Rica,47.93,16.42,43.76,52.17
85,Saint Vincent and the Grenadines,46.51,15.69,41.45,35.42
86,Saint Lucia,45.66,16.35,40.85,74.25
87,Guyana,45.37,4.43,40.60,49.52
88,Albania,45.25,12.36,41.01,48.65
89,Bosnia and Herzegovina,44.85,15.66,43.50,41.23
90,Laos,43.98,,,
91,South Africa,43.91,14.04,38.67,37.11
92,Mongolia,43.67,5.25,41.82,33.84
93,Madagascar,41.4,18.00,37.65,34.22
94,Egypt,39.66,4.71,33.94,32.95
95,Uzbekistan,39.2,2.10,32.51,36.51
96,Jamaica,37.95,20.01,36.49,39.61
97,Dominica,37.62,10.69,32.76,38.32
98,North Macedonia,37.2,11.48,32.25,49.33
99,Greece,36.73,26.01,30.81,36.54
100,Bangladesh,36.02,3.24,32.05,44.35
101,Senegal,35.32,5.93,,32.87
