Country,Male,Female,Overall,Sources & Year
Greenland * (Danish Realm),75.08,25.18,53.34,2019[21]
Lithuania *,65.1,12.4,24.4,2018[22][23]
South Korea *,35.9,16.2,26.0,2021[24]
Guyana *,41.25,10.2,25.52,2017[25][26]
Kazakhstan *,40.68,8.01,23.81,2017[26]
Slovenia,,,18.09,2016[22]
Sri Lanka *,[27][28],,14.6,2018
Hungary,[22],,17.98,2016
Belarus *,,,20.5,2017[29]
Taiwan (Estimate) [a],,,20.1,2018[30]
Ukraine *,,,22.4,2016[32]
Uruguay *,,,20.6,2020[33][34]
Latvia,,,18.56,2016[22]
Moldova,,,15.9,2016[35]
Serbia,[22],,13.52,2016
Belgium,,,17.0,2016[36][note 3][37][note 4]
Japan *,23.1,10.1,16.5,2018[38][39]
Taiwan (Government data) [b],21.8,11.1,16.4,2018[30]
Croatia,,,16.0,2016[22][40]
Bhutan *,,,12.16,2017[41]
Austria,23.8,7.1,13.69,2016[22]
South Africa,,,15.4,2005[42]
Estonia,,,14.31,2016[22][43]
France *,,,13.21,2016[22][43]
Suriname,23.9,4.8,14.4,2005
Finland *,22.3,6.9,14.26,2016[22][44]
European Union,,,10.33,2016[22][45]
United States *,21.8,6.0,14.5,2017[46][47][48]
Poland,,,12.28,2016[22][49]
Russia *,,,13.7,2017[50]
Bosnia and Herzegovina,,,13.6,2012[51]
Czech Republic,,,12.57,2016[22]
Germany,[22][52],,11.29,2016
Cuba,19.0,5.5,12.3,2008
Bulgaria,,,9.24,2016[37]
New Zealand,19.0,5.8,12.3,2014–15[53][54]
Hong Kong *,16.2,8.8,12.3,2011[55]
Sweden *,,,11.73,2016[22][56]
Portugal,,,8.95,2016[37][57]
Romania *,,,10.13,2016[22]
Norway,,,12.08,2016[22]
United Kingdom *,,,11.2,2018[58]
Canada *,16.9,5.3,11.5,2009[59]
Iceland,,,12.3,2016[22][60]
Chile,18.2,4.2,11.2,2007
Switzerland *,17,5.8,11.2,2011[61]
Netherlands,18.0,6.0,12.0,2015[37]
Trinidad and Tobago,17.9,3.8,10.7,2006
India *,13.0,7.8,10.5,2009
Ireland,17.4,3.4,10.3,2013[62]
Singapore *,13.3,7.3,10.3,2012[63]
Australia *,20.1,6.3,13.1,2019[64]
Slovakia,,,7.48,2016[37]
China *,[65],,9.8,2014
Venezuela,,,9.5,2019[66]
Kyrgyzstan,14.1,3.6,8.8,2009
Turkmenistan,13.8,3.5,8.6,1998
Spain *,12.7,4.1,8.3,2013[67]
North Macedonia,12.6,3.9,8.0,2009[37]
El Salvador,12.9,3.6,8.0,2008
Italy,12.7,3.8,8.0,2016
Zimbabwe,10.6,5.2,7.9,1990
Luxembourg,13.2,2.9,7.8,2008[37]
Argentina,12.6,3.0,7.7,2008
Ecuador,10.5,3.6,7.1,2009
Mauritius,11.8,1.9,6.8,2008
Costa Rica,10.2,1.9,6.1,2009
Thailand,9.7,2.58,6.03,2013[68]
Mongolia,8.6,3.1,5.85,2011
Israel,9.9,2.1,5.8,2007[69]
Nicaragua,9.0,2.6,5.8,2006
Panama,9.0,1.9,5.5,2008
Turkey,6.34,1.9,4.12,2019[70]
Colombia,7.9,2.0,4.9,2007
Brazil,7.7,2.0,4.8,2008
Uzbekistan,7.0,2.3,4.7,2005
Cambodia,,,4.6,2008
Georgia,7.1,1.7,4.3,2009
Albania,4.7,3.3,4.0,2003[71]
Mexico *,6.8,1.3,4.0,2008
Honduras,,,3.84,2011[72]
Bahrain,4.0,3.5,3.8,2006
Belize,6.6,0.7,3.7,2008
Saint Vincent and the Grenadines,5.4,1.9,3.7,2008
Paraguay,5.1,2.0,3.6,2008
Cyprus,5.9,1.3,3.6,2009[37]
Guatemala,5.6,1.7,3.6,2008
Barbados,7.3,0.0,3.5,2006
Greece *,6.1,1.0,3.5,2009
Malta,5.9,1.0,3.4,2008
Iran *,3.9,2.1,3.4,2013[73][74]
Philippines,4.5,1.0,2.75,2005[75]
Tajikistan,2.9,2.3,2.6,2001
Saint Lucia,4.9,0.0,2.4,2005
Dominican Republic,3.9,0.7,2.3,2005
Armenia,2.8,1.1,1.9,2008
Kuwait,1.9,1.7,1.8,2009
Bahamas,1.9,0.6,1.2,2005
Pakistan *,1.45,0.71,1.1,2012[76]
Peru,1.1,0.6,0.9,2000
São Tomé and Príncipe,0.0,1.8,0.9,1987
Azerbaijan,1.0,0.3,0.6,2007
Maldives,0.7,0.0,0.3,2005
Jamaica,0.3,0.0,0.1,1990
Syria,0.2,0.0,0.1,1985
Jordan,0.2,0.0,0.1,2008[77]
Egypt,0.1,0.0,0.1,2009
Grenada,0.0,0.0,0.0,2008
Saint Kitts and Nevis,0.0,0.0,0.0,1995
Antigua and Barbuda,0.0,0.0,0.0,1995
Haiti,0.0,0.0,0.0,2003
Nepal *,0.0,0.0,0.0,2003
