Rank,Country,Fertility rate in 1970 (births/woman)
1,Rwanda,8.2
2,Kenya,8.1
3,Ivory Coast,7.9
4 (1),Palestine (Israeli-occupied territories → Palestinian Territories),7.9
5 (2),Mayotte (French Colonial Empire → French Overseas Department),7.9
6,Libya,7.9
7,Jordan,7.9
8,Afghanistan,7.7
9,Mongolia,7.6
10,Algeria,7.6
11,Syria,7.6
12,Yemen ( North Yemen and South Yemen → Yemen),7.5
13,Zambia,7.4
14,Morocco,7.4
15,Iraq,7.4
16,Niger,7.4
17,Saudi Arabia,7.3
18,Madagascar,7.3
19,Malawi,7.3
20,Burundi,7.3
21,Senegal,7.3
22,Oman,7.3
23 (3),"Angola (Portuguese Empire, Portuguese Angola → Angola)",7.3
24,Honduras,7.3
25,Maldives,7.2
26,Somalia,7.2
27,Kuwait,7.2
28,Samoa,7.2
29 (4),Comoros (French Colonial Empire → Comoros),7.1
30,Togo,7.1
31,Uganda,7.1
32 (5),"Bangladesh ( Pakistan, East Pakistan → Bangladesh)",7.0
33,Ethiopia,7.0
34,Ghana,7.0
35,Nicaragua,6.9
36 (6),Tajik SSR ( Soviet Union → Tajikistan),6.9
37,Mali,6.9
38 (7),South Sudan ( Sudan → South Sudan),6.9
39,Swaziland,6.9
40 (8),"Cape Verde (Portuguese Empire, Portuguese Cape Verde → Cape Verde)",6.9
41 (9),Micronesia (Trust Territory of the Pacific Islands → Micronesia),6.9
42 (10),Qatar (British Empire → Qatar),6.9
43,Sudan,6.9
44 (11),Solomon Islands (British Empire → Solomon Islands),6.9
45,Benin,6.8
46,Mauritania,6.8
47 (12),Djibouti (French Territory of the Afars and the Issas → Djibouti),6.8
48,Tanzania,6.8
49,Sierra Leone,6.7
50,Rhodesia (→ Zimbabwe),6.7
51,Liberia,6.7
52,Mexico,6.7
53 (13),Eritrea ( Ethiopia → Eritrea),6.7
54,Bhutan,6.7
55,Republic of Upper Volta (→ Burkina Faso),6.6
56 (14),"United Arab Emirates (British Empire, Trucial States → United Arab Emirates)",6.6
57 (15),Western Sahara (Spanish Sahara → Moroccan Occupation),6.6
58 (16),"Mozambique (Portuguese Empire, Portuguese Mozambique → Mozambique)",6.6
59,Pakistan,6.6
60,Botswana,6.6
61,Bolivia,6.6
62,Cambodia,6.5
63 (17),"São Tomé and Príncipe (Portuguese Empire, Portuguese Sao Tome and Principe → São Tomé and Príncipe)",6.5
64,Vietnam ( North Vietnam and South Vietnam → Vietnam),6.5
65 (18),Bahrain (British Empire → Bahrain),6.5
66,Nigeria,6.5
67 (19),South West Africa ( South Africa → Namibia),6.5
68,Chad,6.5
69 (20),Uzbek SSR ( Soviet Union → Uzbekistan),6.5
70,Iran,6.4
71,Tunisia,6.4
72 (21),Turkmen SSR ( Soviet Union → Turkmenistan),6.3
73,Peru,6.3
74 (22),New Hebrides (British and French Condominium → Vanuatu),6.3
75,Philippines,6.3
76 (23),Belize (British Empire → Belize),6.3
77,Congo,6.3
78 (24),Papua and New Guinea (UN Trust Territories → Papua New Guinea),6.2
79,Cameroon,6.2
80,Dominican Republic,6.2
81,Guinea,6.2
82,El Salvador,6.2
83,Congo-Léopoldville (→ Zaire → DR Congo),6.2
84,Guatemala,6.2
85 (25),"Guinea-Bissau (Portuguese Empire, Portuguese Guinea → Guinea-Bissau)",6.1
86,Ecuador,6.1
87 (26),Saint Lucia (British Empire → Saint Lucia),6.1
88 (27),Gilbert Islands (British Empire → Kiribati),6.1
89,Gambia,6.1
90,Central African Republic,6.0
91,Nepal,6.0
92,Burma (→ Myanmar),6.0
93,Laos,6.0
94 (28),Saint Vincent and the Grenadines (British Empire → Saint Vincent and the Grenadines),6.0
95,Egypt,5.9
96 (29),"East Timor (Portuguese Empire, Portuguese Timor → East Timor)",5.9
97,Tonga,5.9
98 (30),Seychelles (British Empire → Seychelles),5.8
99 (31),Brunei (British Empire → Brunei),5.8
100,Lesotho,5.8
101,Haiti,5.8
102,Equatorial Guinea,5.7
103,Turkey,5.7
104,Paraguay,5.7
105 (32),Suriname (Dutch Empire → Suriname),5.7
106,Colombia,5.6
107,Thailand,5.6
108,South Africa,5.6
109,India,5.5
110,China (mainland only),5.5
111,Indonesia,5.5
112,Jamaica,5.5
113,Venezuela,5.4
114 (33),New Caledonia (French Colonial Empire → Overseas departments and territories of France),5.3
115,Panama,5.2
116 (34),French Polynesia (French Colonial Empire → French Overseas Collectivity),5.1
116,Gabon,5.1
117,Albania,5.1
118,Guyana,5.1
119,Lebanon,5.0
120,Brazil,5.0
121,Costa Rica,4.9
122,Malaysia,4.9
123 (35),Kirghiz SSR ( Soviet Union → Kyrgyzstan),4.9
