Rank,Country,Fertility rate 2018(Medium Variant) (births/woman)
1,Niger,7.46
2,Somalia,6.12
3,Mali,5.92
4,Chad,5.79
5,Angola,5.79
6,Burundi,5.66
7,DR Congo,5.66
8,Gambia,5.53
9,Uganda,5.46
10,Nigeria,5.41
11,East Timor,5.33
12,Burkina Faso,5.23
13,Zambia,5.14
14,Mozambique,5.12
15,Tanzania,4.92
16,Malawi,4.88
17,Senegal,4.83
18,Ivory Coast,4.77
19,South Sudan,4.73
20,Guinea,4.73
21,Congo,4.64
22,Guinea-Bissau,4.56
23,Equatorial Guinea,4.52
24,Benin,4.50
25,Liberia,4.47
26,Cameroon,4.46
27,Mauritania,4.39
28,São Tomé and Príncipe,4.36
29,Togo,4.35
30,Iraq,4.35
31,Sierra Leone,4.28
32,Afghanistan,4.25
33,Comoros,4.23
34,Madagascar,4.21
35,Sudan,4.13
36,Kenya,4.10
37,Eritrea,4.02
38,Central African Republic,4.02
39,Ethiopia,3.99
40,Palestine (Gaza Strip and West Bank),3.95
41,Ghana,3.95
42,Samoa,3.90
43,Yemen,3.79
44,Solomon Islands,3.76
45 (1),Mayotte (France),3.73
46,Gabon,3.68
47,Zimbabwe,3.65
48,Rwanda,3.62
49,Papua New Guinea,3.58
50,Tonga,3.58
51,Kiribati,3.58
52,Pakistan,3.38
53,Tajikistan,3.32
54,Namibia,3.31
55,Vanuatu,3.22
56 (2),French Guiana (France),3.28
57,Jordan,3.20
58,Egypt,3.16
59,Micronesia,3.08
60,Swaziland,3.06
61,Guatemala,3.03
62,Lesotho,3.01
63,Djibouti,2.99
64,Kyrgyzstan,2.93
65,Morocco,2.93
66,Philippines,2.87
67,Haiti,2.85
68,Bolivia,2.83
69,Laos,2.77
70,Syria,2.77
71,Botswana,2.67
72,Algeria,2.62
73,Saudi Arabia,2.59
74,Mongolia,2.54
75,Cambodia,2.53
76,Kazakhstan,2.53
77,Oman,2.51
78,Fiji,2.48
79,Guyana,2.47
,World,2.47
80,Belize,2.46
81,Paraguay,2.45
82,Ecuador,2.44
83,Israel,2.38
84,Dominican Republic,2.38
85,Panama,2.36
86,Indonesia,2.36
87,Peru,2.35
88,India,2.34
89,Uzbekistan,2.33
90 (3),Guam (US),2.32
91,Libya,2.32
92,South Africa,2.28
93,Venezuela,2.28
94,Suriname,2.28
95,Argentina,2.27
96,Honduras,2.25
97,Turkmenistan,2.22
98,Azerbaijan,2.22
99,Seychelles,2.21
100,Cape Verde,2.19
101 (4),U.S. Virgin Islands (US),2.18
102,Nicaragua,2.16
103,Mexico,2.14
104,Myanmar (Burma),2.13
105 (5),Réunion (France),2.12
