Rank,Country,Fertility rate in 2019 (births/woman)
1,Niger,6.8
2,Somalia,6.0
3,DR Congo,5.8
4,Mali,5.8
5,Chad,5.6
6,Angola,5.4
7,Burundi,5.3
8,Nigeria,5.3
9,Gambia,5.2
10,Burkina Faso,5.1
11,Benin,4.8
12,Mozambique,4.8
13,Tanzania,4.8
14,Uganda,4.8
15,Central African Republic,4.6
16,Ivory Coast,4.6
17,Guinea,4.6
18,Senegal,4.6
19,South Sudan,4.6
20,Zambia,4.6
21,Cameroon,4.5
22,Mauritania,4.5
23,Congo,4.4
24,Equatorial Guinea,4.4
25,Guinea-Bissau,4.4
26,Afghanistan,4.3
27,São Tomé and Príncipe,4.3
28,Sudan,4.3
29,Togo,4.3
30,Liberia,4.2
31,Sierra Leone,4.2
32,Comoros,4.1
33,Ethiopia,4.1
34,Malawi,4.1
35,Marshall Islands,4.1
36,Eritrea,4.0
37,Madagascar,4.0
38,Rwanda,4.0
39,Gabon,3.9
40,Solomon Islands,3.9
41,East Timor,3.9
42,Ghana,3.8
43,Samoa,3.8
44,Vanuatu,3.7
45,Yemen,3.7
46,Iraq,3.6
47 (1),Mayotte (France),3.6
48,Palestine (Gaza Strip and West Bank),3.6
49,Tajikistan,3.6
50,Kiribati,3.5
51,Pakistan,3.5
52,Papua New Guinea,3.5
53,Tonga,3.5
54,Zimbabwe,3.5
55,Kenya,3.4
56,Egypt,3.3
57 (2),French Guiana (France),3.3
58,Namibia,3.3
59,Lesotho,3.1
60,Algeria,3.0
61,Israel,3.0
62,Kyrgyzstan,3.0
63,Micronesia,3.0
64,Eswatini,3.0
65,Haiti,2.9
66,Mongolia,2.9
67,Botswana,2.8
68,Fiji,2.8
69,Guatemala,2.8
70,Oman,2.8
71,Syria,2.8
72,Bolivia,2.7
73,Djibouti,2.7
74,Jordan,2.7
75,Kazakhstan,2.7
76,Turkmenistan,2.7
77,Laos,2.6
78,Cambodia,2.5
79,Philippines,2.5
80,Ecuador,2.4
81,Guyana,2.4
82,Honduras,2.4
83,Morocco,2.4
84,Nicaragua,2.4
85,Panama,2.4
86,Paraguay,2.4
87,Seychelles,2.4
88,South Africa,2.4
89,Suriname,2.4
90,Uzbekistan,2.4
91,Western Sahara,2.4
,World,2.4
92,Belize,2.3
93,Dominican Republic,2.3
94 (3),Guam (US),2.3
95,Indonesia,2.3
96,Saudi Arabia,2.3
97,Venezuela,2.3
98,Argentina,2.2
99,Cape Verde,2.2
100,India,2.2
101,Libya,2.2
102,Peru,2.2
103 (4),Réunion (France),2.2
104,Sri Lanka,2.2
105,Tunisia,2.2
106,Azerbaijan,2.1
107,Georgia,2.1
108 (5),Guadeloupe (France),2.1
109,Iran,2.1
110,Kuwait,2.1
111,Lebanon,2.1
112,Mexico,2.1
113,Myanmar (Burma),2.1
114,Turkey,2.1
115,Vietnam,2.1
,Population replacement,2.1
116,Antigua and Barbuda,2.0
117,Bahrain,2.0
118,Bangladesh,2.0
119,Bhutan,2.0
120,El Salvador,2.0
121,Grenada,2.0
122,Jamaica,2.0
123,Malaysia,2.0
124,Uruguay,2.0
125 (6),U.S. Virgin Islands (US),2.0
126 (7),Aruba (Netherlands),1.9
127 (8),French Polynesia (France),1.9
128,North Korea,1.9
129 (9),Martinique (France),1.9
130,Monaco,1.9
131,Nepal,1.9
132 (10),New Caledonia (France),1.9
133,New Zealand,1.9
134,Saint Vincent and the Grenadines,1.9
135,Armenia,1.8
136,Australia,1.8
137,Brunei,1.8
138,Colombia,1.8
139,Denmark,1.8
140,Dominica,1.8
141,France (Metropolitan France),1.8
142,Ireland,1.8
143,Maldives,1.8
144,Qatar,1.8
145,Russia,1.8
146,Saint Kitts and Nevis,1.8
147,Sweden,1.8
148,United States,1.8
149,Bahamas,1.7
150,Belarus,1.7
151,Belgium,1.7
152,China (mainland only),1.7
153,Costa Rica,1.7
154 (11),Curaçao (Netherlands),1.7
155,Czech Republic,1.7
156,Iceland,1.7
157,Kosovo,1.7
158,Latvia,1.7
159,Lithuania,1.7
160,Montenegro,1.7
161,Norway,1.7
162,Trinidad and Tobago,1.7
163,United Kingdom,1.7
164,Albania,1.6
165,Barbados,1.6
166,Bulgaria,1.6
167,Chile,1.6
168,Cuba,1.6
169,Brazil,1.6
170,Estonia,1.6
171,Germany,1.6
172,Romania,1.6
173,Slovenia,1.6
174,Austria,1.5
175,Canada,1.5
176,Finland,1.5
177,Hungary,1.5
178,Malta,1.5
179,North Macedonia,1.5
180,Slovakia,1.5
181,Switzerland,1.5
182,Thailand,1.5
183,Croatia,1.4
184 (12),Hong Kong (China),1.4
185,Japan,1.4
186,Liechtenstein,1.4
187,Luxembourg,1.4
188,Mauritius,1.4
189,Netherlands,1.4
190,Poland,1.4
191,Saint Lucia,1.4
192,Serbia,1.4
193,Ukraine,1.4
194,United Arab Emirates,1.4
195,Bosnia and Herzegovina,1.3
196,Cyprus,1.3
197,Greece,1.3
198,Italy,1.3
199,Moldova,1.3
200,Portugal,1.3
201,San Marino,1.3
202,Spain,1.3
203,Republic of China (Taiwan),1.2
204 (13),Macau (China),1.2
205 (14),Puerto Rico (US),1.2
206,Singapore,1.2
207,Andorra,1.0
208,South Korea,0.9
,Sovereign states: 194,
,Dependent territories: 14,
,World,
1,World,2.4
,Continents,
1,Africa,4.4
2,Oceania,2.3
3,Asia,2.1
4,Americas,1.9
5,Europe,1.6
,Major regions,
1,Middle Africa,5.4
2,Western Africa,5.1
3,Eastern Africa,4.3
4,Northern Africa,3.2
5,Central Asia,2.7
6,Western Asia,2.6
7,Southern Africa,2.5
8,Oceania,2.3
9,South Asia,2.3
10,Caribbean,2.2
11,Central America,2.2
12,Southeast Asia,2.2
13,South America,1.9
14,East Asia,1.7
15,Eastern Europe,1.7
16,Northern America,1.7
17,Northern Europe,1.7
18,Western Europe,1.7
19,Southern Europe,1.3
,Not ranked,
1,Channel Islands - (1) Guernsey (UK) and (2) Jersey (UK),-
2 (3),Christmas Island (Australia),-
3 (4),Cocos (Keeling) Islands (Australia),-
4,European Union,-
5 (5),Falkland Islands (UK),-
6 (6),Faroe Islands (Denmark),-
7,Nauru,-
8,Niue,-
9 (7),Norfolk Island (Australia),-
10,Palau,-
11 (8),Pitcairn Islands (UK),-
12 (9),Svalbard (Norway),-
13 (10),Tokelau (New Zealand),-
14,Tuvalu,-
15,Vatican City,-
,Sovereign states: 4,
,Dependent territories: 10,
