1950 list by Our World in Data,2015 list by Our World in Data,Unnamed: 2
"Rank Country Fertility rate in 1950 (births/woman) 1  Iraq 8.11 2 (1)  Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Rwanda) 7.92 3 (2)  New Hebrides (British and French Condominium → Vanuatu) 7.68 4 (3)  Samoa (United Nations trust territories, Western Samoa → Samoa) 7.63 5  Jordan 7.56 6  Dominican Republic 7.51 7  Honduras 7.47 8  Afghanistan 7.45 9  Philippines 7.45 10 (4)  Ivory Coast (French Colonial Empire, French West Africa, French Ivory Coast → Ivory Coast 7.38 11  Yemen ( North Yemen and South Yemen → Yemen) 7.37 12 (5)  Kenya (British Empire, Kenya Colony → Kenya) 7.36 13  Ethiopia 7.35 14 (6)  Angola (Portuguese Empire, Portuguese Angola → Angola) 7.34 15 (7)  Saint Vincent and the Grenadines (British Empire → Saint Vincent and the Grenadines) 7.33 16 (8)  Madagascar (French Colonial Empire, French Madagascar → Madagascar) 7.30 17 (9)  Tonga (British Empire, British Protectorate → Tonga) 7.30 18 (10)  Algeria (French Colonial Empire, French Algeria → Algeria) 7.29 19 (11)  Niger (French Colonial Empire, French Niger → Niger) 7.26 20 (12)  Somalia (British Empire, British Somaliland and Trust Territory of Somaliland → Somalia) 7.25 21  Oman 7.25 22 (13)  Kuwait (British Empire, British Protectorate → Kuwait) 7.22 23  Saudi Arabia 7.20 24 (14)  Micronesia (Trust Territory of the Pacific Islands → Micronesia) 7.20 25  Syria 7.18 26  Guatemala 7.15 27  Libya 7.10 28 (15)  Qatar (British Empire, British Protectorate → Qatar) 6.97 29 (16)  Bahrain (British Empire → Bahrain) 6.97 30 (17)  Mozambique (Portuguese Empire, Portuguese Mozambique → Mozambique) 6.97 31 (18)  Mali (French Colonial Empire, French West Africa, French Sudan → Mali) 6.96 32  Peru 6.95 33 (19)  Cambodia (French Colonial Empire, French Indochina, French Cambodia → Cambodia) 6.95 34 (20)  United Arab Emirates (British Empire, Trucial States → United Arab Emirates) 6.94 35  Bolivia 6.93 36  Iran 6.92 37 (21)  Eritrea ( Ethiopia → Eritrea) 6.92 38  Republic of China (Taiwan) 6.90 39 (22)  Uganda (British Empire → Uganda) 6.89 40  Nicaragua 6.88 41 (23)  Brunei (British Empire, British Protectorate → Brunei) 6.86 42 (24)  Malawi (British Empire, Federation of Rhodesia and Nyasaland, Nyasaland Protectorate → Malawi) 6.84 43 (25)  Burundi (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Burundi) 6.82 44 (26)  Senegal (French Colonial Empire, French West Africa, French Senegal → Senegal) 6.79 45  Colombia 6.77 46 (27)  Southern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland → Zimbabwe) 6.75 47  Turkey 6.74 48  Mexico 6.72 49  Ecuador 6.72 50  Egypt 6.72 51 (28)  Swaziland (British Empire → Swaziland) 6.71 52 (29)  Tanzania (British Empire, Tanganyika and Zanzibar → Tanzania) 6.70 53  Belize 6.69 54 (30)  Sudan (British Empire, Anglo-Egyptian Sudan → Sudan) 6.68 55  Bhutan 6.67 56  China 6.67 57 (31)  South Sudan (British Empire, Anglo-Egyptian Sudan → Sudan → South Sudan) 6.63 58 (32)  Northern Rhodesia (British Empire, Federation of Rhodesia and Nyasaland → Zambia) 6.62 59 (33)  Singapore (British Empire, British Singapore → Singapore) 6.61 60  Pakistan 6.60 61 (34)  Suriname (Kingdom of the Netherlands → Suriname) 6.58 62 (35)  Cape Verde (Portuguese Empire, Portuguese Cape Verde → Cape Verde) 6.57 63 (36)  Tunisia (French Colonial Empire, French protectorate of Tunisia → Tunisia) 6.56 64  Venezuela 6.54 65 (37)  East Timor (Portuguese Empire, Portuguese Timor → East Timor) 6.51 66 (38)  Morocco 6.49 67  Paraguay 6.49 68 (39)  Botswana (British Empire, Bechuanaland Protectorate → Botswana) 6.47 69 (40)  Solomon Islands (British Empire → Solomon Islands) 6.40 70 (41)  Ghana (British Empire, Gold Coast (British colony) → Ghana) 6.37 71  Nigeria (British Empire, British Nigeria → Nigeria 6.36 72 (42)  Malaysia (British Empire, British Malaya and British Borneo → Malaysia) 6.36 73 (43)  Togo (United Nations trust territories, French Colonial Empire, French West Africa, French Togoland → Togo) 6.33 74  Haiti 6.31 75 (44)  Djibouti (French Colonial Empire, French Somaliland → Djibouti) 6.30 76 (45)  Fiji (British Empire → Fiji) 6.30 77  Liberia 6.25 78  El Salvador 6.24 79 (46)  Bangladesh (Pakistan, East Pakistan → Bangladesh) 6.23 80 (47)  Papua and New Guinea (United Nations trust territories → Papua New Guinea 6.23 81 (48)  São Tomé and Príncipe (Portuguese Empire, Portuguese Sao Tome and Principe → São Tomé and Príncipe) 6.20 82  Brazil 6.14 83  Thailand 6.13 84 (49)  Mauritania (French Colonial Empire, French West Africa, French Mauritania → Mauritania 6.12 85 (50)  Kiribati (British Empire, Gilbert and Ellice Islands → Kiribati ) 6.10 86 (51)  Sierra Leone (British Empire → Sierra Leone) 6.09 87 (52)  Chad (French Colonial Empire, French Equatorial Africa, French Chad → Chad) 6.06 88 (53)  Greenland (Denmark) 6.05 89  South Africa 6.04 90 (54)  Maldives (British Empire, British Protectorate → Maldives) 6.03 91 (55)  Burkina Faso (French Colonial Empire, French West Africa → Republic of Upper Volta → Burkina Faso) 6.03 92  Burma (→ Myanmar) 6.03 93 (56)  Saint Lucia (British Empire, West Indies Federation → Saint Lucia) 6.00 94 (57)  Comoros (French Colonial Empire → Comoros) 6.00 95 (58)  French Polynesia (French Colonial Empire → France) 6.00 96 (59)  Congo (Belgian Colonial Empire, Belgian Congo → Congo-Léopoldville → Zaire → DR Congo) 5.99 97 (60)  Guinea (French Colonial Empire, French West Africa, French Guinea → Guinea 5.97 98 (61)  South West Africa ( South Africa → Namibia) 5.96 99  Nepal 5.96 100  Albania 5.96 101  Laos (French Colonial Empire, French Indochina, French Laos → Laos) 5.94 102 (62)  Guinea-Bissau (Portuguese Empire, Portuguese Guinea → Guinea-Bissau) 5.92 103  India 5.91 104 (63)  Mauritius (British Empire → Mauritius) 5.90 105 (64)  Lesotho (British Empire → Lesotho) 5.81 106 (65)  Grenada (British Empire → Grenada) 5.80 107  Lebanon 5.76 108 (66)  Dahomey (French Colonial Empire, French West Africa → Dahomey → Benin) 5.75 109 (67)  Guyana (British Empire → Guyana) 5.69 110  Panama 5.68 111 (68)  Equatorial Guinea (Spanish Empire, Spanish Guinea → Equatorial Guinea) 5.68 112 (69)  Congo (French Colonial Empire, French Congo, French Equatorial Africa → Congo) 5.67 113  Costa Rica 5.65 114 (70)  Aruba (Netherlands) 5.65 115  Sri Lanka 5.64 116 (71)  Cameroon (United Nations Trust Territories, French Colonial Empire, French Equatorial Africa, French Cameroons → Cameroon) 5.54 117 (72)  SR Macedonia ( Yugoslavia → North Macedonia) 5.52 118  Mongolia 5.50 119 (73)  Central African Republic (French Colonial Empire, French Equatorial Africa, Ubangi-Shari → Central African Republic) 5.40 120  Indonesia 5.35 121 (74)  Bosnia and Herzegovina ( Yugoslavia → Bosnia and Herzegovina) 5.32 122 (75)  Trinidad and Tobago (British Empire, West Indies Federation → Trinidad and Tobago) 5.28 123 (76)  U.S. Virgin Islands (US) 5.25 124 (77)  Gambia (British Empire, Gambia Colony and Protectorate → Gambia) 5.23 125 (78)  New Caledonia (French colonial Empire → France) 5.22 126 (79)  Uzbek SSR ( Soviet Union → Uzbekistan) 5.08 127 (80)  French Guiana (French Colonial Empire → France) 5.08 128  Chile 5.08 129 (81)  Azerbaijan SSR ( Soviet Union → Azerbaijan) 5.07 130 (82)  Tajik SSR ( Soviet Union → Tajikistan) 5.04 131  South Korea 5.02 132 (83)  Puerto Rico (US) 4.97  World 4.96 133 (84)  Vietnam (French Colonial Empire, French Indochina, French Vietnam → North Vietnam and South Vietnam → Vietnam) 4.96 134 (85)  Turkmen SSR ( Soviet Union → Turkmenistan) 4.89 135  Cuba 4.76 136 (86)  Montenegro ( Yugoslavia → Montenegro) 4.62 137  Israel 4.52 138 (87)  Antigua and Barbuda (British Empire → Antigua and Barbuda) 4.50 139 (88)  Hong Kong (British Empire, Hong Kong colony → China, Special administrative regions of China) 4.44 140 (89)  Barbados (British Empire → Barbados) 4.42 141 (90)  Macau (Portuguese Empire, Portuguese Macau → China, Special administrative regions of China) 4.39 142 (91)  Kazakh SSR ( Soviet Union → Kazakhstan) 4.30 143 (92)  Malta (British Empire → Malta) 4.14 144 (93)  Armenian SSR ( Soviet Union → Armenia ) 4.13 145 (94)  Bahamas (British Empire → Bahamas) 3.98 146 (95)  Gabon (French Colonial Empire, French Congo, French Equatorial Africa → Gabon 3.95 147 (96)  Kirghiz SSR ( Soviet Union → Kyrgyzstan) 3.92 148 (97)  Cyprus (British Empire, British Cyprus → Cyprus) 3.85 149 (98)  Jamaica (British Empire, Colony of Jamaica → Jamaica) 3.80 150  Iceland 3.62 151 (99)  Slovak Socialist Republic 3.59 152  Poland 3.53 153 (100)  SR Serbia ( Yugoslavia → Serbia and Montenegro → Serbia) 3.53 154  Canada 3.47 155  Ireland 3.47 156 (101)  Moldavian SSR ( Soviet Union → Moldova) 3.47 157  Japan 3.44 158  New Zealand 3.38 159  Argentina 3.16 160  Finland 3.13 161  Portugal 3.10 162  United States 3.05 163  Netherlands 3.05 164  Romania 3.05 165  Australia 3.01 166 (102)  Czech Socialist Republic 2.94 167 (103)  SR Croatia ( Yugoslavia → Croatia) 2.92 168 (104)  Lithuanian SSR ( Soviet Union → Lithuania) 2.90 169 (105)  SR Slovenia ( Yugoslavia → Slovenia) 2.87 170  France 2.83 171 (106)  Russian SFSR ( Soviet Union → Russia) 2.81 172  Hungary 2.77 173 (107)  Ukrainian SSR ( Soviet Union → Ukraine) 2.72 174  Uruguay 2.69 175  Bulgaria 2.66 176 (108)  Georgian SSR ( Soviet Union → Georgia) 2.65 177  Denmark 2.58 178  Italy 2.50 179 (109)  Byelorussian SSR ( Soviet Union → Belarus) 2.50 180  Greece 2.47 181  Norway 2.46 182  Spain 2.45 183  Belgium 2.33 184  Switzerland 2.33 185  Sweden 2.25  Population replacement 2.10 186 (110)  Estonian SSR ( Soviet Union → Estonia) 2.09 187  Germany ( West Germany and East Germany → Germany) 2.09 188  United Kingdom 2.08 189 Channel Islands - (111) Guernsey (UK) and (112) Jersey (UK) 2.06 190 (113)  Latvian SSR ( Soviet Union → Latvia) 2.01 191  North Korea 1.95 192  Austria 1.87 193  Luxembourg 1.87  Sovereign states: 80  Dependent territories: 113  World World 4.96  Not ranked (no data or data from other years) 1 (1)  American Samoa (US) - 2  Andorra - 3 (2)  Bermuda (UK) - 4 (3)  Cayman Islands (UK) - 5 (4)  Curaçao (Netherlands) - 6  Czechoslovakia (Dissolved in 1992) - 7 (5)  Dominica (British Colonial Empire → Dominica) - 8 (6)  Faroe Islands (Denmark) - 9 (7)  Gibraltar (UK) - 10 (8)  Guadeloupe (French Colonial Empire → France) - 11 (9)  Guam (US) - 12 (10)  Isle of Man (UK) - 13 (11)  SAP Kosovo ( Yugoslavia → Serbia and Montenegro → Serbia → Kosovo) - 14  Liechtenstein - 15 (12)  Marshall Islands (Trust Territory of the Pacific Islands → Marshall Islands) - 16 (13)  Mayotte (French Colonial Empire → France) - 17  Monaco - 18  Nauru - 19 (14)  Northern Mariana Islands (US) - 20 (15)  Palau (Trust Territory of the Pacific Islands → Palau) - 21 (16)  Palestine (Jordan, West Bank and Egypt, Gaza Strip → Israeli occupied territories → Palestinian territories) - 22  San Marino - 23 (17)  Seychelles (British Colonial Empire, Crown colony → Seychelles) - 24 (18)  Saint Martin (French part) - 25 (19)  Sint Maarten (Dutch part) - 26 (20)  Saint Kitts and Nevis (British Colonial Empire → Saint Kitts and Nevis) - 27  Soviet Union (dissolved in 1991) - 28 (21)  Turks and Caicos Islands (British Colonial Empire → UK) - 29 (22)  Tuvalu (British Empire, Gilbert and Ellice Islands → Ellice Islands → Tuvalu) - 30  Vatican City - 31  Yugoslavia (dissolved in 1992) -  Sovereign states: 9  Dependent territories: 22",Rank Country Fertility rate in 2015 (births/woman) 1  Niger 7.29 2  Somalia 6.37 3  DR Congo 6.20 4  Mali 6.14 5  Chad 6.05 6  Angola 5.77 7  Burundi 5.78 8  Uganda 5.68 9  East Timor 5.62 10  Nigeria 5.59 11  Gambia 5.49 12  Burkina Faso 5.44 13  Mozambique 5.30 14  Tanzania 5.08 15  Benin 5.05 16  Zambia 5.04 17  Ivory Coast 4.98 18  Central African Republic 4.94 19  South Sudan 4.94 20  Guinea 4.93 21  Senegal 4.84 22  Afghanistan 4.80 23  Equatorial Guinea 4.78 24  Cameroon 4.78 25  Mauritania 4.74 26  Congo 4.72 27  Guinea-Bissau 4.71 28  Malawi 4.65 29  Liberia 4.65 30  Sudan 4.59 31  Sierra Leone 4.56 32  São Tomé and Príncipe 4.52 33  Togo 4.52 34  Iraq 4.43 35  Comoros 4.42 36  Ethiopia 4.32 37  Madagascar 4.24 38  Eritrea 4.21 39  Yemen 4.10 40  Palestine (Gaza Strip and West Bank) 4.08 41  Ghana 4.04 42  Samoa 4.03 43  Rwanda 3.97 44  Kenya 3.92 45  Solomon Islands 3.91 46  Gabon 3.85 47  Zimbabwe 3.84 48  Papua New Guinea 3.71 49  Kiribati 3.69 50  Tonga 3.68 51  Pakistan 3.55 52  Namibia 3.47 53  Jordan 3.44 54  Tajikistan 3.40 55  Egypt 3.31 56  Vanuatu 3.31 57  Micronesia 3.20 58  Swaziland 3.14 59  Lesotho 3.14 60  Kyrgyzstan 3.05 61  Guatemala 3.03 62  Israel 3.00 63  Haiti 2.97 64  Syria 2.97 65  Philippines 2.96 66  Turkmenistan 2.93 67  Bolivia 2.92 68  Djibouti 2.91 69  Algeria 2.84 70  Mongolia 2.79 71  Botswana 2.77 72  Laos 2.76 73  Oman 2.74 74  Kazakhstan 2.66 75  Cambodia 2.59 76  Saudi Arabia 2.58 77  Belize 2.54 78  Fiji 2.54 79  Panama 2.54 80  Guyana 2.53 81  Morocco 2.53 82  Ecuador 2.51 83  Paraguay 2.51 84  Honduras 2.51 85  South Africa 2.48 86  Dominican Republic 2.45  World 2.45 87  Peru 2.43 88  Suriname 2.40 89  Indonesia 2.39 90  Cape Verde 2.37 91 (1)  Guam (US) 2.37 92  India 2.35 93  Venezuela 2.34 94  Uzbekistan 2.31 95  Libya 2.31 96  Argentina 2.31 97  Seychelles 2.30 98  Nicaragua 2.23 99  Myanmar (Burma) 2.23 100  Tunisia 2.22 101  Mexico 2.21 102 (2)  New Caledonia (France) 2.19 103  Nepal 2.16 104  Bangladesh 2.13 105  Grenada 2.13 106  Maldives 2.13 107  El Salvador 2.10  Population replacement 2.10 108  Bhutan 2.09 109  Azerbaijan 2.09 110  Turkey 2.07 111  Antigua and Barbuda 2.06 112  Sri Lanka 2.06 113  Bahrain 2.06 114  Malaysia 2.06 115  Jamaica 2.03 116  Uruguay 2.01 117  Georgia 2.00 118 (3)  Greenland (Denmark) 2.00 119 (4)  French Polynesia (France) 2.00 120  New Zealand 2.00 121  Kuwait 1.99 122  Ireland 1.99 123  France 1.98 124  Vietnam 1.96 125  Saint Vincent and the Grenadines 1.95 126  Iceland 1.95 127  Qatar 1.93 128  North Korea 1.92 129  Sweden 1.91 130 (5)  Curaçao (Netherlands) 1.90 131  Brunei 1.88 132  United Kingdom 1.88 133  Colombia 1.87 134  United States 1.87 135  Australia 1.86 136  Norway 1.82 137  Costa Rica 1.80 138  Barbados 1.80 139  Belgium 1.79 140  Chile 1.78 141  Bahamas 1.78 142  Trinidad and Tobago 1.77 143  Finland 1.77 144  United Arab Emirates 1.76 145  Denmark 1.73 146  Russia 1.73 147  Netherlands 1.73 148 (6)  U.S. Virgin Islands (US) 1.72 149  Lebanon 1.72 150  Cuba 1.72 151  Brazil 1.72 152  Albania 1.71 153  Belarus 1.69 154  Iran 1.69 155  Montenegro 1.68 156  Lithuania 1.64 157  Armenia 1.62 158  Estonia 1.62 159  China 1.62 160  Slovenia 1.61 161 (7)  Aruba (Netherlands) 1.60 162  Canada 1.59 163  Switzerland 1.54 164  Bulgaria 1.54 165  Latvia 1.53 166  Ukraine 1.53 167  Czech Republic 1.52 168  North Macedonia 1.52 169  Romania 1.51 170  Luxembourg 1.50 171 Channel Islands - (8) Guernsey (UK) and (9) Jersey (UK) 1.50 172  Thailand 1.50 173  Austria 1.48 174  Saint Lucia 1.47 175  Serbia 1.46 176  Croatia 1.46 177  Italy 1.46 178  Germany 1.45 179  Japan 1.44 180  Slovakia 1.43 181 (10)  Puerto Rico (US) 1.43 182  Malta 1.42 183  Hungary 1.36 184  Mauritius 1.36 185  Spain 1.35 186  Cyprus 1.35 187  Bosnia and Herzegovina 1.34 188  Poland 1.31 189  Greece 1.31 190  South Korea 1.28 191  Moldova 1.25 192  Portugal 1.25 193  Singapore 1.24 194 (11)  Macau (China) 1.20 195 (12)  Hong Kong (China) 1.20  Sovereign states: 183  Dependent territories: 12  World World 2.45  Not ranked (no data or data from other years) 1 (1)  American Samoa (US) - 2  Andorra - 3 (2)  Bermuda (UK) - 4 (3)  Cayman Islands (UK) - 5  Dominica - 6 (4)  Faroe Islands (Denmark) - 7 (5)  French Guiana (France) - 8 (6)  Guadeloupe (France) - 9 (7)  Isle of Man (UK) - 10  Kosovo - 11  Liechtenstein - 12  Marshall Islands - 13 (8)  Mayotte (France) - 14  Monaco - 15 (9)  Northern Mariana Islands (US) - 16  Palau - 17  San Marino - 18 (10)  Saint Martin (French part) - 19 (11)  Sint Maarten (Dutch part) - 20  Saint Kitts and Nevis - 21 (12)  Turks and Caicos Islands UK) - 22  Tuvalu - 23  Vatican City -  Sovereign states: 11  Dependent territories: 12,
Rank,Country,Fertility rate in 1950 (births/woman)
1,Iraq,8.11
2 (1),"Rwanda (Belgian overseas colonies, Ruanda-Urundi → United Nations trust territories → Rwanda)",7.92
3 (2),New Hebrides (British and French Condominium → Vanuatu),7.68
4 (3),"Samoa (United Nations trust territories, Western Samoa → Samoa)",7.63
5,Jordan,7.56
6,Dominican Republic,7.51
7,Honduras,7.47
8,Afghanistan,7.45
