Country or area,Subregion,Region,Internet users,Pct,Population .mw-parser-output .nobold{font-weight:normal}(2021)[10][11],Sources,Year
China,Eastern Asia,Asia,1089140000,,1425893465,[12],2022.0
India,Southern Asia,Asia,881250000,,1407563842,[13],2023.0
United States,Northern America,Americas,311300000,,336997624,[14],2023.0
Indonesia,South-eastern Asia,Asia,215626156,,273753191,[15][16] [17],2023.0
Brazil,South America,Americas,165300000,,214326223,[18],2022.0
Nigeria,Western Africa,Africa,136203231,,213401323,[19],2020.0
Pakistan,Southern Asia,Asia,130000000,,213756286,[20][21],2022.0
Russia,Eastern Europe,Europe,129800000,,145102755,[22][23],2022.0
Bangladesh,Southern Asia,Asia,126210000,,166303498,[24],2022.0
Japan,Eastern Asia,Asia,117400000,,124612530,[25] [failed verification],2021.0
Mexico,Northern America,Americas,96800000,,128972439,[26],2023.0
Iran,Western Asia,Asia,78086663,,87923432,[27],2022.0
Germany,Western Europe,Europe,77794405,,83408554,[28] [failed verification],2021.0
Philippines,South-eastern Asia,Asia,73003313,,113880328,[29] [failed verification],2021.0
Turkey,Southern Europe,Europe,69945905,,84775404,[30],2022.0
Vietnam,South-eastern Asia,Asia,68172134,,97468029,[31] [failed verification],2021.0
United Kingdom,Northern Europe,Europe,65001016,,67281039,[32] [failed verification],2021.0
France,Western Europe,Europe,59470000,,64531444,[33],2021.0
Egypt,Northern Africa,Africa,75660000,,109262178,[34] [failed verification],2022.0
South Korea,Eastern Asia,Asia,49421084,,51830139,[35] [failed verification],2021.0
Spain,Southern Europe,Europe,42400756,,47486935,[36] [failed verification],2021.0
Thailand,South-eastern Asia,Asia,54043108,,71601103,[37],2020.0
Italy,Southern Europe,Europe,50540000,,59240329,[38] [failed verification],2021.0
Saudi Arabia,Western Asia,Asia,34840000,,35950396,[39] [failed verification],2022.0
Poland,Eastern Europe,Europe,34697848,,38307726,[40],2020.0
Canada,Northern America,Americas,33950632,,38155012,[41] [failed verification],2021.0
Argentina,South America,Americas,40024673,,45276780,[42] [failed verification],2022.0
Tanzania,Eastern Africa,Africa,33090000,,63588334,[43],
South Africa,Southern Africa,Africa,31858027,,59392255,[44] [failed verification],2021.0
Colombia,South America,Americas,30548252,,51516562,[45] [failed verification],2021.0
Malaysia,South-eastern Asia,Asia,25343685,,33573874,[46] [failed verification],2021.0
Ukraine,Eastern Europe,Europe,28570000,,43531422,[47],2023.0
Algeria,Northern Africa,Africa,26350000,,44177969,[48] [failed verification],2021.0
Myanmar,South-eastern Asia,Asia,23650000,,53798084,[49] [failed verification],2021.0
Morocco,Northern Africa,Africa,22072765,,37076584,[50] [failed verification],2021.0
Taiwan,Eastern Asia,Asia,21920626,,23859912,[51] [failed verification],2021.0
Australia,"Australia, New Zealand",Oceania,21159515,,25921089,[52] [failed verification],2021.0
Venezuela,South America,Americas,20564451,,28199867,[53] [failed verification],2021.0
Ethiopia,Eastern Africa,Africa,19543075,,120283026,[54] [failed verification],2021.0
Iraq,Western Asia,Asia,18892351,,43533592,[55] [failed verification],2021.0
Uzbekistan,Central Asia,Asia,16692456,,34081449,[56] [failed verification],2021.0
Nepal,Southern Asia,Asia,16190000,,30034989,[57] [failed verification],2021.0
Netherlands,Western Europe,Europe,15877494,,17501696,[58] [failed verification],2021.0
Peru,South America,Americas,15674241,,33715471,[59] [failed verification],2021.0
Chile,South America,Americas,14864456,,19493184,[60] [failed verification],2021.0
Kazakhstan,Central Asia,Asia,13913699,,19196465,[61] [failed verification],2021.0
Romania,Eastern Europe,Europe,12545558,,19328560,[62] [failed verification],2021.0
