"Region, subregion, country or area",Type,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
WORLD,World,23.6,23.1,22.6,22.0,21.5,21.9,22.6,23.3,24.0,25.1,26.3,27.4,28.5,29.6,30.9
UN development groups,Label/Separator,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
More developed regions,Development Group,28.5,29.0,29.5,29.9,30.6,30.9,31.9,33.1,34.4,35.8,37.3,38.7,39.9,41.0,42.0
Less developed regions,Development Group,21.4,20.7,20.0,19.2,18.8,19.3,19.9,20.8,21.8,22.9,24.1,25.2,26.4,27.7,29.0
Least developed countries,Development Group,19.3,19.1,18.7,18.3,17.9,17.7,17.5,17.4,17.6,17.9,18.2,18.6,19.0,19.5,20.3
"Less developed regions, excluding least developed countries",Development Group,21.7,20.9,20.2,19.3,19.0,19.5,20.3,21.3,22.3,23.7,25.1,26.4,27.8,29.3,30.9
"Less developed regions, excluding China",Development Group,20.3,20.0,19.5,18.9,18.6,18.8,19.2,19.7,20.2,21.0,21.9,23.0,24.1,25.2,26.4
Land-locked Developing Countries (LLDC),Special other,20.1,19.8,19.5,18.7,18.3,18.3,18.5,18.4,18.3,18.2,18.3,18.7,19.1,19.7,20.4
Small Island Developing States (SIDS),Special other,20.2,19.9,19.5,19.1,19.1,19.6,20.7,22.0,23.2,24.4,25.5,26.5,27.7,28.9,30.3
World Bank income groups,Label/Separator,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
High-income countries,Income Group,28.7,29.0,29.1,29.1,29.3,29.6,30.7,31.9,33.2,34.6,36.1,37.5,38.7,39.9,41.0
Middle-income countries,Income Group,22.1,21.5,20.9,19.9,19.5,20.1,20.8,21.7,22.6,23.9,25.2,26.5,27.8,29.1,30.7
Upper-middle-income countries,Income Group,23.0,22.0,21.5,20.3,19.8,20.7,22.0,23.2,24.4,26.3,28.4,30.5,32.2,33.7,35.4
Lower-middle-income countries,Income Group,21.1,20.8,20.3,19.5,19.1,19.3,19.6,20.0,20.5,21.2,22.0,23.0,24.2,25.4,26.6
Low-income countries,Income Group,19.0,18.9,18.6,18.4,18.0,17.7,17.6,17.4,17.4,17.5,17.5,17.7,17.9,18.4,19.0
No income group available,Income Group,21.1,19.7,18.8,17.8,18.1,18.5,21.0,23.2,24.8,26.5,27.8,28.8,30.4,32.1,32.8
Geographic regions,Label/Separator,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Africa,Region,19.3,19.0,18.7,18.2,17.9,17.7,17.6,17.5,17.6,18.0,18.3,18.7,19.0,19.3,19.7
Asia,Region,22.1,21.3,20.7,19.8,19.5,20.0,20.9,22.0,23.0,24.4,26.0,27.4,28.8,30.3,32.0
Europe,Region,28.9,29.5,30.3,30.9,31.7,32.1,32.6,33.5,34.6,36.1,37.7,39.1,40.3,41.4,42.5
Latin America and the Caribbean,Region,19.8,19.4,18.9,18.6,18.6,19.1,19.8,20.8,21.8,23.0,24.2,25.8,27.4,29.1,31.0
Northern America,Region,30.0,30.1,29.4,28.3,28.2,28.8,29.9,31.4,32.9,34.1,35.4,36.4,37.2,37.9,38.6
Oceania,Region,27.7,27.3,26.2,25.1,24.6,25.3,26.2,27.3,28.5,29.6,30.8,31.8,32.1,32.6,33.4
Sustainable Development Goal (SDG) regions,Label/Separator,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
SUB-SAHARAN AFRICA,SDG region,19.1,18.9,18.6,18.3,17.9,17.6,17.4,17.2,17.2,17.4,17.6,17.8,17.9,18.2,18.7
Eastern Africa,Subregion,18.4,18.2,17.9,17.5,17.2,16.9,16.8,16.7,16.7,16.9,16.9,17.0,17.3,17.9,18.7
Burundi,Country/Area,19.5,18.9,18.3,17.6,17.1,17.0,17.4,16.9,16.1,14.9,15.0,16.2,17.0,17.1,17.3
Comoros,Country/Area,21.2,20.6,19.6,18.5,17.7,17.5,17.5,17.2,17.0,17.1,17.7,18.4,19.1,19.7,20.4
Djibouti,Country/Area,16.5,17.5,18.0,18.0,17.5,16.6,16.5,17.2,17.4,18.1,19.3,20.1,23.4,25.0,26.6
Eritrea,Country/Area,17.3,17.8,18.0,18.2,18.1,17.9,17.8,17.7,17.4,15.6,16.6,19.1,19.8,19.2,19.2
Ethiopia,Country/Area,17.9,18.0,18.1,18.1,18.0,17.6,17.6,17.0,16.8,16.7,16.6,16.7,17.3,18.3,19.5
Kenya,Country/Area,20.0,18.9,17.1,15.8,15.4,15.1,15.0,15.0,15.4,16.4,17.0,17.6,18.1,18.9,20.1
Madagascar,Country/Area,20.9,20.2,19.2,17.9,17.2,17.0,16.8,16.9,17.1,17.2,17.3,17.5,18.0,18.7,19.6
Malawi,Country/Area,17.1,17.7,18.0,18.1,17.9,17.4,17.1,16.8,17.5,17.4,16.9,16.6,16.6,17.2,18.1
Mauritius,Country/Area,17.3,16.9,16.7,16.7,17.8,19.5,21.5,23.1,24.9,26.8,29.0,30.5,32.9,35.6,37.5
Mayotte,Country/Area,30.3,22.7,19.4,17.9,16.7,15.6,15.4,15.6,15.9,17.0,17.7,18.3,18.5,19.0,20.1
Mozambique,Country/Area,19.1,19.2,19.0,18.7,18.4,18.2,18.3,17.8,16.5,17.7,17.6,17.3,17.0,17.1,17.6
Réunion,Country/Area,20.3,18.8,17.8,17.1,17.1,18.4,19.8,22.3,24.0,26.1,28.0,29.0,31.6,34.5,35.9
Rwanda,Country/Area,18.0,17.5,16.3,15.4,16.0,16.3,16.0,15.2,15.3,18.3,17.4,18.1,18.9,19.4,20.0
Seychelles,Country/Area,26.1,24.1,22.0,19.9,18.0,18.9,19.9,21.8,21.9,24.5,26.2,28.9,31.3,32.8,34.2
Somalia,Country/Area,19.5,19.2,18.9,18.5,18.3,18.2,18.1,18.0,17.8,17.3,16.5,16.1,15.9,16.2,16.7
South Sudan,Country/Area,18.5,18.9,19.0,19.0,18.6,18.0,17.8,17.8,17.8,17.7,17.6,17.7,18.0,18.4,19.0
Uganda,Country/Area,18.2,17.8,17.1,16.8,16.5,16.5,16.4,16.3,15.9,15.5,15.2,15.2,15.4,15.9,16.7
United Republic of Tanzania,Country/Area,16.9,17.1,17.1,17.1,17.0,16.8,16.8,16.9,17.0,17.2,17.4,17.4,17.4,17.6,18.0
Zambia,Country/Area,17.5,17.4,17.1,16.4,16.0,15.7,15.7,15.9,16.2,16.4,16.6,16.3,16.2,16.7,17.6
Zimbabwe,Country/Area,19.0,18.1,17.2,16.0,15.6,15.4,15.1,16.0,16.9,17.6,18.2,18.3,18.6,18.4,18.7
Middle Africa,Subregion,19.5,19.4,19.3,18.8,18.4,17.9,17.6,17.3,17.0,16.9,17.0,17.0,17.0,17.0,17.3
Angola,Country/Area,19.8,19.6,20.2,18.4,17.6,16.9,16.8,16.3,16.1,16.1,16.3,16.4,16.4,16.4,16.7
Cameroon,Country/Area,20.4,20.4,20.3,19.7,19.1,18.4,17.7,17.1,16.7,16.8,17.2,17.6,17.9,18.2,18.7
Central African Republic,Country/Area,22.5,22.3,21.7,21.0,20.1,19.1,18.8,18.8,18.1,18.2,18.1,18.0,17.7,17.1,17.6
Chad,Country/Area,21.5,20.7,19.9,19.2,18.6,18.2,17.5,16.8,16.2,15.8,15.5,15.4,15.6,16.0,16.6
Congo,Country/Area,20.1,19.7,19.2,18.5,17.8,17.3,16.9,17.0,17.4,18.0,18.6,18.9,19.2,18.9,19.2
Democratic Republic of the Congo,Country/Area,18.1,18.1,18.2,18.2,18.1,17.8,17.7,17.5,17.4,17.2,17.2,17.0,16.9,16.8,17.0
Equatorial Guinea,Country/Area,23.8,23.1,22.4,21.7,20.9,21.0,20.7,19.6,19.1,18.9,19.6,20.6,21.5,22.1,22.3
Gabon,Country/Area,28.1,27.9,27.3,26.4,25.4,23.4,21.4,19.9,19.3,19.0,19.3,20.0,21.2,22.3,22.5
