Country,Rank,Score,Change
Singapore,1,84.4,5.3
Switzerland,2,84.2,2.3
Ireland,3,82.0,0.6
New Zealand,4,80.6,3.3
Luxembourg,5,80.6,4.6
Taiwan,6,80.1,1.5
Estonia,7,80.0,1.8
Netherlands,8,79.5,2.7
Finland,9,78.3,2.2
Denmark,10,78.0,0.2
Sweden,11,77.9,3.2
Australia,12,77.7,4.7
Iceland,13,77.0,0.4
Norway,14,76.9,3.5
Canada,15,76.6,1.3
Germany,16,76.1,3.6
Lithuania,17,75.8,1.1
Latvia,18,74.8,2.5
South Korea,19,74.6,0.6
Chile,20,74.4,0.8
Czech Republic,21,74.4,0.6
Austria,22,73.8,0.1
Cyprus,23,72.9,1.5
United Kingdom,24,72.7,5.7
United States,25,72.1,2.7
Georgia,26,71.8,5.4
Malta,27,71.5,1.3
Barbados,28,71.3,6.3
Bulgaria,29,71.0,0.6
Mauritius,30,70.9,6.1
Portugal,31,70.8,3.3
Slovenia,32,70.5,2.2
United Arab Emirates,33,70.2,6.7
Uruguay,34,70.0,0.7
Japan,35,69.9,4.2
Slovakia,36,69.7,3.4
Belgium,37,69.6,0.5
The Bahamas,38,68.7,4.1
Poland,39,68.7,1.0
Samoa,40,68.3,6.4
Spain,41,68.2,1.7
Malaysia,42,68.1,6.3
Israel,43,68.0,5.8
Qatar,44,67.7,4.3
Croatia,45,67.6,4.0
Jamaica,46,67.4,1.6
Romania,47,67.1,2.4
Hungary,48,66.9,0.3
Cabo Verde,49,66.7,2.9
Albania,50,66.6,1.4
Peru,51,66.5,1.2
France,52,65.9,0.2
North Macedonia,53,65.7,2.9
Saint Vincent and the Grenadines,54,65.7,0.6
Costa Rica,55,65.4,1.2
Panama,56,65.4,0.8
Italy,57,65.4,0.5
Armenia,58,65.3,6.6
Serbia,59,65.2,2.0
Colombia,60,65.1,3.0
Botswana,61,64.8,2.8
Brunei Darussalam,62,64.8,1.8
Indonesia,63,64.4,2.5
Kazakhstan,64,64.4,6.7
Saint Lucia,65,64.3,3.2
Mongolia,66,63.9,1.5
Mexico,67,63.7,1.8
Bosnia and Herzegovina,68,63.4,0.5
Guatemala,69,63.2,0.8
Thailand,70,63.2,6.5
Dominican Republic,71,63.0,0.9
Vanuatu,72,62.9,2.4
Paraguay,73,62.9,0.3
Bahrain,74,62.0,7.9
Azerbaijan,75,61.6,8.5
Ivory Coast,76,61.6,0.1
Greece,77,61.5,0.6
Moldova,78,61.3,1.2
Seychelles,79,61.1,5.2
Philippines,80,61.1,3.0
Benin,81,61.0,1.4
Micronesia,82,61.0,10.6
Tonga,83,60.8,3.3
Vietnam,84,60.6,1.1
São Tomé and Príncipe,85,60.3,4.4
Kosovo,86,60.1,6.4
Jordan,87,60.1,4.5
Senegal,88,60.0,2.0
Ghana,89,59.8,0.6
El Salvador,90,59.6,1.4
Guyana,91,59.5,2.1
Honduras,92,59.5,0.3
Tanzania,93,59.5,1.8
Bhutan,94,59.3,1.0
Namibia,95,59.2,3.4
Kiribati,96,59.2,14.8
Morocco,97,59.2,4.1
Madagascar,98,58.9,1.2
Trinidad and Tobago,99,58.8,0.2
Burkina Faso,100,58.3,1.8
Kuwait,101,58.3,5.8
The Gambia,102,58.0,0.8
Montenegro,103,57.8,5.6
Togo,104,57.2,0.3
Rwanda,105,57.1,11.2
Cambodia,106,57.1,0.2
Turkey,107,56.9,7.1
Oman,108,56.6,8.0
Belize,109,56.6,0.9
Solomon Islands,110,56.5,0.0
Fiji,111,56.4,5.8
South Africa,112,56.2,3.5
Russia,113,56.1,5.4
Mali,114,55.9,0.3
Gabon,115,55.8,2.3
Kyrgyzstan,116,55.8,7.9
Uzbekistan,117,55.7,2.6
Saudi Arabia,118,55.5,10.5
Mauritania,119,55.3,0.8
Djibouti,120,55.3,0.9
Niger,121,54.9,2.4
Nicaragua,122,54.8,1.5
Papua New Guinea,123,54.6,4.3
Nigeria,124,54.4,4.3
Dominica,125,54.4,1.4
Ecuador,126,54.3,1.9
Uganda,127,54.2,4.4
Tunisia,128,54.2,2.4
Guinea,129,54.2,2.3
Ukraine,130,54.1,2.1
India,131,53.9,2.6
Sri Lanka,132,53.3,2.4
Brazil,133,53.3,0.1
Malawi,134,53.0,0.0
Belarus,135,53.0,8.0
Cameroon,136,52.9,0.5
Bangladesh,137,52.7,3.8
Kenya,138,52.6,2.3
Angola,139,52.6,1.6
Sierra Leone,140,52.0,0.3
Eswatini,141,51.4,3.7
Mozambique,142,51.3,0.3
Comoros,143,50.4,5.3
Argentina,144,50.1,2.6
Haiti,145,50.0,0.8
Chad,146,49.8,0.6
Tajikistan,147,49.7,5.5
Nepal,148,49.7,1.0
Myanmar,149,49.6,5.6
Ethiopia,150,49.6,2.1
Laos,151,49.2,4.7
Egypt,152,49.1,6.6
Pakistan,153,48.8,2.9
Zambia,154,48.7,1.7
Republic of the Congo,155,48.5,2.2
Suriname,156,48.1,1.7
Lesotho,157,48.1,5.4
China,158,48.0,10.4
Liberia,159,47.9,1.3
Congo-Kinshasa,160,47.6,1.4
Maldives,161,47.3,7.9
Lebanon,162,47.3,4.1
Equatorial Guinea,163,47.2,2.0
Timor-Leste,164,46.3,1.6
Turkmenistan,165,46.2,1.2
Guinea-Bissau,166,46.0,8.9
Algeria,167,45.8,3.9
Central African Republic,168,45.7,3.1
Bolivia,169,43.0,0.3
Iran,170,42.4,4.8
Eritrea,171,39.7,2.6
Burundi,172,39.4,10.5
Zimbabwe,173,33.1,6.4
Sudan,174,32.0,7.1
Cuba,175,29.5,1.4
Venezuela,176,24.8,0.1
North Korea,177,3.0,2.2
