Countries and territories,2021,2021.1,2021.2,2021.3,Historical data,Historical data.1,Historical data.2,Historical data.3,Historical data.4,Historical data.5,Historical data.6,Historical data.7,Historical data.8,COVID-19 impact,COVID-19 impact.1
Countries and territories,All,Male,Female,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Gender gap,2000.0,2000 →2014,2014.0,2014 →2019,2019.0,2019 →2020,2020.0,2020 →2021,2021.0,2019 →2021,2014 →2021
,,,,,,,,,,,,,,,
"Hong Kong SAR, China",85.49,83.20,87.90,4.70,80.88,3.10,83.98,1.20,85.18,0.32,85.5,−0.00,85.49,0.31,1.51
"Macao SAR, China",85.40,82.82,87.95,5.12,80.96,2.92,83.88,1.09,84.98,0.21,85.18,0.22,85.4,0.42,1.52
Japan,84.45,81.47,87.57,6.10,81.08,2.51,83.59,0.77,84.36,0.20,84.56,−0.11,84.45,0.09,0.86
Switzerland,83.85,81.90,85.90,4.00,79.68,3.52,83.2,0.71,83.9,−0.90,83.0,0.85,83.85,−0.05,0.65
South Korea,83.53,80.60,86.60,6.00,75.91,5.81,81.72,1.50,83.23,0.20,83.43,0.10,83.53,0.30,1.80
Faroe Islands,83.50,81.40,85.70,4.30,78.44,3.16,81.59,1.35,82.95,0.25,83.2,0.30,83.5,0.55,1.90
Singapore,83.44,81.10,85.90,4.80,77.95,4.54,82.5,1.10,83.6,0.87,84.47,−1.02,83.44,−0.15,0.95
Australia,83.30,81.30,85.40,4.10,79.23,3.07,82.3,0.60,82.9,0.30,83.2,0.10,83.3,0.40,1.00
Spain,83.18,80.30,86.20,5.90,78.97,4.26,83.23,0.60,83.83,−1.50,82.33,0.85,83.18,−0.65,−0.05
Norway,83.16,81.70,84.70,3.00,78.63,3.47,82.1,0.86,82.96,0.25,83.21,−0.05,83.16,0.20,1.06
Sweden,83.16,81.40,85.00,3.60,79.64,2.61,82.25,0.86,83.11,−0.75,82.36,0.80,83.16,0.05,0.90
Iceland,83.12,81.80,84.50,2.70,79.65,3.21,82.86,0.30,83.16,−0.10,83.06,0.05,83.12,−0.05,0.26
Malta,82.86,81.30,84.50,3.20,78.35,3.70,82.05,0.81,82.86,−0.51,82.35,0.51,82.86,0.00,0.81
Italy,82.80,80.60,85.10,4.50,79.78,3.31,83.09,0.41,83.5,−1.30,82.2,0.60,82.8,−0.70,−0.30
Luxembourg,82.75,80.70,84.90,4.20,77.87,4.36,82.23,0.41,82.64,−0.50,82.14,0.60,82.75,0.11,0.52
Canada,82.60,80.62,84.67,4.05,79.17,2.62,81.78,0.44,82.23,−0.56,81.67,0.93,82.6,0.37,0.81
Israel,82.50,80.50,84.60,4.10,78.95,3.20,82.15,0.65,82.8,−0.16,82.65,−0.15,82.5,−0.30,0.35
France,82.32,79.30,85.50,6.20,79.06,3.66,82.72,0.11,82.83,−0.65,82.18,0.15,82.32,−0.50,−0.40
New Zealand,82.21,80.50,84.00,3.50,78.64,2.82,81.46,0.60,82.06,0.20,82.26,−0.05,82.21,0.15,0.75
Ireland,82.10,80.20,84.10,3.90,76.54,4.81,81.35,1.35,82.7,−0.15,82.56,−0.45,82.1,−0.60,0.75
Finland,81.93,79.30,84.70,5.40,77.47,3.71,81.18,0.80,81.98,−0.05,81.93,0.00,81.93,−0.05,0.75
Belgium,81.89,79.50,84.40,4.90,77.72,3.57,81.29,0.71,82.0,−1.30,80.7,1.20,81.89,−0.10,0.60
Netherlands,81.46,79.90,83.10,3.20,77.99,3.72,81.71,0.40,82.11,−0.75,81.36,0.10,81.46,−0.65,−0.25
