Countries and territories,2019,2019.1,2019.2,2019.3,2021,2021.1,2021.2,2021.3,2019 →2021
Countries and territories,All,Male,Female,Gender gap,All,Male,Female,Gender gap,2019 →2021
,,,,,,,,,
"Hong Kong SAR, China",84.9,82.0,87.7,5.7,85.5,82.7,88.3,5.6,0.6
Japan,84.6,81.5,87.7,6.2,84.8,81.8,87.7,5.9,0.2
Australia,83.4,81.5,85.4,3.9,84.5,83.2,85.8,2.6,1.1
Switzerland,83.8,81.9,85.6,3.7,84.0,82.0,85.9,3.9,0.2
Malta,82.5,80.7,84.3,3.6,83.8,81.4,86.1,4.7,1.3
South Korea,83.0,79.9,86.0,6.1,83.7,80.4,86.8,6.4,0.7
Norway,82.4,80.4,84.4,4.0,83.2,81.6,84.9,3.3,0.8
Sweden,82.8,81.0,84.6,3.6,83.0,81.1,84.9,3.8,0.2
Spain,83.6,80.8,86.2,5.4,83.0,80.2,85.8,5.6,−0.6
Italy,83.5,81.3,85.5,4.2,82.9,80.5,85.1,4.6,−0.6
Singapore,83.6,81.5,85.7,4.2,82.8,80.6,84.9,4.3,−0.8
Iceland,83.0,81.5,84.5,3.0,82.7,81.2,84.2,3.0,−0.3
Canada,82.4,80.4,84.4,4.0,82.7,80.6,84.7,4.1,0.3
Luxembourg,82.3,80.2,84.3,4.1,82.6,80.4,84.8,4.4,0.3
New Zealand,82.3,80.6,84.0,3.4,82.5,80.6,84.3,3.7,0.2
France,82.7,79.7,85.5,5.8,82.5,79.4,85.5,6.1,−0.2
Israel,83.0,81.3,84.5,3.2,82.3,80.2,84.3,4.1,−0.7
Ireland,82.3,80.7,83.9,3.2,82.0,80.2,83.8,3.6,−0.3
Finland,81.9,79.1,84.7,5.6,82.0,79.3,84.7,5.4,0.1
Belgium,81.6,79.3,83.9,4.6,81.9,79.4,84.3,4.9,0.3
Netherlands,82.3,80.6,84.0,3.4,81.7,80.0,83.4,3.4,−0.6
Austria,81.5,79.2,83.9,4.7,81.6,79.0,84.1,5.1,0.1
Denmark,80.9,78.9,82.9,4.0,81.4,79.5,83.3,3.8,0.5
Cyprus,81.0,78.9,83.0,4.1,81.2,79.2,83.2,4.0,0.2
Portugal,82.1,79.0,84.9,5.9,81.0,77.8,84.1,6.3,−1.1
United Kingdom,81.3,79.6,83.0,3.4,80.7,78.7,82.8,4.1,−0.6
Slovenia,81.3,78.6,84.0,5.4,80.7,77.6,83.8,6.2,−0.6
Germany,81.3,78.9,83.7,4.8,80.6,78.1,83.2,5.1,−0.7
Andorra,81.9,—,—,—,80.4,77.2,84.3,7.1,−1.5
Greece,82.2,79.8,84.7,4.9,80.1,77.5,82.9,5.4,−2.1
Maldives,78.9,77.5,80.8,3.3,79.9,79.1,81.0,1.9,1.0
Qatar,80.2,79.1,82.0,2.9,79.3,78.3,80.9,2.6,−0.9
Chile,80.2,77.8,82.4,4.6,78.9,76.5,81.4,4.9,−1.3
Bahrain,77.3,76.4,78.4,2.0,78.8,77.8,80.0,2.2,1.5
Kuwait,75.5,74.8,76.6,1.8,78.7,77.2,81.5,4.3,3.2
United Arab Emirates,78.0,77.3,79.3,2.0,78.7,77.2,80.9,3.7,0.7
Thailand,77.2,73.5,80.9,7.4,78.7,74.5,83.0,8.5,1.5
Antigua and Barbuda,77.0,75.9,78.1,2.2,78.5,75.8,80.9,5.1,1.5
China,76.9,74.8,79.2,4.4,78.2,75.5,81.2,5.7,1.3
Czech Republic,79.4,76.8,81.9,5.1,77.7,74.7,80.9,6.2,−1.7
Barbados,79.2,77.8,80.5,2.7,77.6,75.6,79.4,3.8,−1.6
Croatia,78.5,75.3,81.6,6.3,77.6,74.2,81.1,6.9,−0.9
United States,78.9,76.3,81.4,5.1,77.2,74.3,80.2,5.9,−1.7
Estonia,78.8,74.4,82.7,8.3,77.1,72.8,81.2,8.4,−1.7
Costa Rica,80.3,77.7,82.9,5.2,77.0,74.4,79.8,5.4,−3.3
Saudi Arabia,75.1,73.9,76.8,2.9,76.9,75.6,78.8,3.2,1.8
Albania,78.6,77.0,80.2,3.2,76.5,74.1,79.2,5.1,−2.1
Poland,78.7,74.8,82.6,7.8,76.5,72.6,80.4,7.8,−2.2
Algeria,76.9,75.7,78.1,2.4,76.4,74.9,78.0,3.1,−0.5
Sri Lanka,77.0,73.6,80.3,6.7,76.4,73.1,79.5,6.4,−0.6
Montenegro,76.9,74.4,79.3,4.9,76.3,73.0,79.8,6.8,−0.6
Panama,78.5,75.4,81.8,6.4,76.2,73.0,79.6,6.6,−2.3
Turkey,77.7,74.7,80.6,5.9,76.0,73.0,79.1,6.1,−1.7
Argentina,76.7,73.2,80.0,6.8,75.4,72.2,78.6,6.4,−1.3
Uruguay,77.9,74.1,81.5,7.4,75.4,71.7,79.3,7.6,−2.5
Bosnia and Herzegovina,77.4,74.9,79.9,5.0,75.3,73.1,77.5,4.4,−2.1
Lebanon,78.9,77.1,80.9,3.8,75.0,72.8,77.3,4.5,−3.9
Malaysia,76.2,74.2,78.3,4.1,74.9,72.7,77.4,4.7,−1.3
Grenada,72.4,70.1,75.0,4.9,74.9,72.2,77.9,5.7,2.5
Slovakia,77.5,74.0,81.0,7.0,74.9,71.5,78.4,6.9,−2.6
Brunei,75.9,74.7,77.1,2.4,74.6,72.6,76.9,4.3,−1.3
Hungary,76.9,73.2,80.3,7.1,74.5,71.1,77.9,6.8,−2.4
Jordan,74.5,72.8,76.3,3.5,74.3,72.1,76.8,4.7,−0.2
Serbia,76.0,73.4,78.6,5.2,74.2,71.2,77.2,6.0,−1.8
Romania,76.1,72.6,79.5,6.9,74.2,70.6,77.9,7.3,−1.9
Cabo Verde,73.0,69.5,76.2,6.7,74.1,69.6,78.5,8.9,1.1
Morocco,76.7,75.4,77.9,2.5,74.0,71.9,76.4,4.5,−2.7
Iran,76.7,75.6,77.9,2.3,73.9,71.2,76.8,5.6,−2.8
North Macedonia,75.8,73.8,77.8,4.0,73.8,71.7,76.2,4.5,−2.0
Nicaragua,74.5,70.9,78.0,7.1,73.8,70.8,76.8,6.0,−0.7
Tunisia,76.7,74.7,78.7,4.0,73.8,70.7,77.1,6.4,−2.9
Cuba,78.8,76.8,80.8,4.0,73.7,71.2,76.4,5.2,−5.1
Ecuador,77.0,74.3,79.8,5.5,73.7,70.3,77.5,7.2,−3.3
Lithuania,75.9,70.3,81.4,11.1,73.7,68.8,78.8,10.0,−2.2
Mauritius,75.0,71.7,78.5,6.8,73.6,70.4,76.8,6.4,−1.4
Latvia,75.3,70.2,80.0,9.8,73.6,69.2,77.8,8.6,−1.7
Vietnam,75.4,71.3,79.5,8.2,73.6,69.1,78.2,9.1,−1.8
Palestine,74.1,72.4,75.8,3.4,73.5,71.1,75.9,4.8,−0.6
North Korea,72.3,68.6,75.7,7.1,73.3,70.8,75.7,4.9,1.0
Trinidad and Tobago,73.5,70.9,76.2,5.3,73.0,69.7,76.4,6.7,−0.5
Samoa,73.3,71.3,75.5,4.2,72.8,70.3,75.5,5.2,−0.5
Dominica,78.2,—,—,—,72.8,69.7,76.3,6.6,−5.4
Brazil,75.9,72.2,79.6,7.4,72.8,69.6,76.0,6.4,−3.1
Colombia,77.3,74.5,80.0,5.5,72.8,69.4,76.4,7.0,−4.5
Dominican Republic,74.1,71.0,77.4,6.4,72.6,69.3,76.3,7.0,−1.5
Oman,77.9,76.1,80.3,4.2,72.5,71.0,74.7,3.7,−5.4
Bangladesh,72.6,70.9,74.6,3.7,72.4,70.6,74.3,3.7,−0.2
Peru,76.7,74.1,79.5,5.4,72.4,70.1,74.7,4.6,−4.3
Belarus,74.8,69.7,79.6,9.9,72.4,67.3,77.7,10.4,−2.4
Syria,72.7,67.9,78.1,10.2,72.1,69.1,75.2,6.1,−0.6
Armenia,75.1,71.3,78.5,7.2,72.0,66.6,77.4,10.8,−3.1
Libya,72.9,70.1,76.0,5.9,71.9,69.6,74.4,4.8,−1.0
Bhutan,71.8,71.4,72.2,0.8,71.8,70.1,73.8,3.7,0.0
Bulgaria,75.1,71.6,78.7,7.1,71.8,68.4,75.5,7.1,−3.3
Georgia,73.8,69.3,78.1,8.8,71.7,66.8,76.7,9.9,−2.1
Tajikistan,71.1,68.9,73.4,4.5,71.6,69.6,73.7,4.1,0.5
Bahamas,73.9,71.7,76.1,4.4,71.6,68.1,75.1,7.0,−2.3
Ukraine,72.1,67.1,76.8,9.7,71.6,66.5,76.7,10.2,−0.5
World,72.8,70.6,75.0,4.4,71.4,68.9,74.0,5.1,−1.4
Seychelles,73.4,69.9,77.4,7.5,71.3,67.7,75.7,8.0,−2.1
Saint Lucia,76.2,74.9,77.6,2.7,71.1,67.8,74.7,6.9,−5.1
Tonga,70.9,69.0,72.9,3.9,71.0,68.4,73.7,5.3,0.1
Mongolia,69.9,65.8,74.1,8.3,71.0,66.5,75.7,9.2,1.1
Uzbekistan,71.7,69.6,73.8,4.2,70.9,68.3,73.4,5.1,−0.8
Micronesia,67.9,66.2,69.6,3.4,70.7,67.1,74.6,7.5,2.8
El Salvador,73.3,68.5,77.8,9.3,70.7,66.1,75.1,9.0,−2.6
Venezuela,72.1,68.3,76.0,7.7,70.6,66.3,75.2,8.9,−1.5
