Rank,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Δ Rank,Country,Regime type,Overall score,Δ Score,Elec­toral pro­cess and plura­lism,Func­tioning of govern­ment,Poli­tical partici­pation,Poli­tical cul­ture,Civil liber­ties
Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies,Full democracies
1,,Norway,Full democracy,9.81,0.06,10.00,9.64,10.00,10.00,9.41
2,,New Zealand,Full democracy,9.61,0.14,10.00,9.29,10.00,8.75,10.00
3,2,Iceland,Full democracy,9.52,0.34,10.00,9.64,8.89,9.38,9.71
4,,Sweden,Full democracy,9.39,0.13,9.58,9.64,8.33,10.00,9.41
5,2,Finland,Full democracy,9.29,0.02,10.00,9.64,8.33,8.75,9.71
6,,Denmark,Full democracy,9.28,0.19,10.00,9.29,8.33,9.38,9.41
7,2,Switzerland,Full democracy,9.14,0.24,9.58,9.29,8.33,9.38,9.12
8,1,Ireland,Full democracy,9.13,0.13,10.00,8.21,8.33,10.00,9.12
9,2,Netherlands,Full democracy,9.00,0.12,9.58,8.93,8.33,8.75,9.41
10,2,Taiwan,Full democracy,8.99,,10.00,9.64,7.78,8.13,9.41
11,2,Uruguay,Full democracy,8.91,0.06,10.00,8.93,7.78,8.13,9.71
12,,Canada,Full democracy,8.88,0.01,10.00,8.57,8.89,8.13,8.82
13,1,Luxembourg,Full democracy,8.81,0.13,10.00,8.93,6.67,8.75,9.71
14,1,Germany,Full democracy,8.80,0.13,9.58,8.57,8.33,8.13,9.41
15,6,Australia,Full democracy,8.71,0.19,10.00,8.57,7.78,7.50,9.71
16,1,Japan,Full democracy,8.33,0.18,9.17,8.57,6.67,8.13,9.12
17,3,Costa Rica,Full democracy,8.29,0.22,9.58,7.50,7.78,6.88,9.71
18,,United Kingdom,Full democracy,8.28,0.18,9.58,7.50,8.33,6.88,9.12
19,6,Chile,Full democracy,8.22,0.30,9.58,8.21,6.67,7.50,9.12
20,,Austria,Full democracy,8.20,0.13,9.58,7.14,8.89,6.88,8.53
21,2,Mauritius,Full democracy,8.14,0.06,9.17,7.86,6.11,8.75,8.82
22,,France,Full democracy,8.07,0.08,9.58,7.86,7.78,6.88,8.24
22,2,Spain,Full democracy,8.07,0.13,9.58,7.50,7.22,7.50,8.53
24,8,South Korea,Full democracy,8.03,0.13,9.58,8.57,7.22,6.25,8.53
Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies,Flawed democracies
25,4,Czech Republic,Flawed democracy,7.97,0.23,9.58,6.43,7.22,7.50,9.12
25,9,Greece,Flawed democracy,7.97,0.41,10.00,7.14,6.67,7.50,8.53
27,,Estonia,Flawed democracy,7.96,0.12,9.58,7.86,6.67,6.88,8.82
28,,Portugal,Flawed democracy,7.95,0.13,9.58,7.50,6.67,6.88,9.12
29,6,Israel,Flawed democracy,7.93,0.04,9.58,7.86,9.44,6.88,5.88
30,4,United States,Flawed democracy,7.85,,9.17,6.43,8.89,6.25,8.53
31,4,Slovenia,Flawed democracy,7.75,0.21,9.58,7.14,7.22,6.25,8.53
32,2,Botswana,Flawed democracy,7.73,,9.17,6.79,6.67,7.50,8.53
33,,Malta,Flawed democracy,7.70,0.13,9.17,7.14,5.56,8.13,8.53
34,3,Italy,Flawed democracy,7.69,0.01,9.58,6.79,7.22,7.50,7.35
35,3,Cape Verde,Flawed democracy,7.65,,9.17,7.00,6.67,6.88,8.53
36,,Belgium,Flawed democracy,7.64,0.13,9.58,8.21,5.00,6.88,8.53
37,,Cyprus,Flawed democracy,7.38,0.05,9.17,5.36,6.67,6.88,8.82
38,,Latvia,Flawed democracy,7.37,0.06,9.58,6.07,6.11,6.25,8.82
39,1,Lithuania,Flawed democracy,7.31,0.13,9.58,6.43,6.11,5.63,8.82
40,1,Malaysia,Flawed democracy,7.30,0.06,9.58,7.86,7.22,6.25,5.59
41,,Trinidad and Tobago,Flawed democracy,7.16,,9.58,7.14,6.11,5.63,7.35
42,,Jamaica,Flawed democracy,7.13,,8.75,7.14,5.00,6.25,8.53
