Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world (%),Sources
Afghanistan,37135000,37025000,99.7,2.0,[40]
Albania,3057220,1797645,58.8,0.1,[41][42]
Algeria,44178884,43737096,99,2.7,[43]
American Samoa,50826,"< 1,000",< 0.1,< 0.1,[44]
Andorra,85708,2228,2.6,< 0.1,[45][46]
Angola,30355880,90000,0.3,< 0.1,[47][48]
Anguilla,17422,"< 1,000",0.6,< 0.1,[49]
Antigua and Barbuda,95882,"< 1,000",0.3,< 0.1,[50]
Argentina,44694198,400000,0.9,< 1,[51][48]
Armenia,3038217,1038,0.03,< 0.1,[52]
Aruba,116576,"< 1,000",0.4,< 0.1,[53][54]
Australia,25700000,813392,3.2,< 0.1,[55]
Austria,9000000,720000,8,< 0.1,[56][57]
Azerbaijan,10353296,10073758,97.3,0.5,[58]
Bahamas,332634,"< 1,000",0.1,< 0.1,[59]
Bahrain,1442659,1063239,73.7,< 0.1,[60]
Bangladesh,165200000,150800000,91.0,9.2,[61][62]
Barbados,293131,4396,1.5,< 0.1,[63]
Belarus,9527543,"45,000–100,000",0.5–1.0,< 0.1,[64][65][66]
Belgium,11570762,879377,7.6,< 0.1,[67][68]
Belize,385854,"< 1,000",0.2,< 0.1,[69][70]
Benin,11340504,3141319,27.7,0.14,[71]
Bermuda,71176,"< 1,000",1,< 0.1,[72]
Bhutan,766397,"≤ 2,000",0.2,< 0.1,[73][74]
Bolivia,11306341,2000,< 0.1,< 0.1,[75][76]
Bosnia and Herzegovina,3849891,1955084,50.7,0.1,[77]
Botswana,2249104,8996,0.4,< 0.1,[78][79]
Brazil,210000000,"35,167–1,500,000",0.02–0.7,< 0.1,[80][81]
British Virgin Islands,35802,"< 1,000",1.2,< 0.1,[82]
Brunei,450565,355045,80.9,< 0.1,[83]
Bulgaria,7057504,861015,13.4,< 0.1,[84][85]
Burkina Faso,21382659,13513840,63.8,0.6,[86]
Burundi,11844520,1184452,10,< 0.1,[87][88]
Cambodia,15552211,311044,2,< 0.1,[89]
Cameroon,25640965,7692289,30,0.4,[90][91]
Canada,36328480,1775715,4.9,0.1,[92]
Cape Verde,568373,11367,2,< 0.1,[93][94]
Cayman Islands,59613,"< 1,000",0.2,< 0.1,[95]
Central African Republic,5745062,861759,15,< 0.1,[96]
