Country/Territory,Most recent national census data,Most recent national census data,Most recent national census data,Most recent national census data,Pew estimates (2010)[1],Pew estimates (2010)[1],Pew estimates (2010)[1],Other estimates
Country/Territory,Population,% Buddhist,No. of Buddhists,Census Year,Population,% Buddhist,No. of Buddhists,Other estimates
Afghanistan,,,,,31410000.0,< 0.1%,"< 10,000",
Albania,,,,,3200000.0,< 0.1%,"< 10,000",
Algeria,,,,,35470000.0,< 0.1%,"< 10,000",
American Samoa,,,,,70000.0,0.3%,"< 10,000",
Andorra,,,,,80000.0,< 0.1%,"< 10,000",
Angola,,,,,19080000.0,< 0.1%,"< 10,000",
Argentina,47327407.0,,,2022,40410000.0,< 0.1%,20000,
Armenia,,,,,3090000.0,< 0.1%,"< 10,000",
Aruba,,,,,110000.0,0.1%,"< 10,000",
Australia,25422788.0,2.4%,615800.0,2021[13],22270000.0,2.7%,600000,
Austria,,,,,8390000.0,0.2%,20000,
Azerbaijan,,,,,9190000.0,< 0.1%,"< 10,000",
Bahamas,,,,,340000.0,< 0.1%,"< 10,000",
Bahrain,,,,,1260000.0,2.5%,30000,
Bangladesh,165158616.0,0.61%,,2022[14],148690000.0,0.5%,720000,
Barbados,,,,,270000.0,< 0.1%,"< 10,000",
Belarus,,,,,9600000.0,< 0.1%,"< 10,000",
Belgium,,,,,10710000.0,0.2%,30000,0.3% (2018)[15]
Belize,,,,,310000.0,0.5%,"< 10,000",
Benin,,,,,8850000.0,< 0.1%,"< 10,000",
Bermuda,,,,,60000.0,0.5%,"< 10,000",
Bhutan,735553.0,,,2017,730000.0,74.7%,540000,
Bolivia,,,,,9930000.0,< 0.1%,"< 10,000",
Botswana,,,,,2010000.0,< 0.1%,"< 10,000",
Brazil,,,,,194950000.0,0.1%,250000,
Brunei,,,,,400000.0,8.6%,30000,
Bulgaria,,,,,7490000.0,< 0.1%,"< 10,000",
Burkina Faso,,,,,16470000.0,< 0.1%,"< 10,000",
Cambodia,,,,,14140000.0,97.9%,13690000,97.9% (2013)[16]
Cameroon,,,,,19600000.0,< 0.1%,"< 10,000",
Canada,,,,,34020000.0,0.8%,280000,"1.1% / 366,830 (2011 Census)[17][18]"
Chad,,,,,11230000.0,< 0.1%,"< 10,000",
Chile,,,,,17110000.0,< 0.1%,10000,
China,,,,,1341340000.0,18.2%,244130000,"18.3% / 254,700,000 (2020)[19]"
Colombia,,,,,46290000.0,< 0.1%,"< 10,000",
Democratic Republic of the Congo,,,,,65970000.0,< 0.1%,"< 10,000",
Republic of the Congo,,,,,4040000.0,< 0.1%,"< 10,000",
Costa Rica,,,,,4660000.0,< 0.1%,"< 10,000","2.34% / 100,000 (2012)[20]"
Côte d'Ivoire,,,,,19740000.0,< 0.1%,"< 10,000",
Croatia,,,,,4400000.0,< 0.1%,"< 10,000",
Cuba,,,,,11260000.0,< 0.1%,"< 10,000",
Cyprus,,,,,1100000.0,0.2%,"< 10,000",
Czech Republic,,,,,10490000.0,< 0.1%,"< 10,000",
Denmark,,,,,5550000.0,0.2%,10000,"1.1% / 64,000 (2018)[21]"
Dominica,,,,,70000.0,0.1%,"< 10,000",
Dominican Republic,,,,,,< 0.1%,"< 10,000",
Ecuador,,,,,,< 0.1%,"< 10,000",
Egypt,,,,,,< 0.1%,"< 10,000",
El Salvador,,,,,,< 0.1%,"< 10,000",
Estonia,,,,,,< 0.1%,"< 10,000",
Ethiopia,,,,,,< 0.1%,<,
Falkland Islands,,,,,,< 0.1%,¿?,
Federated States of Micronesia,,,,,110000.0,0.4%,"< 10,000",
Fiji,,,,,,< 0.1%,"< 10,000",
Finland,,,,,,< 0.1%,"< 10,000",
France,,,,,62790000.0,0.5%,280000,
French Guiana,,,,,,< 0.1%,"< 10,000",
French Polynesia,,,,,,< 0.1%,"< 10,000",
Germany,,,,,82300000.0,0.3%,210000,"270,000 (2016)[22]"
Ghana,,,,,,< 0.1%,"< 10,000",
Greece,,,,,,< 0.1%,"< 10,000",
Guam,,,,,180000.0,1.1%,"< 10,000",
Guatemala,,,,,,< 0.1%,"< 10,000",
Guinea,,,,,,< 0.1%,"< 10,000",
Guyana,,,,,,< 0.1%,"< 10,000",
Haiti,,,,,,< 0.1%,"< 10,000",
Honduras,,,,,7600000.0,0.1%,"< 10,000",
Hong Kong,,,,,7050000.0,13.2%,930000,
Hungary,,,,,,< 0.1%,"< 10,000",
Iceland,,,,,320000.0,0.4%,"< 10,000",
India,1210854977.0,0.7%,8442972.0,2011,1224610000.0,0.8%,9250000,
Indonesia,,,,,266535000.0,0.8%,2062150,
Iran,,,,,,< 0.1%,"< 10,000",
Iraq,,,,,,< 0.1%,"< 10,000",
Ireland,,,,,4470000.0,0.2%,"< 10,000",
Israel,,,,,7420000.0,0.3%,20000,
Italy,,,,,60550000.0,0.2%,110000,"0.3% / 160,000 (According to Caritas Italiana)[23]"
Jamaica,,,,,2740000.0,< 0.1%,"< 10,000",
Japan,,,,,126540000.0,36.2%,45820000,"67% or 84,336,539 (2018, ACA Religious Yearbook);[24] less than 20% (2017, JGSS)[25]"
Jordan,,,,,6190000.0,0.4%,20000,
Kazakhstan,,,,,16030000.0,0.2%,40000,
