Countries,Core population,Core population,Core population,Connected population,Connected population,Connected population,Enlarged population,Enlarged population,Enlarged population,Eligible population,Eligible population,Eligible population,National official
Countries,Total,pct,pmp,Total,pct,pmp,Total,pct,pmp,Total,pct,pmp,National official
Israel[a],6340600,,729090,6559300,,754238,6778000,,779386,6778000,,779386,"7,145,000 [29](2023)"
United States,5700000,,17320,8000000,,24309,10000000,,30386,12000000,,36463,"6,543,820 [30](2018)"
France[b],448000,,6910,550000,,8483,650000,,10026,750000,,11568,—
West Bank[c],432800,,140280,437800,,141901,442700,,143489,442700,,143489,—
Canada,393000,,10500,450000,,12023,550000,,14695,700000,,18702,"150,000 [31](2023)"
United Kingdom[d],292000,,4370,330000,,4939,370000,,5537,410000,,6136,"263,346 [32][33][34](2011)"
Argentina,175000,,3990,260000,,5779,310000,,6891,360000,,8002,—
Russia,155000,,1060,320000,,2188,460000,,3146,600000,,4103,"157,673 [35](2010)"
Australia,118000,,4660,130000,,5134,145000,,5726,160000,,6319,"91,022 (2016)[36]"
Germany,118000,,1420,150000,,1805,225000,,2708,275000,,3309,"83,430 [37](2011)"
Brazil,92000,,440,120000,,574,150000,,717,180000,,861,"107,329 [36](2011)"
South Africa,52300,,890,65000,,1106,75000,,1276,85000,,1446,"49,469 [38](2016)"
Hungary,47200,,4830,75000,,7675,100000,,10233,130000,,13303,"10,965 [36](2011)"
Ukraine,45000,,1070,90000,,2140,140000,,3329,200000,,4756,"103,878 [39](2001)"
Mexico,40000,,320,45000,,360,50000,,400,65000,,520,"67,476 [36](2010)"
Netherlands,29800,,1250,43000,,1563,53000,,2188,63000,,2813,0.1% [40](2016)
Belgium,29000,,2530,35000,,3053,40000,,3490,45000,,3926,—
Italy,27000,,450,34000,,560,41000,,676,48000,,791,—
Switzerland,18500,,2160,22000,,2569,25000,,2919,28000,,3269,"16,763 [36](2011)"
Uruguay,16000,,4690,20000,,5685,24000,,6822,28000,,7959,—
Chile,16000,,840,20000,,1050,24000,,1260,28000,,1470,"14,976 [36](2002)"
Sweden,15000,,1460,20000,,1947,25000,,2433,30000,,2920,—
Turkey,14500,,180,19000,,234,21000,,259,23000,,284,—
Spain,13000,,280,16000,,345,19000,,409,22000,,474,—
Austria,10300,,1160,14000,,1577,17000,,1915,20000,,2252,"8,140 [36](2001)"
Panama,10000,,2370,11000,,2607,12000,,2844,13000,,3081,—
Iran,9500,,110,10500,,122,12000,,139,13000,,151,"9,826 [36](2016)"
Romania,8900,,460,13000,,672,17000,,879,20000,,1034,"3,519 [36](2011)"
Belarus,8500,,900,17000,,1800,25000,,2647,33000,,3494,"13,705 [41](2019)"
New Zealand,7500,,1510,8500,,1711,9500,,1913,10500,,2114,"5,274 [36](2018)"
Azerbaijan,7200,,720,10500,,1050,15500,,1550,20500,,2050,"9,084 [41](2009)"
Venezuela,6000,,210,10000,,350,12000,,420,14000,,490,"9,500 [42][43](2010)"
Denmark,6400,,1100,7500,,1289,8500,,1461,9500,,1633,—
India,4800,,3,6000,,4,7500,,5,9000,,6,"4,650 [44](2011)"
Latvia,4500,,2350,8000,,4178,12000,,6267,16000,,8356,"8,210 [45](2019)"
