Location [Note 1],1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,To CIA estimates
,,,,,,,,,,,,,,,
Iceland *,21.57,17.54,16.96,13.11,11.9,8.94,6.15,5.64,4.77,3.71,2.54,1.99,1.57,1.25,<-
Hong Kong * (China),61.89,46.26,33.58,24.66,16.68,12.91,9.5,7.26,5.2,3.6,2.52,1.86,1.59,1.32,<-
Singapore *,60.96,43.15,28.59,23.75,19.33,12.85,8.77,5.47,4.81,3.73,2.5,2.15,2.07,1.63,<-
Finland *,33.08,25.13,19.16,14.62,11.54,8.54,6.37,5.97,4.93,3.84,3.21,2.72,2.1,1.71,<-
Japan *,47.67,36.12,24.7,15.93,11.59,8.48,6.42,4.85,4.4,3.66,2.98,2.55,2.18,1.76,<-
Slovenia *,22.78,18.69,16.59,16.58,15.53,13.75,13.37,10.23,7.35,4.91,4.03,3.2,2.23,1.87,<-
Sweden *,19.37,16.84,15.36,12.33,10.22,7.75,6.77,6.11,5.11,3.57,3.23,2.57,2.4,2.04,<-
Norway *,21.69,18.73,16.65,13.53,11.1,8.77,7.99,8.04,5.51,3.98,3.46,3.0,2.45,2.07,<-
Czech Republic *,42.18,23.35,20.4,21.63,20.13,17.45,14.45,11.35,8.99,5.47,3.96,3.08,2.53,2.27,<-
South Korea *,159.09,95.74,73.36,56.51,38.74,33.6,25.17,15.65,10.3,6.9,5.01,3.51,2.97,2.11,<-
Estonia *,85.29,49.64,33.41,23.52,21.09,21.85,20.27,18.24,16.34,11.97,7.27,4.75,3.2,1.99,<-
Spain *,62.73,50.97,41.17,32.97,22.72,15.38,10.65,8.32,6.63,4.94,4.03,3.37,2.88,2.35,<-
Italy *,59.07,47.97,40.16,32.49,25.83,17.16,12.42,9.29,7.43,5.48,4.14,3.43,3.04,2.6,<-
Macau * (China),65.86,56.33,44.32,34.82,26.48,19.52,15.0,11.41,8.76,6.4,4.92,3.8,3.06,2.62,<-
Portugal *,91.99,87.6,77.37,60.79,45.35,29.82,19.55,13.8,9.13,6.37,4.5,3.32,2.95,2.96,<-
Netherlands *,23.0,18.24,15.65,13.26,10.97,9.25,8.29,7.34,6.17,5.28,4.86,4.11,3.46,2.51,<-
Ireland *,40.56,33.47,27.7,22.35,18.07,14.61,9.97,8.32,6.58,6.09,5.25,3.71,3.39,2.7,<-
Greece *,45.8,41.19,38.03,33.61,24.98,20.82,14.71,11.52,8.45,6.61,4.55,3.48,3.28,2.82,<-
Israel *,38.92,33.05,28.33,24.33,20.66,17.09,13.72,10.73,8.49,6.18,5.03,3.97,3.43,2.73,<-
Belgium *,44.74,35.42,26.96,22.26,18.24,13.68,10.73,9.14,7.76,5.26,4.22,3.83,3.46,2.83,<-
