Country,Age (reduced)[a],Age (full)[b],Ref,Notes
Afghanistan,12,,[20],"Minimum age of criminal responsibility is 12. Children aged 7–12 can be subject to warnings, supervision by social services, or confinement to a rehabilitation centre."
Albania,14,16,[21],Article 1 of the Code distinguishes between offences and contraventions. Article 12 mandates that the latter (which are less serious) have a higher age limit of 16.
Algeria,13,18,[22],
Andorra,12,18/21,[23],
Angola,14,,[24],"Minimum and maximum sentences are reduced by two thirds between 14 and 16, and half between 16 and 18. The needs of rehabilitation and social reintegration are also to be taken into account for minors."
Antigua and Barbuda,8,16,[25],"According to Articles 1 and 3 of the Juvenile Act, Courts must have regard to the welfare of those under 16."
Argentina,16,18,[26][27],
Armenia,14,,[28],
Australia,10/14,18/21,[29],"Age of criminal responsibility in Australia. Review under way since 2019.[30] Rebuttable presumption of incapacity until age 14.[29][31] Juvenile offenders aged 14–17 are always held criminally responsible, but they are always tried as young/juvenile offenders, meaning generally more lenient sentences compared to adults. Also, juvenile offenders' photos and names usually cannot be released by the media, and access to the juvenile court list/courtroom is restricted to authorized people only. Nevertheless, juvenile offenders convicted still obtain a permanent (but usually sealable or annuable) criminal record as if they were adults (hence the criminal responsibility), but with generally reduced waiting times and often more lenient standards for convictions to become 'spent' or 'annulled' depending on Commonwealth, State, or Territory legislation applicable. Full adult criminal responsibility in terms of sentencing and conviction annullement eligibility at age 18 (21 in Victoria)."
Austria,14,18/21,[32],
Azerbaijan,14,16,[33],
Bahrain,15,,[34],
Bangladesh,9,,[35],
Belarus,14,16,[36],"16 is the standard age of criminal liability in Belarus. Minors between 14 and 16 years old are responsible only for certain severe crimes, according to article 27 of the Belarusian Criminal Code."
Belgium,12,,[37],
Belize,7,,[38],
Benin,13,,[39],
Bhutan,10,,[35],
Bolivia,14,,[40][41],Lowered in July 2014 from 16 to 14.
Bosnia and Herzegovina,14,,[citation needed],
Botswana,8,,[42],
Brazil,12,18,[43][44][45][46],"Full criminal responsibility from age 18, with a juvenile judiciary system for offenders aged between 12 and 18 who can be sentenced to a maximum of 3 years of imprisonment in separate juvenile jails."
Brunei,7,,[47],
Bulgaria,14,,[48],The maximum sentence that can be imposed on juvenile offenders can be no more than 12 years of imprisonment if the offenders are between 16 and 18 and no more than 10 years if they are between 14 and 16. Juvenile offenders serve their sentences in separate prisons up to the age of 18.
Burkina Faso,13,,[49],
Burundi,15,,[citation needed],
Cambodia,14,,[35],
Cameroon,10,,[50],
Canada,12,14,[51],"Children aged 12 or 13 can be sentenced to no more than 10 years of imprisonment, and children aged 14-17 can be sentenced to life imprisonment"
Cape Verde,16,,[citation needed],
Central African Republic,14,,[50],
Chad,13,,[50],
Chile,14,16,[52][53],
China,12,16,[35][54],"Since 1 March 2021, children between 12 and 14 can be held criminally responsible for intentional homicide or injury leading to death or severe disability committed with extreme cruelty subject to approval by the Supreme People's Procuratorate. .mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Notes 14 is the absolute minimum for acts that constitute the following crimes: homicide, wounding resulting in death, rape, robbery, arson, explosion, planting of toxic substances, and trafficking in dangerous drugs. The minimum age for other crimes are 16. In Hong Kong, the minimum age is 10[55] and in Macau, 16."
Colombia,14,18,[45],
Comoros,13/14-15,,[50],Depends whether Sharia Law or the Penal Code is applied.
Costa Rica,12,,[56],"Even though legal procedures and punishment are different for offenders who are under 18, all offenders who are 12 or older may be sentenced to as much as 15 years of incarceration."
Cote d'Ivoire,10,,[citation needed],
Croatia,14,18,[57],
Cuba,16,18/21,[58],
Cyprus,14,,[citation needed],
Czech Republic,15,18,[59],
Denmark (including Faroe Islands)[60],15,18,[37],
Djibouti,13,,[50],
DR Congo,14,16,[61],
Ecuador,12,18,[62],
El Salvador,12,18,[citation needed],
Egypt,12,,[50],
Equatorial Guinea,16,,[citation needed],
Eritrea,12,,[50],
Estonia,14,18/21,[37],
Ethiopia,9,,[50],
Fiji,10,,[citation needed],
Finland,15,18,[63],
France,13,18,[37],
Gabon,13,,[50],
Gambia,12,,[citation needed],
Georgia,14,,[64],Section 33 of Criminal code of Georgia defines that minors between 14 and 17 can be charged with criminal responsibility by juvenile justice.
Germany,14,18/21,[65],Minors between 14 and 17 are sentenced by juvenile justice. A young adult between 18 and 21 years may still be sentenced by juvenile justice if considered mentally immature.
Ghana,12,,[citation needed],
Greece,15,18/21,[citation needed],
Guinea,10,,[citation needed],
Guinea Bissau,16,,[citation needed],
Hong Kong,10,,[55],
Hungary,12,18,[66],"12 only for premeditated homicide, voluntary manslaughter and bodily harm leading to death or resulting in life-threatening injuries; 14 for other crimes; Full criminal responsibility from age 18.[66]"
Iceland,15,18,[37],
India,7,12,[35],"Rebuttable presumption of incapacity until age 12. Minors could be detained for up to a maximum of 3 years, but in 2015, this maximum was raised to 7 years and minors aged between 16 and 18 can be tried as adults for heinous offences such as murder, rape, etc. They cannot, however, be sentenced to death or life imprisonment."
Indonesia,12,18,[67],
Iraq,9,,[35],
Iran,"9 (girls), 15 (boys)",,[68][69],
Ireland,10,12,[70],"Exception for children aged 10 or 11, who can be charged with murder, manslaughter, rape, or aggravated sexual assault."
Israel,12,,[35],
Italy,14,,[37],Juvenile judiciary system for offenders aged between 14 and 18; separate juvenile halls.
Japan,14,,[35],Juvenile Training Schooling for offenders aged between 11 and 14.
Jordan,12,,[71],
Kazakhstan,14,16,[72],
Kenya,8,,[50],
Kosovo,14,18/21,[73],
