Country,Minimum wage,Annual,Annual.1,Workweek (hours)[4],Hourly,Hourly.1,Percent of GDP per capita[5],Effective per
Country,Minimum wage,Nominal (US$)[6],PPP (Int$)[7],Workweek (hours)[4],Nominal (US$)[8],PPP (Int$)[9],Percent of GDP per capita[5],Effective per
,,,,,,,,
Afghanistan,"Afs. 5,500 (US$67) per month for non-permanent private sector (Afs. 66,000 per annum). The minimum wage for permanent government workers was Afs. 6,000 (US$74) per month (Afs. 72,000 per annum). There was no minimum wage for permanent workers in the private sector.[10]",858,3272,40,0.41,1.57,168.3%,2017
Albania,"40,000 lek (US$430) per month (480,000 lek per annum). The law establishes a 40-hour workweek, but the actual workweek is typically set by individual or collective-bargaining agreement.[10][11][12][13]",4637,8697,40,2.23,4.18,75.4%,1 April 2023
Algeria,"DA 20,000 (US$156.19) per month, nationally (DA 240,000 per annum).[14][15]",1777,6247,40,0.85,3,41.6%,1 May 2020
Andorra,€7.42 (USD8.33) hourly.[16],18253,13493,40,8,6,28%,1 January 2023
Angola,"Kz 32,181 (US$61) per month; paid thirteen times a year (Kz. 418,353 per annum)[17][18]",663,3161,44,0.29,1.38,49%,2022
Antigua and Barbuda,EC$8.2 per hour (US$3.03).[10][19][20],6317,7788,40,3.04,3.74,34.4%,1 November 2014
Argentina,"Arg$146,000 (US$400) per month for up to 200 hours; paid thirteen times a year (Arg$1,898,000 per annum).[21]",19981,175578,48,8.01,70.34,880.5%,1 November 2023
Armenia,"֏75,000 (US$190) per month.[10][22]",1787,4567,40,0.86,2.2,51.7%,Error in Template:Date table sorting: '15 November 2022.' is an invalid date
Australia,"Most workers are covered by an award, which may vary by employee age, geographical location and industry. Workers receive mandatory employer loadings such as penalty rates or leave loading. Minimum wages are set federally by the Fair Work Commission. For those 21 and older, not covered by an award or other instrument, (as of July 1, 2023) - the minimum wage is $A 882.80 (US$600) per week, or $A 23.23 (US$15) per hour.[23] Casual workers are paid a loading of typically 25%, resulting in a minimum of A$28 (US$18) per hour for those workers. Workers under 21, apprentices and trainees not covered by an award, have a minimum wages set at a percentage of the ordinary rate.[24] For those under 16, this is 36.8% or A$7.87 (US$5.25) per hour; $A 9.83 (US$6.56) with the casual loading.[25]",34515,28691,38,17.47,14.52,62.4%,1 July 2023
Austria,"None; National collective bargaining agreements set minimum wages by job classification for each industry and provide for a minimum wage of €1,200 (US$1419) per month[dubious – discuss]. Wages where no such collective agreements exist, such as for domestic workers, janitorial staff and au pairs, are regulated by relevant legislation and are generally lower than those covered by collective bargaining. The national minimum wage legislation has lapsed, although is still in force by convention.[26][10]",,,40,,,,2017
Azerbaijan,₼345 (US$203) per month.,2435,11829,40,1.17,5.69,68.5%,5 January 2023[27]
The Bahamas,"B$5.25 (US$5.25) per hour, B$42 (US$42) per day, and B$210 (US$210) per week.[10][28][29]",10920,9579,40,5.25,4.61,42.5%,15 August 2015
Bahrain,None; BD 300 (US$800) for the public sector workers (only applies to Bahraini nationals).[10],,,48,,,,2017
Bangladesh,"Tk. 1,500/- (US$19) per month for all economic sectors not covered by industry-specific wages; in the garment industry the minimum wage raised to Tk. 8,000/- (US$95) per month since 1 December 2018.[30] The minimum wage is set nationally every five years by the National Minimum Wage Board in a tripartite forum industry by industry.[10][18][31][32][33]",212,564,48,0.08,0.23,15.8%,1 December 2013
Barbados,Bds$8.5 (US$4.25) per hour for general minimum wage rates.Bds$9.25 (US$4.63) per hour for Security guards.[34][35],8840,7187,40,4.25,3.46,39.8%,1 April 2021
Belarus,Rbls 554 (US$122) per month.[36],0,1,40,0,0,0%,1 January 2023
Belgium,"€1,691.40 (US$2000) per month.[37][18][38]",24005,23065,38,12.15,11.67,49.7%,1 January 2022
Belize,BZ$5 (US$2.48) per hour.[10][39][40],5850,10263,45,2.5,4.39,121.3%,22 July 2022
Benin,"F.CFA 40,000 (US$70) per month; the government set minimum wage scales for a number of occupations.[18][41]",865,2149,40,0.42,1.03,99.1%,1 April 2014
Bhutan,"Nu. 3,750 per month.[10][42][43]",609,2020,40,0.29,0.97,22.7%,1 February 2014
Bolivia,"Bs. 2,362 (US$343) per month.[44] plus an obligatory Christmas bonus equal to one month's pay, prorated for the amount of time the worker has worked in their present position. Plus a second Christmas Bonus if the government decries the economy grew enough, plus an extra month paid in May if the company made a profit for the previous year.[45][46]",4444,8926,48,1.78,3.58,123.4%,1 May 2023
Bosnia and Herzegovina,KM 543 (US$269) net per month.[47],3949,8044,40,1.9,3.87,66.1%,2022
Botswana,"P 7.34 (US$0.62) an hour for most full-time labour in the private sector; P 1,786 (US$152) per month.[48]",1933,4051,48,0.77,1.62,23.9%,2022
Brazil,"R$1,320 per month (US$261), paid 13 times a year.[49] The Brazilian minimum wage is adjusted annually by the federal government, but each Brazilian state has the option to either follow the national minimum wage or to set its own minimum wage, which cannot be lower than the federal minimum wage. In 2022, five states (RS, SC, PR, SP and RJ) decided to stick with the latter option in order to have higher state minimum wages.[50]",3184,7836,44,1.39,3.42,51.8%,1 May 2023
Brunei,None[10],,,,,,,2017
Bulgaria,"780 lev (€399) per month, 4.72 lev (€2.41) per hour.[37][51][52][53]",5950,13090,40,2.86,6.29,68%,1 January 2023
Burkina Faso,"F.CFA 34,664 (US$59) per month.[10][54]",750,1905,40,0.36,0.92,107.6%,1 April 2012
Burundi,"None; in the past the government set the minimum wage, but during the year the minimum wage was set by market forces.[10][41]",,,40,,,,2017
Cambodia,"៛ 818,800 (US$200) per month, for the textile and shoe industries.[55][10][18][56]",,,48,,,,3 October 2023
Cameroon,"F.CFA 36,270 (US$62) per month.[10][57]",785,1819,40,0.38,0.87,50.4%,30 July 2014
Canada,The minimum wage in Canada is set federally and by each province and territory; ranges from Can$13 to Can$16 (US$9.69 to US$11.93) per hour. The minimum wage calculated here is a weighted average based on the relative population in each province.[10][58][59],24128,22176,40,11.6,10.66,49.5%,1 June 2022
Cape Verde,13.000$00 (US$141) per month.[60][61],1673,3414,44,0.73,1.49,52.1%,1 January 2018
Central African Republic,"F.CFA 35,000 per month, F.CFA 218.75 per hour.[62][63]",821,1539,40,0.39,0.74,220.3%,2011
Chad,"F.CFA 59,995 (US$110) per month, F.CFA 355 (US$0.60) per hour.[10][64][65]",1298,3484,39,0.64,1.72,175%,18 October 2011
Chile,"Ch$410,000 (US$514 per month for workers aged 18–65; or Ch$305,851 (US$384) per month for workers younger than 18 and older than 65; and Ch$264,282 (US$331) per month for 'non remunerative' purposes.[66]",6483,10811,45,2.77,4.62,46.6%,1 January 2023
China,"The minimum wage in China is set locally; ranges from RMB 1,420 (US$208.82) per month, or RMB 14.6 (US$2.06) per hour in Liaoning; to RMB 2,420 (US$379.77) per month, or RMB 21 (US$3.30) per hour in Shanghai.[18][67][68][69][70]",2642,4426,40,1.27,2.13,28.5%,31 July 2018
Colombia,"Col$1,160,000 + Col$140,606 by transportation subsidy (US$288) per month[71]",4516,12328,48,1.81,4.94,87.1%,1 January 2023
Comoros,"FC 55,000 (US$129) per month.[10]",1587,3037,40,0.76,1.46,199.5%,2017
Democratic Republic of the Congo,"FC 1,680 (US$1.83) per day.[10][72]",220,741,45[73],0.09,0.32,92.4%,1 January 2009
Republic of the Congo,"F.CFA 90,000 (US$170) per month in the formal sector.[10]",1948,3663,40,0.94,1.76,64.1%,2017
Costa Rica,"Varies for specified industries from ₡10,060.75 (US$16.73) per 8-hour work day for all workers to ₡13,141.39 (US$23) per day for specialized workers. All other occupations not explicitly covered fall under the generic scale, which varies from ₡350,975 (US$528) per month for unskilled workers to ₡644,689.3 (US$1,134) per month for licentiates.[74]",6785,11284,48,2.72,4.52,67.9%,1 January 2023
Côte d'Ivoire,"Varies by occupation, with the lowest set to F.CFA 36,607 (US$72) per month for the industrial sector; a slightly higher minimum wage rate is applied for construction workers.[10][75][76]",792,1868,40,0.38,0.9,50.6%,1994
Croatia,"The minimum wage in Croatia is kn 3,750 (US$590) per month.[18][77]",7075,11250,40,3.4,5.41,48%,1 January 2019
Cuba,"Cu$2,100 (US$80) per month.[78] Each citizen is however also given free food to supplement the salary.",44,669,48,0.44,0.74,0.4%,2021
