Country/Region,Per capita US dollars,External debt US dollars,% of GDP,% of total wealth[1],Date
United States,98094.0,32.9 trillion,122.56,23.52,August 2023 [2][3]
United Kingdom,130034.0,8.7 trillion,287.08,54.47,October 2023[4]
Japan,34832.0,4.34 trillion,98.44,19.22,June 2023[4]
Netherlands,215569.0,3.79 trillion,381.62,77.84,December 2022[4]
France,49767.0,3.28 trillion,112.06,20.86,March 2023[2]
Ireland,628505.0,3.26 trillion,548.53,357.06,June 2023[4]
Italy,52674.0,3.1 trillion,143.09,28.13,June 2023[2]
Germany,33566.0,2.81 trillion,65.33,16.13,March 2023[2]
Canada,66929.0,2.65 trillion,126.94,23.53,March 2023[4]
China,1736.0,2.45 trillion,13.55,2.9,December 2022[4]
Switzerland,262863.0,2.3 trillion,284.57,47.63,December 2022[4]
Australia,72223.0,1.9 trillion,111.17,19.55,June 2023[4]
Hong Kong,248153.0,1.82 trillion,504.1,19.68,December 2022[4]
Spain,34920.0,1.67 trillion,111.84,32.2,March 2023[2]
Brazil,6925.0,1.49 trillion,71.59,44.11,April 2023[2]
Sweden,95178.0,1.03 trillion,171.81,18.1,June 2023[4]
Mexico,6707.0,880 billion,52.92,42.76,July 2023[2]
Singapore,144061.0,815 billion,158.13,44.89,June 2023[2]
Norway,134602.0,738 billion,133.14,6.72,June 2023[4]
South Korea,12897.0,665 billion,38.62,20.41,June 2023[4]
Belgium,55738.0,652 billion,104.42,4.07,March 2023[2]
India,449.28,625 billion,16.83,52.1,March 2023[2]
Turkey,5514.0,476 billion,46.21,33.23,March 2023[4]
Portugal,42785.0,440 billion,164.48,22.35,June 2023[4]
Austria,44168.0,401 billion,77.76,12.13,March 2023[2]
Indonesia,1417.0,395 billion,29.1,45.73,August 2023[2]
Poland,9500.0,385 billion,49.3,24.18,June 2023[2]
Greece,32880.0,350 billion,322.85,39.33,September 2022[2]
Russia,1969.0,282 billion,13.67,6.43,July 2023[2]
Thailand,4016.0,282 billion,49.09,19.85,July 2023[2]
Argentina,5883.0,275 billion,42.91,65.48,March 2023[4]
Saudi Arabia,7588.0,264 billion,23.83,11.64,2022[2]
South Africa,4268.0,263 billion,65.81,28.4,June 2023[2]
Malaysia,7785.0,260 billion,58.17,38.35,June 2023[4]
Philippines,2300.0,260 billion,58.9,25.72,July 2023[2]
Chile,11603.0,233 billion,65.09,29.91,July 2023[4]
United Arab Emirates,24164.0,220 billion,59.69,17.71,31 December 2016 est.[5]
Finland,38756.0,215 billion,71.3,27.15,March 2023[2]
New Zealand,39924.0,206 billion,81.76,14.45,March 2023[4]
Czech Republic,19282.0,203 billion,61.47,26.36,March 2023[4]
Mauritius,157951.0,199 billion,1368.0,292.65,March 2023[4]
Qatar,70471.0,195 billion,106.09,47.91,2018[4]
Taiwan,8275.0,193 billion,24.4,3.56,March 2023[4]
Colombia,3596.0,188 billion,56.03,33.33,June 2023[4]
Puerto Rico (United States),48187.0,167 billion,161.93,,31 January 2015 est.
Egypt,1557.0,165 billion,42.72,13.21,March 2023[4]
Kazakhstan,8087.0,161 billion,65.71,22.36,March 2023[4]
Romania,8414.0,158 billion,45.4,23.69,June 2023[2]
Israel,16019.0,153 billion,29.28,11.18,December 2022[4]
Hungary,15000.0,147 billion,160.0,32.1,June 2023[2]
Vietnam,500.0,142 billion,39.1,13.96,2021[2]
Pakistan,554.0,124 billion,43.0,18.29,June 2023[4]
Ukraine,2200.0,124 billion,81.0,18.26,July 2023[2]
Denmark,81965.0,123 billion,119.0,6.58,March 2023[2]
Slovakia,15900.0,121 billion,112.0,44.81,December 2022[4]
Venezuela,3500.0,110 billion,23.0,,March 2019[4]
Malta,223000.0,104 billion,691.0,179.31,March 2023[4]
Algeria,89.0,98.7 billion,2.0,27.88,2021[2]
Nigeria,60.0,96.4 billion,2.0,13.79,March 2023[2]
Bangladesh,460.0,96.2 billion,22.0,8.92,December 2022[4]
Morocco,1400.0,91.1 billion,46.0,26.25,December 2022[2]
Peru,2300.0,86.3 billion,44.0,16.63,June 2023[2]
Sri Lanka,2200.0,83.1 billion,68.0,23.15,March 2023[2]
Iraq,1800.0,68 billion,44.0,,31 December 2016 est.[6]
Sudan,1100.0,62.4 billion,121.0,283.64,2021[4]
Slovenia,25000.0,60.7 billion,104.0,32.29,April 2023[4]
Ecuador,2100.0,57.5 billion,57.0,22.55,July 2023[4]
Uruguay,7600.0,57.2 billion,50.0,26.36,March 2023[4]
Oman,4400.0,54 billion,35.0,28.57,2021[2]
Croatia,10700.0,52.9 billion,74.0,23.0,December 2022[4]
Panama,4400.0,46.7 billion,56.6,31.13,July 2023[2]
Jordan,3400.0,44.1 billion,83.0,18.77,June 2023[2]
Latvia,21200.0,43.6 billion,126.0,30.92,June 2023[4]
Bahrain,14900.0,39.4 billion,66.0,33.97,July 2023[2]
Serbia,37845.0,38.6 billion,56.5,20.75,July 2023[2]
Tunisia,2200.0,37.7 billion,97.0,21.3,March 2023[2]
Angola,1400.0,37.7 billion,41.0,68.55,31 December 2016 est.[7]
Belarus,4000.0,37.6 billion,66.0,14.75,March 2023[4]
Lebanon,6000.0,34.5 billion,220.0,10.0,March 2023[4]
Estonia,15700.0,34.2 billion,89.0,41.71,March 2023[4]
Mongolia,7800.0,33.8 billion,245.0,225.33,June 2023[4]
Uzbekistan,500.0,33.3 billion,24.0,,December 2020[4]
Ivory Coast,420.0,29.8 billion,24.0,,2021[4]
Ghana,700.0,29.2 billion,30.0,26.07,November 2022[4]
Lithuania,12700.0,28.5 billion,74.0,19.39,March 2023[2]
Cuba,2300.0,26.3 billion,34.0,,31 December 2016 est.[8]
Dominican Republic,2400.0,26.1 billion,36.0,,31 December 2016 est.[9]
Cyprus,97200.0,25.4 billion,849.0,23.3,July 2023[2]
Costa Rica,5100.0,24.9 billion,43.0,11.8,31 December 2016 est.[10]
Luxembourg,114704.0,24.2 billion,22.1,8.09,March 2023[2]
Ethiopia,220.0,22.5 billion,32.0,7.5,31 December 2016 est.[11]
Cambodia,600.0,22.4 billion,57.0,35.0,December 2022[4]
Papua New Guinea,2800.0,22 billion,111.0,51.16,31 December 2016 est.[12]
Iceland,72700.0,21.8 billion,81.0,16.9,March 2023[4]
Paraguay,2400.0,21.8 billion,54.0,32.06,September2022[4]
Trinidad & Tobago,15700.0,21.5 billion,76.0,42.16,31 December 2016[13]
Bulgaria,5700.0,21 billion,63.0,8.14,July 2023[2]
Guatemala,1100.0,19.1 billion,28.0,,31 December 2016 est.[14]
Palau,846000.0,18.4 billion,62.1,,31 December 2014 est.[15]
Bahamas,44200.0,17.6 billion,194.0,110.0,31 December 2013 est.[16]
Jamaica,6000.0,16.8 billion,122.0,37.33,31 December 2016 est.[17]
Monaco,434000.0,16.5 billion,240.0,,30 June 2010 est.
Tanzania,280.0,15.9 billion,34.0,10.97,31 December 2016 est.[18]
Bolivia,600.0,15.5 billion,33.0,14.76,March 2023[4]
El Salvador,2400.0,14.9 billion,56.0,,31 December 2016 est.[19]
Albania,3634.0,14 billion,66.0,18.18,June 2023[2]
Myanmar,120.0,13.9 billion,17.0,4.91,2021[4]
Nicaragua,1800.0,11.1 billion,83.0,16.09,31 December 2016 est.[20]
Georgia,3900.0,11.1 billion,128.0,24.13,June 2023[2]
Zimbabwe,670.0,10.9 billion,77.0,15.35,31 December 2016 est.[21]
Laos,1700.0,10.2 billion,53.0,29.14,2022[4]
Mozambique,320.0,10.2 billion,72.0,63.75,2020[4]
Nepal,120.0,9.13 billion,16.0,10.14,December 2022[4]
Zambia,540.0,8.92 billion,45.0,33.04,March 2023[4]
Iran,90.0,8.67 billion,2.0,0.29,2022[4]
Azerbaijan,1300.0,8.14 billion,22.0,5.18,December2021[4]
Honduras,1000.0,8.04 billion,38.0,,31 December 2016 est.[22]
North Macedonia,3700.0,7.92 billion,73.0,,June 2023[2]
Cameroon,300.0,7.38 billion,24.0,16.04,31 December 2016 est.[23]
Yemen,260.0,7.19 billion,21.0,,31 January 2015[24]
Armenia,2043.0,6.66 billion,102.0,14.17,July 2023[4]
Tajikistan,260.0,6.66 billion,38.0,26.64,December 2021[4]
Namibia,2500.0,6.52 billion,64.0,21.03,31 December 2016 est.[25]
Uganda,150.0,6.24 billion,24.0,12.73,31 December 2016 est.[26]
Senegal,390.0,6.19 billion,42.0,15.1,31 December 2016 est.[27]
Syria,300.0,5.92 billion,24.0,32.89,31 December 2016 est.[28]
Kyrgyzstan,1300.0,5.74 billion,112.0,22.96,June 2023[2]
Moldova,1600.0,5.65 billion,70.0,8.69,July 2023[2]
Democratic Republic of the Congo,70.0,5.33 billion,13.0,7.51,31 December 2016 est.[29]
Gabon,2900.0,5.16 billion,35.0,22.43,31 December 2016 est.[30]
Bosnia and Herzegovina,1300.0,5.04 billion,23.0,5.79,December 2022[4]
North Korea,200.0,5 billion,18.0,,2013 est.[31]
Republic of the Congo,1000.0,4.82 billion,55.0,80.33,31 December 2016 est.[32]
Barbados,15700.0,4.49 billion,100.0,28.06,2010 est.[33]
Montenegro,6742.0,4.39 billion,151.0,12.19,June 2023[2]
Madagascar,160.0,4.01 billion,41.0,13.37,31 December 2016 est.[34]
Kosovo,1200.0,3.66 billion,37.0,,December 2022[4]
Mali,200.0,3.63 billion,26.0,16.5,31 December 2016 est.[35]
