Rank,Country,Total Fertility rate in 2023 (births/woman)
1,Niger,6.7
2,Chad,6.1
3,DR Congo,6.1
4,Somalia,6.1
5,Central African Republic,5.8
6,Mali,5.8
7,Angola,5.1
8,Nigeria,5.1
9,Burundi,4.9
10,Benin,4.8
11,Burkina Faso,4.6
12,Tanzania,4.6
13,Gambia,4.5
14,Mozambique,4.5
15,Afghanistan,4.4
16,Uganda,4.4
17,Cameroon,4.3
18,Ivory Coast,4.3
19,Mauritania,4.3
20,Senegal,4.3
21,South Sudan,4.3
22,Sudan,4.3
23,Guinea,4.2
24,Zambia,4.2
25,Equatorial Guinea,4.1
26,Togo,4.1
27,Congo,4.0
28,Ethiopia,4.0
29,Liberia,4.0
30,Solomon Islands,3.9
31,Comoros,3.8
32,Guinea-Bissau,3.8
33,Malawi,3.8
34,Samoa,3.8
35,Sierra Leone,3.8
36,Eritrea,3.7
37,Madagascar,3.7
38,Rwanda,3.7
39,São Tomé and Príncipe,3.7
40,Vanuatu,3.7
41,Yemen,3.6
42,Ghana,3.5
43 (1),French Guiana (France),3.4
44,Gabon,3.4
45,Iraq,3.4
46,Palestine,3.4
47,Zimbabwe,3.4
48,Pakistan,3.3
49,Kenya,3.2
50,Kiribati,3.2
51,Namibia,3.2
52,Tonga,3.2
53,Papua New Guinea,3.1
54,Tajikistan,3.1
55,Tuvalu,3.1
56,Kazakhstan,3.0
57,East Timor,3.0
58,Israel,2.9
59,Kyrgyzstan,2.9
60,Lesotho,2.9
61,Algeria,2.8
62,Egypt,2.8
63,Eswatini,2.8
64,Uzbekistan,2.8
65,Botswana,2.7
66,Djibouti,2.7
67,Haiti,2.7
68,Jordan,2.7
69,Mongolia,2.7
70,Philippines,2.7
71,Syria,2.7
72,Micronesia,2.6
73,Turkmenistan,2.6
74,Bolivia,2.5
75 (2),Guam (US),2.5
76,Oman,2.5
77,Fiji,2.4
78,Laos,2.4
79,Libya,2.4
80,Paraguay,2.4
81,Saudi Arabia,2.4
82,Cambodia,2.3
83,Guatemala,2.3
84,Guyana,2.3
85,Honduras,2.3
86,Morocco,2.3
87,Nicaragua,2.3
88,Panama,2.3
89,Seychelles,2.3
90,South Africa,2.3
91,Suriname,2.3
,World,2.3
