1970 list by the Population Reference Bureau,2014 list by the Population Reference Bureau,Unnamed: 2
"Rank Country Fertility rate in 1970 (births/woman) 1  Rwanda 8.2 2  Kenya 8.1 3  Ivory Coast 7.9 4 (1)  Palestine (Israeli-occupied territories → Palestinian Territories) 7.9 5 (2)  Mayotte (French Colonial Empire → French Overseas Department) 7.9 6  Libya 7.9 7  Jordan 7.9 8  Afghanistan 7.7 9  Mongolia 7.6 10  Algeria 7.6 11  Syria 7.6 12  Yemen ( North Yemen and South Yemen → Yemen) 7.5 13  Zambia 7.4 14  Morocco 7.4 15  Iraq 7.4 16  Niger 7.4 17  Saudi Arabia 7.3 18  Madagascar 7.3 19  Malawi 7.3 20  Burundi 7.3 21  Senegal 7.3 22  Oman 7.3 23 (3)  Angola (Portuguese Empire, Portuguese Angola → Angola) 7.3 24  Honduras 7.3 25  Maldives 7.2 26  Somalia 7.2 27  Kuwait 7.2 28  Samoa 7.2 29 (4)  Comoros (French Colonial Empire → Comoros) 7.1 30  Togo 7.1 31  Uganda 7.1 32 (5)  Bangladesh ( Pakistan, East Pakistan → Bangladesh) 7.0 33  Ethiopia 7.0 34  Ghana 7.0 35  Nicaragua 6.9 36 (6)  Tajik SSR ( Soviet Union → Tajikistan) 6.9 37  Mali 6.9 38 (7)  South Sudan ( Sudan → South Sudan) 6.9 39  Swaziland 6.9 40 (8)  Cape Verde (Portuguese Empire, Portuguese Cape Verde → Cape Verde) 6.9 41 (9)  Micronesia (Trust Territory of the Pacific Islands → Micronesia) 6.9 42 (10)  Qatar (British Empire → Qatar) 6.9 43  Sudan 6.9 44 (11)  Solomon Islands (British Empire → Solomon Islands) 6.9 45  Benin 6.8 46  Mauritania 6.8 47 (12)  Djibouti (French Territory of the Afars and the Issas → Djibouti) 6.8 48  Tanzania 6.8 49  Sierra Leone 6.7 50  Rhodesia (→ Zimbabwe) 6.7 51  Liberia 6.7 52  Mexico 6.7 53 (13)  Eritrea ( Ethiopia → Eritrea) 6.7 54  Bhutan 6.7 55  Republic of Upper Volta (→ Burkina Faso) 6.6 56 (14)  United Arab Emirates (British Empire, Trucial States → United Arab Emirates) 6.6 57 (15)  Western Sahara (Spanish Sahara → Moroccan Occupation) 6.6 58 (16)  Mozambique (Portuguese Empire, Portuguese Mozambique → Mozambique) 6.6 59  Pakistan 6.6 60  Botswana 6.6 61  Bolivia 6.6 62  Cambodia 6.5 63 (17)  São Tomé and Príncipe (Portuguese Empire, Portuguese Sao Tome and Principe → São Tomé and Príncipe) 6.5 64  Vietnam ( North Vietnam and South Vietnam → Vietnam) 6.5 65 (18)  Bahrain (British Empire → Bahrain) 6.5 66  Nigeria 6.5 67 (19)  South West Africa ( South Africa → Namibia) 6.5 68  Chad 6.5 69 (20)  Uzbek SSR ( Soviet Union → Uzbekistan) 6.5 70  Iran 6.4 71  Tunisia 6.4 72 (21)  Turkmen SSR ( Soviet Union → Turkmenistan) 6.3 73  Peru 6.3 74 (22)  New Hebrides (British and French Condominium → Vanuatu) 6.3 75  Philippines 6.3 76 (23)  Belize (British Empire → Belize) 6.3 77  Congo 6.3 78 (24)  Papua and New Guinea (UN Trust Territories → Papua New Guinea) 6.2 79  Cameroon 6.2 80  Dominican Republic 6.2 81  Guinea 6.2 82  El Salvador 6.2 83  Congo-Léopoldville (→ Zaire → DR Congo) 6.2 84  Guatemala 6.2 85 (25)  Guinea-Bissau (Portuguese Empire, Portuguese Guinea → Guinea-Bissau) 6.1 86  Ecuador 6.1 87 (26)  Saint Lucia (British Empire → Saint Lucia) 6.1 88 (27)  Gilbert Islands (British Empire → Kiribati) 6.1 89  Gambia 6.1 90  Central African Republic 6.0 91  Nepal 6.0 92  Burma (→ Myanmar) 6.0 93  Laos 6.0 94 (28)  Saint Vincent and the Grenadines (British Empire → Saint Vincent and the Grenadines) 6.0 95  Egypt 5.9 96 (29)  East Timor (Portuguese Empire, Portuguese Timor → East Timor) 5.9 97  Tonga 5.9 98 (30)  Seychelles (British Empire → Seychelles) 5.8 99 (31)  Brunei (British Empire → Brunei) 5.8 100  Lesotho 5.8 101  Haiti 5.8 102  Equatorial Guinea 5.7 103  Turkey 5.7 104  Paraguay 5.7 105 (32)  Suriname (Dutch Empire → Suriname) 5.7 106  Colombia 5.6 107  Thailand 5.6 108  South Africa 5.6 109  India 5.5 110  China (mainland only) 5.5 111  Indonesia 5.5 112  Jamaica 5.5 113  Venezuela 5.4 114 (33)  New Caledonia (French Colonial Empire → Overseas departments and territories of France) 5.3 115  Panama 5.2 116 (34)  French Polynesia (French Colonial Empire → French Overseas Collectivity) 5.1 116  Gabon 5.1 117  Albania 5.1 118  Guyana 5.1 119  Lebanon 5.0 120  Brazil 5.0 121  Costa Rica 4.9 122  Malaysia 4.9 123 (35)  Kirghiz SSR ( Soviet Union → Kyrgyzstan) 4.9 124 (36)  Guadeloupe (French Colonial Empire → French Overseas Department) 4.9 125 (37)  Réunion (French Colonial Empire → French Overseas Department) 4.8 126 (38)  French Guiana (French Colonial Empire → French Overseas Department) 4.7  World 4.7 127 (39)  Azerbaijan SSR ( Soviet Union → Azerbaijan) 4.6 128 (40)  Martinique (French Colonial Empire → French Overseas Department 4.6 129 (41)  Grenada (British Empire → Grenada) 4.6 130  Fiji 4.5 131  South Korea 4.5 132 (42)  Guam (US) 4.4 133  North Korea 4.3 134  Sri Lanka 4.3 135  Chile 4.0 136  Cuba 4.0 137  Ireland 3.9 138  Republic of China (Taiwan) 3.9 139  Israel 3.8 140  Mauritius 3.8 141 (43)  Antigua and Barbuda (British Empire → Antigua and Barbuda) 3.7 142  Trinidad and Tobago 3.6 143 (44)  Bahamas (British Empire → Bahamas) 3.5 144 (45)  Kazakh SSR ( Soviet Union → Kazakhstan) 3.5 145 (46)  Curaçao (Dutch Empire → Dutch Caribbean) 3.3 146 (47)  Hong Kong (British Hong Kong → China) 3.3 147 (48)  Puerto Rico (US) 3.2 148  New Zealand 3.2 149 (49)  Armenian SSR ( Soviet Union → Armenia) 3.2 150  Singapore 3.2 151  Argentina 3.1 152  Barbados 3.1 153 (50)  SR Macedonia ( Yugoslavia → North Macedonia) 3.0 154  Portugal 3.0 155  Australia 2.9 156  Spain 2.9 157  Uruguay 2.9 158  Romania 2.9 159  Iceland 2.8 160 (51)  Montenegro ( Yugoslavia → Montenegro) 2.7 161 (52)  Bosnia and Herzegovina ( Yugoslavia → Bosnia and Herzegovina) 2.7 162  Netherlands 2.6 163 (53)  Moldavian SSR ( Soviet Union → Moldova) 2.6 164 (54)  Georgian SSR ( Soviet Union → Georgia) 2.6 165  Norway 2.5 166  Cyprus 2.5 167  United States 2.5 168  France 2.5 169  United Kingdom 2.4 170 (55)  Slovak Socialist Republic 2.4 171 (56)  Lithuanian SSR ( Soviet Union → Lithuania) 2.4 172 (57)  SR Serbia ( Yugoslavia → Serbia) 2.4 173  Italy 2.4 174  Greece 2.4 175 (58)  Byelorussian SSR ( Soviet Union → Belarus) 2.3 176  Poland 2.3 177  Austria 2.3 178  Belgium 2.3 179  San Marino 2.2 180 (59)  SR Slovenia ( Yugoslavia → Slovenia) 2.2 181 (60)  Macau (Portuguese Macau → China) 2.2 182 (61)  Estonian SSR ( Soviet Union → Estonia) 2.2 183  Bulgaria 2.2 184  Canada 2.2 185  Germany ( West Germany and East Germany → Germany) 2.1 186 (62)  Ukrainian SSR ( Soviet Union -> Ukraine) 2.1 187 Channel Islands - (63) Guernsey and (64) Jersey (UK) 2.1 188  Switzerland 2.1 189  Japan 2.1  Population replacement 2.1 190 (65)  Latvian SSR ( Soviet Union → Latvia) 2.0 191  Denmark 2.0 192  Malta 2.0 193 (66)  Russian SFSR ( Soviet Union → Russia) 2.0 194  Luxembourg 2.0 195  Hungary 2.0 196 (67)  Czech Socialist Republic 1.9 197  Sweden 1.9 198 (68)  SR Croatia ( Yugoslavia → Croatia) 1.8 199 (69)  Finland 1.8  Sovereign states: 130  Dependent territories: 69  Not ranked (no data or data from other years) 1  Andorra - 2  Czechoslovakia (dissolved in 1992) - 3 (1)  Dominica (British Empire → Dominica) - 4 (2)  Ellice Islands (British Empire - Ellice Islands → Tuvalu) - 5 (3)  SAP Kosovo ( Yugoslavia → Serbia and Montenegro → Serbia → Kosovo) - 6  Liechtenstein - 7 (4)  Marshall Islands (Trust Territory of the Pacific Islands → Marshall Islands) - 8  Monaco - 9  Nauru - 10 (5)  Palau (Trust Territory of the Pacific Islands → Palau) - 11 (6)  Saint Kitts and Nevis (British Empire → Saint Kitts and Nevis) - 12  Soviet Union (dissolved in 1991) - 13  Vatican City - 14  Yugoslavia (dissolved in 1992) -  Sovereign states: 8  Dependent territories: 6",Rank Country Fertility rate in 2014 (births/woman) 1  Niger 7.6 2  South Sudan 7.0 3  Somalia 6.6 4  DR Congo 6.6 5  Chad 6.6 6  Angola 6.2 7  Central African Republic 6.2 8  Burundi 6.1 9  Mali 6.1 10  Zambia 6.0 11  Burkina Faso 5.9 12  Uganda 5.9 13  Mozambique 5.7 14  East Timor 5.7 15  Gambia 5.6 16  Nigeria 5.6 17  Malawi 5.5 18  Senegal 5.3 19  Tanzania 5.3 20  Sudan 5.2 21  Guinea 5.1 22  Cameroon 5.1 23  Afghanistan 5.1 24  Congo 5.0 25  Guinea-Bissau 5.0 26  Benin 4.9 27  Ivory Coast 4.9 28  Sierra Leone 4.9 29  Equatorial Guinea 4.9 30  Eritrea 4.7 31  Liberia 4.7 32  Togo 4.7 33  Samoa 4.7 34  Vanuatu 4.4 35  Yemen 4.4 36  Madagascar 4.4 37  Kenya 4.3 38  São Tomé and Príncipe 4.3 39  Ghana 4.3 40  Comoros 4.3 41  Papua New Guinea 4.3 42  Nauru 4.3 43  Mauritania 4.1 44  Solomon Islands 4.1 45  Gabon 4.1 46  Marshall Islands 4.1 47 (1)  Mayotte (France) 4.1 48  Palestine 4.1 49  Iraq 4.1 50  Ethiopia 4.1 51  Rwanda 4.0 52  Tonga 3.9 53  Kiribati 3.8 54  Tajikistan 3.8 55  Pakistan 3.8 56  Guatemala 3.8 57  Zimbabwe 3.8 58  Namibia 3.6 59 (2)  French Guiana (France) 3.5 60  Micronesia 3.5 61  Jordan 3.5 62  Egypt 3.5 63  Haiti 3.4 64  Swaziland 3.4 65  Djibouti 3.4 66  Lesotho 3.3 67  Bolivia 3.2 68  Laos 3.2 69  Tuvalu 3.2 70  Kyrgyzstan 3.2 71 (3)  Guam (US) 3.1 72  Israel 3.0 73  Syria 3.0 74  Philippines 3.0 75  Mongolia 2.9 76  Saudi Arabia 2.9 77  Algeria 2.9 78  Ecuador 2.8 79  Paraguay 2.8 80  Honduras 2.8 81  Cambodia 2.8 82  Oman 2.8 83  Kazakhstan 2.7 84  Morocco 2.6 85  Suriname 2.6 86  Indonesia 2.6 87  Belize 2.6 88  Botswana 2.6 89  Cape Verde 2.6 90  Fiji 2.5 91  Dominican Republic 2.5 92  Bhutan 2.5 93  Guyana 2.5 94  Panama 2.5 95  Nicaragua 2.5  World 2.5 96  India 2.4 97  Uzbekistan 2.4 98  Libya 2.4 99  Kuwait 2.4 100  Nepal 2.4 101  Venezuela 2.4 102  Western Sahara 2.4 103  Turkmenistan 2.4 104  Seychelles 2.4 105 (4)  Réunion (France) 2.4 106  Peru 2.4 107  Maldives 2.3 108  South Africa 2.3 109  Jamaica 2.3 110  Argentina 2.3 111  Colombia 2.3 112 (5)  Curaçao (Netherlands) 2.2 113  Tunisia 2.2 114 (6)  New Caledonia (France) 2.2 115  Bangladesh 2.2 116  Mexico 2.2 117  Saint Vincent and the Grenadines 2.2 118 (7)  Guadeloupe (France) 2.2 119  Azerbaijan 2.2 120  El Salvador 2.2 121  Sri Lanka 2.1 122  Malaysia 2.1 123  Bahrain 2.1 124 (8)  French Polynesia (France) 2.1 125  Turkey 2.1 126  Vietnam 2.1 127  Qatar 2.1  Population replacement 2.1 128  New Zealand 2.0 129  Ireland 2.0 130  Myanmar (Burma) 2.0 131  Uruguay 2.0 132  North Korea 2.0 133  Dominica 2.0 134  France 2.0 135  Bahamas 2.0 136  Kosovo 2.0 137  Grenada 2.0 138  Sweden 1.9 139 (9)  Martinique (France) 1.9 140  Australia 1.9 141  United Kingdom 1.9 142  Chile 1.9 143  Iceland 1.9 144  United States 1.9 145  Norway 1.8 146  Finland 1.8 147  Belgium 1.8 148  Barbados 1.8 149  Costa Rica 1.8 150  United Arab Emirates 1.8 151  Antigua and Barbuda 1.8 152  Iran 1.8 153  Thailand 1.8 154  Albania 1.8 155  Montenegro 1.7 156  Netherlands 1.7 157  Georgia 1.7 158  Belarus 1.7 159  Palau 1.7 160  Brazil 1.7 161  Denmark 1.7 162 Channel Islands - (10) Guernsey and (11) Jersey (UK) 1.7 163  Russia 1.7 164  Cuba 1.7 165 (12)  Puerto Rico (US) 1.6 166  Croatia 1.6 167  Saint Kitts and Nevis 1.6 168  Trinidad and Tobago 1.6 169  Canada 1.6 170  China (mainland only) 1.6 171  Brunei 1.6 172  Lithuania 1.6 173  Luxembourg 1.6 174  Armenia 1.6 -  European Union 1.6 175  North Macedonia 1.5 176  San Marino 1.5 177  Slovenia 1.5 178  Ukraine 1.5 179  Latvia 1.5 180  Estonia 1.5 181  Liechtenstein 1.5 182  Bulgaria 1.5 183  Czech Republic 1.5 184  Switzerland 1.5 185  Saint Lucia 1.5 186  Lebanon 1.5 187  Cyprus 1.5 188  Mauritius 1.4 189  Japan 1.4 190  Austria 1.4 191  Germany 1.4 192  Monaco 1.4 193  Malta 1.4 194  Serbia 1.4 195  Italy 1.4 196  Slovakia 1.3 197  Greece 1.3 198  Bosnia and Herzegovina 1.3 199  Romania 1.3 200  Hungary 1.3 201  Spain 1.3 202  Portugal 1.2 203  Singapore 1.2 204  Poland 1.2 205 (13)  Macau (China) 1.2 206  South Korea 1.2 207  Moldova 1.2 208 (14)  Hong Kong (China) 1.1 209  Andorra 1.1 210  Republic of China (Taiwan) 1.1  Sovereign states: 196  Dependent territories: 14  Not ranked (no data or data from other years) 1  Vatican City -  Sovereign states: 1  Dependent territories: 0,
Rank,Country,Fertility rate in 1970 (births/woman)
1,Rwanda,8.2
2,Kenya,8.1
3,Ivory Coast,7.9
4 (1),Palestine (Israeli-occupied territories → Palestinian Territories),7.9
5 (2),Mayotte (French Colonial Empire → French Overseas Department),7.9
6,Libya,7.9
7,Jordan,7.9
8,Afghanistan,7.7
