Rank,Country,Total Fertility rate in 2021 (births/woman)
1,Niger,6.82
2,Somalia,6.31
3,Chad,6.25
4,DR Congo,6.16
5,Central African Republic,5.98
6,Mali,5.96
7,Angola,5.30
8,Nigeria,5.24
9,Burundi,5.08
10,Benin,4.97
11,Burkina Faso,4.77
12,Tanzania,4.73
13,Gambia,4.68
14,Mozambique,4.64
15,Afghanistan,4.64
16,Uganda,4.58
17,South Sudan,4.47
18,Cameroon,4.46
19,Sudan,4.46
20,Ivory Coast,4.42
21,Guinea,4.40
22,Mauritania,4.40
23,Senegal,4.39
24,Zambia,4.31
25,Equatorial Guinea,4.27
26,Togo,4.26
27,Congo,4.17
28,Ethiopia,4.16
29,Liberia,4.09
30,Guinea-Bissau,4.00
31,Solomon Islands,3.98
32,Sierra Leone,3.98
33,Comoros,3.98
34,Samoa,3.93
35,Malawi,3.92
36,Eritrea,3.87
37,Madagascar,3.85
38,São Tomé and Príncipe,3.82
39,Rwanda,3.82
40,Yemen,3.79
41,Vanuatu,3.73
42,Ghana,3.56
43,Palestine,3.50
44,Iraq,3.50
45,Zimbabwe,3.49
46,Gabon,3.49
47,Pakistan,3.47
48,Kenya,3.33
49,Kazakhstan,3.32
50,Kiribati,3.30
51,Namibia,3.30
52,Tonga,3.24
53,Papua New Guinea,3.21
54,Tajikistan,3.19
55,Uzbekistan,3.17
56,Tuvalu,3.16
57,East Timor,3.15
58,Lesotho,3.02
59,Israel,3.00
60,Egypt,2.92
61,Kyrgyzstan,2.89
62,Algeria,2.89
63,Eswatini,2.84
64,Mongolia,2.84
65,Jordan,2.83
66,Haiti,2.81
67,Djibouti,2.80
68,Botswana,2.79
69,Philippines,2.75
70,Syria,2.75
71,Marshall Islands,2.73
72,Micronesia,2.71
73,Turkmenistan,2.67
74,Oman,2.62
75,Bolivia,2.62
76 (1),Guam (US),2.57
77,Laos,2.50
78,Fiji,2.48
79,Paraguay,2.47
80,Libya,2.46
81,Seychelles,2.46
82,Saudi Arabia,2.43
83 (2),Saint Martin (France) (French part),2.42
84,Guyana,2.40
85,Guatemala,2.40
86,South Africa,2.37
87,Honduras,2.36
88,Suriname,2.35
89,Cambodia,2.34
90,Morocco,2.33
91,Panama,2.33
92,Nicaragua,2.32
93 (3),Faroe Islands (Denmark),2.29
94,Dominican Republic,2.27
,World,2.27
95,Venezuela,2.21
96,Peru,2.19
97,Indonesia,2.17
98,Myanmar (Burma),2.15
99,Kuwait,2.11
,Population replacement,2.10
100,Lebanon,2.09
101,Tunisia,2.09
102,Georgia,2.08
103,India,2.03
104,Nepal,2.03
105,Ecuador,2.03
106 (4),New Caledonia (France),2.02
107 (5),U.S. Virgin Islands (US),2.01
108,Belize,2.01
109,Grenada,2.00
110,Sri Lanka,1.99
111,Bangladesh,1.98
112,Vietnam,1.94
113,Cape Verde,1.90
114,Turkey,1.89
115,Argentina,1.89
116 (6),Gibraltar (UK),1.85
117,Czech Republic,1.83
118,France,1.83
119,Mexico,1.82
120,Iceland,1.82
121,Bahrain,1.81
122,North Korea,1.81
