Rank,Country,Fertility rate in 2023 (births/woman)
1,Niger,6.73
2,Angola,5.76
3,DR Congo,5.56
4,Mali,5.45
5,Benin,5.39
6,Chad,5.35
7,Uganda,5.26
8,Somalia,5.22
9,South Sudan,5.20
10,Burundi,4.96
11,Guinea,4.82
12,Mozambique,4.74
13,Liberia,4.73
14,Guinea-Bissau,4.65
15,Nigeria,4.57
16,Sudan,4.54
17,Afghanistan,4.53
18,Cameroon,4.50
19,Zambia,4.49
20,Tanzania,4.33
21,Congo,4.32
22,Equatorial Guinea,4.19
23,Togo,4.18
24,Senegal,4.17
25,Burkina Faso,4.14
26,East Timor,4.09
27,Central African Republic,3.99
28,Ethiopia,3.92
29,Zimbabwe,3.88
30,Papua New Guinea,3.85
31,Sierra Leone,3.71
32,Gambia,3.66
33,Ghana,3.61
34,Madagascar,3.55
35,Eritrea,3.50
36,Ivory Coast,3.47
37,Mauritania,3.46
38,São Tomé and Príncipe,3.44
39,Pakistan,3.39
40,Gaza Strip ( Palestine),3.34
41,Malawi,3.30
42,Gabon,3.26
43,Rwanda,3.23
44,Kenya,3.23
45,Iraq,3.17
46,Libya,3.04
47,Namibia,2.94
48,Jordan,2.91
49,Yemen,2.91
50,West Bank ( Palestine),2.91
51,Lesotho,2.88
52,Solomon Islands,2.82
53,Tuvalu,2.81
54,Philippines,2.77
55,Egypt,2.76
56 (1),Guam (US),2.76
57,Syria,2.74
58,Marshall Islands,2.72
59,Tonga,2.70
60,Comoros,2.69
61,Oman,2.67
62 (2),Northern Mariana Islands (US),2.59
63,Vanuatu,2.59
64,Belize,2.59
65,Nauru,2.58
66,Guatemala,2.54
67,Israel,2.54
68,Kyrgyzstan,2.47
69,Algeria,2.47
70,Tajikistan,2.42
,World,2.42 (2020 estimate)
71,Eswatini,2.41
72,Haiti,2.39
73,Samoa,2.37
74,Panama,2.37
75,Botswana,2.37
76,Laos,2.30
77 (3),Faroe Islands (Denmark),2.28
78,Morocco,2.27
79,Bolivia,2.26
80,Fiji,2.23
81,Kuwait,2.22
82,Micronesia,2.22
83,Cambodia,2.20
84,Venezuela,2.20
85,Dominican Republic,2.20
86,Kiribati,2.18
87,Peru,2.18
88,Argentina,2.17
89,South Africa,2.17
90 (4),American Samoa (US),2.13
91,Djibouti,2.13
92,Cape Verde,2.11
,Population replacement,2.10
93,Kazakhstan,2.08
94,Bangladesh,2.08
95,India,2.07
96,Guyana,2.06
97,Jamaica,2.05
98,Cook Islands (self-governing country in free association with New Zealand),2.04
99,Vietnam,2.04
100,El Salvador,2.04
101,Turkmenistan,2.03
102,France,2.02
103,Ecuador,2.02
104,Dominica,2.01
105,Burma (Myanmar),2.00
106,Indonesia,1.99
107 (5),Sint Maarten (Netherlands),1.98
108 (6),U.S. Virgin Islands (US),1.98
109,Honduras,1.98
110,Bahamas,1.97
111 (7),Curaçao (Netherlands),1.97
112,Sri Lanka,1.97
113,Tunisia,1.96
114,Iceland,1.95
115,Colombia,1.94
116,Antigua and Barbuda,1.94
117,Grenada,1.92
118,Iran,1.92
119,Turkey,1.91
120,Ireland,1.91
121,Suriname,1.91
122,Qatar,1.90
123 (8),Gibraltar (UK),1.90
124 (9),Greenland (Denmark),1.90
125 (10),Bermuda (UK),1.89
126,North Korea,1.89
127,Mongolia,1.89
128,Saudi Arabia,1.89
129,Paraguay,1.88
130,Kosovo,1.88
131 (11),Isle of Man (UK),1.88
132,Nepal,1.88
133,Azerbaijan,1.86
134,Costa Rica,1.86
135,New Zealand,1.86
136 (12),New Caledonia (France),1.84
137,United States,1.84
138,Norway,1.83
139 (13),Aruba (Netherlands),1.82
140 (14),Cayman Islands (UK),1.82
141,Seychelles,1.81
142,Montenegro,1.81
143 (15),Saint Martin (France),1.80
144 (16),French Polynesia (France),1.80
145,Nicaragua,1.78
146,Netherlands,1.77
147,Bhutan,1.77
148,Denmark,1.77
149,Belgium,1.77
150,Saint Kitts and Nevis,1.76
151,Chile,1.75
152,Uruguay,1.75
153,Brazil,1.75
154,Georgia,1.75
155,Saint Vincent and the Grenadines,1.74
156,Malaysia,1.74
157,Finland,1.74
158,Brunei,1.74
