Country,All,M,F,Gender gap
,,,,
Monaco,89.52,85.7,93.49,7.79
Singapore,86.35,83.65,89.2,5.55
Macau,84.98,82.09,88.02,5.93
Japan,84.83,81.92,87.9,5.98
San Marino,83.86,81.3,86.65,5.35
Canada,83.8,81.52,86.21,4.69
Iceland,83.64,81.41,85.97,4.56
Hong Kong,83.61,80.91,86.46,5.55
Andorra,83.42,81.2,85.79,4.59
Israel,83.35,81.45,85.34,3.89
Guernsey,83.23,80.52,86.07,5.55
Switzerland,83.23,80.91,85.67,4.76
Malta,83.2,81.11,85.38,4.27
Australia,83.09,80.93,85.36,4.43
Luxembourg,82.98,80.52,85.58,5.06
South Korea,82.97,79.88,86.24,6.36
Sweden,82.7,80.94,84.58,3.64
Jersey,82.63,80.13,85.28,5.15
France,82.59,79.53,85.79,6.26
Italy,82.59,80.25,85.08,4.83
Liechtenstein,82.56,80.33,85.38,5.05
Norway,82.55,80.42,84.79,4.37
Spain,82.55,79.84,85.4,5.56
New Zealand,82.54,80.78,84.39,3.61
Austria,82.27,79.64,85.04,5.4
Anguilla,82.2,79.59,84.89,5.3
Netherlands,82.16,79.93,84.49,4.56
Bermuda,82.04,78.96,85.28,6.32
Cayman Islands,82.04,79.35,84.79,5.44
Isle of Man,82.04,80.23,84.0,3.77
United Kingdom,81.94,79.95,84.04,4.09
Belgium,81.86,79.25,84.59,5.34
Slovenia,81.82,78.96,84.79,5.83
Finland,81.76,78.86,84.79,5.93
Puerto Rico,81.68,78.47,85.08,6.61
Denmark,81.66,79.74,83.71,3.97
Ireland,81.66,79.35,84.1,4.75
Germany,81.51,79.15,84.0,4.85
Portugal,81.5,78.37,84.79,6.42
Greece,81.49,78.96,84.2,5.24
Saint Pierre and Miquelon,81.41,79.05,83.9,4.85
Faroe Islands,81.26,78.73,83.97,5.24
Taiwan,81.16,78.17,84.34,6.17
Turks and Caicos Islands,80.82,78.07,83.71,5.64
Wallis and Futuna,80.67,77.68,83.81,6.13
Brunei,80.59,78.36,82.79,4.43
Saint Barthelemy,80.58,77.48,83.81,6.33
Saint Martin,80.58,77.48,83.81,6.33
"Saint Helena, Ascension and Tristan da Cunha",80.48,77.58,83.51,5.93
Gibraltar,80.42,77.58,83.41,5.83
Virgin Islands (US),80.27,77.08,83.65,6.57
Bahrain,79.9,77.63,82.24,4.61
Qatar,79.81,77.7,81.96,4.26
Chile,79.79,76.8,82.92,6.12
Cyprus,79.74,76.93,82.68,5.75
Czech Republic,79.73,76.8,82.82,6.02
British Virgin Islands,79.67,78.17,81.25,3.08
Costa Rica,79.64,76.99,82.43,5.44
Cuba,79.64,77.29,82.14,4.85
United Arab Emirates,79.56,78.21,80.99,2.78
Albania,79.47,76.8,82.33,5.53
Curacao,79.42,77.09,81.87,4.78
Sint Maarten,79.26,76.91,81.73,4.82
Kuwait,79.13,77.67,80.65,2.98
Saint Lucia,78.95,76.21,81.84,5.63
New Caledonia,78.83,74.93,82.92,7.99
Lebanon,78.76,77.36,80.23,2.87
Poland,78.76,75.02,82.73,7.71
Barbados,78.55,75.79,81.35,5.56
French Polynesia,78.43,76.11,80.86,4.75
Uruguay,78.43,75.32,81.64,6.32
United States,78.38,76.01,80.86,4.85
Paraguay,78.37,75.72,81.15,5.43
Argentina,78.31,75.23,81.59,6.36
Slovakia,78.31,74.83,82.04,7.21
Dominica,78.21,75.25,81.31,6.06
Algeria,78.03,76.57,79.57,3.0
Aruba,78.01,74.93,81.15,6.22
Ecuador,78.0,75.06,81.1,6.04
Sri Lanka,78.0,74.57,81.56,6.99
Bosnia and Herzegovina,77.98,75.02,81.15,6.13
Estonia,77.88,73.25,82.73,9.48
Antigua and Barbuda,77.8,75.63,80.08,4.45
Montenegro,77.75,75.32,80.27,4.95
People's Republic of China,77.72,75.0,80.7,5.7
Thailand,77.66,74.65,80.83,6.18
Panama,77.62,74.76,80.66,5.9
Tonga,77.53,75.89,79.23,3.34
Georgia,77.5,73.45,81.74,8.29
Guam,77.5,75.07,80.08,5.01
Croatia,77.22,74.1,80.53,6.43
Hungary,77.2,73.55,81.06,7.51
Libya,77.18,74.94,79.53,4.59
Cook Islands,77.14,74.32,80.11,5.79
Saint Kitts and Nevis,77.08,74.63,79.58,4.95
Maldives,76.94,74.57,79.42,4.85
Oman,76.9,74.96,78.93,3.97
North Macedonia,76.84,74.73,79.08,4.35
Tunisia,76.82,75.14,78.6,3.46
Solomon Islands,76.7,74.05,79.49,5.44
Saint Vincent and the Grenadines,76.68,74.63,78.79,4.16
Saudi Arabia,76.65,75.07,78.32,3.25
Northern Mariana Islands,76.58,74.48,79.03,4.55
West Bank,76.38,74.29,78.6,4.31
Turkey,76.21,73.84,78.7,4.86
Armenia,76.13,72.86,79.68,6.82
The Bahamas,76.13,73.2,79.14,5.94
Malaysia,76.13,74.5,77.87,3.37
Seychelles,76.1,71.67,80.66,8.99
Jordan,76.01,74.51,77.6,3.09
Trinidad and Tobago,75.94,74.02,77.93,3.91
Brazil,75.92,72.5,79.5,7.0
Latvia,75.91,71.47,80.56,9.09
Belize,75.82,74.23,77.5,3.27
Lithuania,75.78,70.42,81.44,11.02
Jamaica,75.75,73.98,77.6,3.62
Romania,75.75,72.3,79.4,6.2
Grenada,75.74,73.13,78.6,5.47
Montserrat,75.7,76.66,74.7,1.96
Bulgaria,75.57,72.36,78.97,6.61
Vietnam,75.52,72.95,78.37,5.42
Gaza Strip,75.4,73.65,77.25,3.6
El Salvador,75.37,71.88,79.04,7.16
American Samoa,75.32,72.83,77.97,5.14
Uzbekistan,75.29,72.27,78.5,6.23
Iran,75.25,73.89,76.67,2.78
Samoa,75.19,72.28,78.25,5.97
Honduras,75.17,71.63,78.82,7.19
Vanuatu,75.14,73.45,76.91,3.46
Colombia,74.89,71.27,78.69,7.42
Mauritius,74.86,72.04,77.88,5.84
Nicaragua,74.78,72.56,77.11,4.55
Bangladesh,74.7,72.52,76.96,4.44
Marshall Islands,74.65,72.4,77.01,4.61
Palau,74.64,71.48,78.0,6.52
Egypt,74.45,73.26,75.72,2.46
Federated States of Micronesia,74.44,72.34,76.66,4.32
Belarus,74.28,68.9,79.97,11.07
Syria,74.28,72.82,75.84,3.02
Fiji,74.27,71.6,77.07,5.47
Serbia,74.17,71.5,77.0,5.5
Azerbaijan,74.15,71.08,77.41,6.33
Greenland,73.98,71.28,76.82,5.54
Cabo Verde,73.75,71.41,76.15,4.74
Morocco,73.68,71.98,75.46,3.48
Ukraine,73.45,68.8,78.39,9.59
Venezuela,73.29,70.12,76.62,6.5
Iraq,73.18,71.3,75.15,3.85
Indonesia,73.08,70.86,75.4,4.54
Guatemala,72.91,70.88,75.04,4.16
Dominican Republic,72.56,70.86,74.33,3.47
Kazakhstan,72.53,67.43,77.31,9.88
Bolivia,72.5,71.04,74.02,2.98
Malawi,72.44,69.33,75.59,6.26
Moldova,72.44,68.6,76.52,7.92
Russia,72.44,66.92,78.3,11.38
Suriname,72.42,68.81,76.27,7.46
Nepal,72.4,71.66,73.17,1.51
Kyrgyzstan,72.35,68.27,76.71,8.44
Mexico,72.32,68.93,75.88,6.95
Bhutan,72.31,71.19,73.49,2.3
Guyana,71.87,70.03,73.8,3.77
Turkmenistan,71.83,68.8,75.0,6.2
North Korea,71.77,67.88,75.88,8.0
Mongolia,71.37,67.19,75.76,8.57
Togo,71.36,68.76,74.03,5.27
Kosovo,71.12,68.83,73.58,4.75
Cambodia,70.65,68.79,72.59,3.8
Tanzania,70.19,68.42,72.02,3.6
Philippines,70.14,66.6,73.86,7.26
Senegal,69.96,68.23,71.77,3.54
Burma,69.92,68.27,71.67,3.4
Timor-Leste,69.92,68.25,71.7,3.45
Gabon,69.7,67.98,71.48,3.5
Kenya,69.69,67.98,71.43,3.45
Pakistan,69.67,67.62,71.82,4.2
Papua New Guinea,69.43,67.76,71.19,3.43
Ghana,69.37,67.7,71.09,3.39
Tajikistan,69.36,66.2,72.69,6.49
Uganda,68.96,66.71,71.27,4.56
Peru,68.94,65.38,72.67,7.29
Tuvalu,68.38,65.96,70.92,4.96
Ethiopia,68.25,66.12,70.44,4.32
Madagascar,68.17,66.8,69.57,2.77
Laos,68.15,66.49,69.88,3.39
Nauru,67.93,64.38,71.62,7.24
Kiribati,67.9,65.3,70.64,5.34
The Gambia,67.6,65.83,69.41,3.58
Yemen,67.51,65.19,69.94,4.75
Burundi,67.42,65.32,69.59,4.27
India,67.22,65.46,69.16,3.7
Comoros,67.2,64.93,69.54,4.61
Sudan,67.12,64.89,69.46,4.57
São Tomé and Príncipe,67.06,65.44,68.72,3.28
Eritrea,66.85,64.25,69.53,5.28
Namibia,66.47,64.46,68.53,4.07
Zambia,66.26,64.52,68.06,3.54
Haiti,65.95,63.26,68.67,5.41
Rwanda,65.85,63.89,67.86,3.97
Botswana,65.64,63.6,67.74,4.14
Liberia,65.45,63.19,67.78,4.59
South Africa,65.32,63.99,66.68,2.69
Djibouti,65.3,62.72,67.96,5.24
Mauritania,65.22,62.77,67.75,4.98
Guinea,63.9,62.04,65.82,3.74
Equatorial Guinea,63.7,61.44,66.03,4.59
Guinea-Bissau,63.68,61.45,65.99,4.54
Burkina Faso,63.44,61.63,65.31,3.68
Zimbabwe,63.32,61.18,65.52,4.34
Cameroon,63.27,61.49,65.09,3.6
Mali,62.41,60.19,64.7,4.51
Côte d'Ivoire,62.26,60.07,64.52,4.45
Benin,62.21,60.39,64.14,3.75
Angola,62.11,60.05,64.24,4.19
Republic of the Congo,62.1,60.65,63.61,2.96
Democratic Republic of the Congo,61.83,60.03,63.69,3.63
Nigeria,61.33,59.51,63.27,3.76
Niger,60.09,58.55,61.68,3.13
Eswatini,59.69,57.62,61.81,4.19
Lesotho,59.57,57.57,61.64,4.07
South Sudan,59.16,57.43,60.97,3.54
Chad,59.15,57.32,61.06,3.74
Sierra Leone,58.76,57.16,60.41,3.25
Mozambique,57.1,55.76,58.49,2.73
Somalia,55.72,53.39,58.12,4.73
Central African Republic,55.52,54.19,56.88,2.69
Afghanistan,53.65,52.1,54.28,2.18
World (2020),70.5,68.4,72.6,4.2
European Union (2021),77.63,72.98,82.51,9.53
