Location,"Rates per 100,000[2]",Counts[3]
,,
Afghanistan *,36,14000
Albania *,174,4807
Algeria,217,94749
American Samoa,538,301
Andorra,64,51
Angola,79,24966
Anguilla,240,36
Antigua and Barbuda,237,233
Argentina *,249,114074
Armenia *,72,2128
Aruba,238,254
Australia * [Note],158,41155
Austria *,97,8798
Azerbaijan *,219,22334
Bahamas,409,1617
Bahrain *,234,3485
Bangladesh *,46,81156
Barbados,258,743
Belarus,345,32556
Belgium *,97,11326
Belize *,289,1199
Benin *,111,14190
Bermuda,200,124
Bhutan *,145,1119
Bolivia *,175,20864
Federation of Bosnia and Herzegovina,83,1813
Republika Srpska,46,554
Botswana,161,3971
Brazil *,389,835643
Brunei,186,841
Bulgaria *,93,6386
Burkina Faso,38,8369
Burundi,85,12188
Cambodia *,219,38050
Cameroon,116,32003
Canada *,85,32261
Cape Verde *,296,1549
Cayman Islands,266,189
Central African Republic,40,1990
Chad,59,8700
Chile *,264,49845
China * [Note],119,1690000
Colombia *,196,100639
Comoros,43,387
Congo,27,1388
Cook Islands,224,47
Costa Rica *,301,15516
Ivory Coast *,92,25121
Croatia,102,3955
Cuba * [Note],794,90000
Curaçao,261,429
Cyprus,103,947
Czech Republic *,187,19747
DR Congo *,24,22820
Denmark *,72,4248
Djibouti,71,c. 662
Dominica,316,237
Dominican Republic *,222,25383
Ecuador *,167,30540
Egypt *,116,120000
El Salvador *,1 086,71000
England and Wales * [Note],143,85851
Equatorial Guinea,63,500
Eritrea [Note],,
Estonia *,150,1994
Eswatini,243,3405
Ethiopia *,99,110000
Faroe Islands,23,12
Fiji,256,2379
Finland *,51,2827
France *,107,73080
French Guiana,280,907
French Polynesia,189,539
Gabon,228,5226
Gambia,22,543
Georgia,265,9626
Germany *,67,56557
Ghana *,47,15185
Gibraltar *,273,92
Greece *,103,10723
Greenland *,241,136
Grenada,335,379
Guadeloupe *,190,851
Guam,408,700
Guatemala *,127,24031
Guernsey,112,74
Guinea,34,4375
Guinea-Bissau,31,596
Guyana *,271,2156
Haiti *,98,11253
Honduras *,191,19619
Hong Kong *,106,7751
Hungary *,194,18800
Iceland,35,133
India *,40,554034
Indonesia *,99,275518
Iran *,228,189000
Iraq,179,73715
Ireland,91,4702
Isle of Man,103,90
Israel *,168,14961
Italy *,97,57230
Jamaica *,125,3559
Japan *,36,45714
Jersey,135,146
Jordan,185,19140
Kazakhstan *,184,35228
Kenya *,107,58887
Kiribati,113,129
Kosovo *,93,1642
Kuwait *,103,4500
Kyrgyzstan,117,7633
Laos *,166,11885
Latvia *,169,3169
Lebanon,143,9500
Lesotho *,104,2216
Liberia *,55,3000
Libya,176,12300
Liechtenstein,31,12
Lithuania,177,4955
Luxembourg,106,685
Macau *,197,1323
Madagascar,98,28830
Malawi,76,16366
Malaysia *,217,72437
Maldives *,314,1700
Mali,40,8670
Malta,113,589
Marshall Islands,66,35
Martinique,254,976
Mauritania *,57,2826
Mauritius *,197,2567
Mayotte,205,600
Mexico *,175,232230
Micronesia,127,132
Moldova *,236,6084
Monaco,36,14
Mongolia,183,5832
Montenegro *,153,948
Morocco,260,97204
Mozambique,62,20517
Myanmar *,183,100324
Namibia *,318,8900
Nauru *,140,14
Nepal *,83,25400
Netherlands,65,11447
New Caledonia,195,572
New Zealand *,162,8376
Nicaragua,332,20918
Niger,39,9187
Nigeria *,35,77684
North Korea * [Note],,
North Macedonia,128,2362
Northern Ireland * [Note],99,1900
Northern Mariana Islands,273,153
Norway *,55,2975
Oman *,46,1960
Pakistan *,38,87712
Palau,428,77
Panama *,499,22239
Papua New Guinea *,58,5087
Paraguay *,234,17065
Peru *,264,90516
Philippines *,162,180826
Poland *,208,78102
Portugal *,122,12623
Puerto Rico *,221,7176
Qatar *,58,1644
South Korea *,103,52940
Réunion,137,1249
Romania *,122,23079
Russia *,300,433006
Rwanda,621,84710
Samoa,179,358
San Marino,26,9
São Tomé and Príncipe,115,260
Saudi Arabia *,207,"c. 68,056"
Scotland * [Note],141,7775
Senegal,67,12430
Serbia *,155,10557
Seychelles,360,362
Sierra Leone,57,4801
Singapore *,156,9536
Sint Maarten,196,87
Slovakia *,187,10164
Slovenia *,70,1490
Solomon Islands,79,500
Somalia [Note],,
South Africa *,250,151755
South Sudan,58,8400
Spain *,116,55095
Sri Lanka *,128,27634
Saint Kitts and Nevis *,296,160
Saint Lucia *,278,514
Saint Vincent and the Grenadines,347,385
Sudan *,52,21000
Suriname *,185,1000
Sweden *,74,7713
Switzerland *,73,6445
Syria,60,10599
Taiwan *,234,54946
Tajikistan,141,14000
Tanzania,50,32671
Thailand *,377,262319
East Timor,55,763
Togo,59,4990
Tonga *,166,176
Trinidad and Tobago *,276,3802
Tunisia,196,23484
Turkey *,392,336315
Turkmenistan,576,35000
Tuvalu *,110,11
Uganda,151,75205
Ukraine *,123,48038
United Arab Emirates *,104,9826
United States * [Note],531,1767200
Uruguay,408,14347
Uzbekistan,85,29000
Vanuatu,65,195
Venezuela *,199,67200
Vietnam *,130,125697
British Virgin Islands,368,114
U.S. Virgin Islands,345,359
Yemen *,35,9719
Zambia,118,24000
Zimbabwe *,121,22114
