Country,Youth (15 to 24),Youth (15 to 24),Adult (25+),Adult (25+),Elderly (65+),Elderly (65+),Youth Gender Parity Index,Youth Gender Parity Index
Country,Rate,Year,Rate,Year,Rate,Year,Rate,Year
Afghanistan *,47.0,2011.0,31.7,2011.0,20.3,2011.0,0.5,2011.0
Albania *,99.2,2012.0,97.2,2012.0,86.9,2012.0,1.0,2012.0
Algeria *,93.8,2008.0,75.1,2008.0,19.5,2008.0,1.0,2008.0
American Samoa *,97.7,1980.0,97.3,1980.0,92.7,1980.0,1.0,1980.0
Andorra *,,,,,,,,
Angola *,77.4,2014.0,66.0,2014.0,27.0,2014.0,0.8,2014.0
Anguilla *,99.1,1984.0,95.4,1984.0,88.0,1984.0,1.0,1984.0
Antigua and Barbuda *,,,98.9,2015.0,,,,
Argentina *,99.5,2016.0,99.1,2016.0,97.9,2016.0,1.0,2016.0
Armenia *,99.8,2011.0,99.7,2011.0,98.9,2011.0,1.0,2011.0
Aruba *,99.1,2010.0,96.8,2010.0,88.9,2010.0,1.0,2010.0
Australia *,,,,,,,,
Austria *,,,,,,,,
Azerbaijan *,99.9,2016.0,99.8,2016.0,98.4,2016.0,1.0,2016.0
Bahamas,,,,,,,,
Bahrain *,97.0,2001.0,86.5,2001.0,42.3,2001.0,1.0,2001.0
Bangladesh *,94.9,2019.0,74.7,2019.0,39.4,2019.0,1.03,2019.0
Barbados *,99.9,2014.0,99.6,2014.0,98.5,2014.0,1.0,2014.0
Belarus *,99.8,2009.0,99.6,2009.0,98.6,2009.0,1.0,2009.0
Belgium *,,,,,,,,
Belize *,77.6,1991.0,70.3,1991.0,44.8,1991.0,1.0,1991.0
Benin *,52.5,2012.0,32.9,2012.0,7.0,2012.0,0.6,2012.0
Bermuda *,,,,,,,,
Bhutan *,87.3,2012.0,57.0,2012.0,14.9,2012.0,0.9,2012.0
Bolivia *,99.4,2015.0,92.5,2015.0,67.5,2015.0,1.0,2015.0
Bonaire,,,,,,,,
Bosnia and Herzegovina *,99.7,2013.0,97.0,2013.0,86.0,2013.0,1.0,2013.0
Botswana *,97.7,2014.0,87.7,2014.0,40.7,2014.0,1.0,2014.0
Brazil *,99.0,2015.0,92.0,2015.0,74.3,2015.0,1.0,2015.0
British Virgin Islands *,,,,,,,,
Brunei *,99.4,2011.0,96.1,2011.0,61.6,2011.0,1.0,2011.0
Bulgaria *,97.9,2011.0,98.4,2011.0,97.5,2011.0,1.0,2011.0
Burkina Faso *,50.1,2014.0,34.6,2014.0,8.4,2014.0,0.8,2014.0
Burundi *,79.6,2014.0,61.6,2014.0,24.9,2014.0,0.9,2014.0
Cape Verde *,98.1,2015.0,86.8,2015.0,36.8,2015.0,1.0,2015.0
Cambodia *,92.2,2015.0,80.5,2015.0,53.1,2015.0,1.0,2015.0
Cameroon *,80.6,2010.0,71.3,2010.0,26.1,2010.0,0.9,2010.0
Canada *,,,,,,,,
Cayman Islands *,98.9,2007.0,98.9,2007.0,94.7,2007.0,1.0,2007.0
Central African Republic *,36.4,2010.0,36.8,2010.0,35.7,2010.0,0.6,2010.0
Chad *,30.8,2016.0,22.3,2016.0,7.0,2016.0,0.6,2016.0
Chile *,99.4,2015.0,96.9,2015.0,89.9,2015.0,1.0,2015.0
China *,99.8[4],2018.0,96.8[5],2018.0,73.9,2010.0,1.0[6],2018.0
Hong Kong *,,,,,,,,
Macau *,99.8,2016.0,96.5,2016.0,81.2,2016.0,1.0,2016.0
Colombia *,98.7,2016.0,94.7,2016.0,81.4,2016.0,1.0,2016.0
Comoros *,71.6,2012.0,49.2,2012.0,12.8,2012.0,0.9,2012.0
Congo *,80.9,2011.0,79.3,2011.0,73.1,2011.0,0.9,2011.0
DR Congo *,85.0,2016.0,77.0,2016.0,48.0,2016.0,0.9,2016.0
Cook Islands *,,,,,,,,
Costa Rica *,99.1,2011.0,97.4,2011.0,90.4,2011.0,1.0,2011.0
Ivory Coast *,53.0,2014.0,43.9,2014.0,18.0,2014.0,0.8,2014.0
Croatia *,99.7,2011.0,99.1,2011.0,97.1,2011.0,1.0,2011.0
Cuba *,99.9,2012.0,99.8,2012.0,99.2,2012.0,1.0,2012.0
Curaçao,,,,,,,,
Cyprus *,99.8,2011.0,98.7,2011.0,93.8,2011.0,1.0,2011.0
Czech Republic *,,,,,,,,
Denmark *,,,,,,,,
Djibouti *,,,,,,,,
Dominica *,,,,,,,,
Dominican Republic *,98.8,2016.0,93.8,2016.0,79.8,2016.0,1.0,2016.0
Ecuador *,99.1,2016.0,94.4,2016.0,77.7,2016.0,1.0,2016.0
Egypt *,93.9,2017.0,71.2,2017.0,43.2,2013.0,1.0,2017.0
El Salvador *,98.0,2016.0,88.5,2017.0,65.7,2016.0,1.0,2016.0
Equatorial Guinea *,98.2,2014.0,95.0,2014.0,67.2,2014.0,1.0,2014.0
Eritrea *,87.0,2008.0,64.7,2008.0,20.9,2008.0,0.9,2008.0
Estonia *,99.9,2011.0,99.9,2011.0,99.7,2011.0,1.0,2011.0
Eswatini *,93.5,2010.0,83.1,2010.0,45.2,2010.0,1.0,2010.0
Ethiopia *,55.0,2007.0,39.0,2007.0,13.6,2007.0,0.7,2007.0
Faroe Islands *,,,,,,,,
Falkland Islands *,,,,,,,,
Fiji *,,,,,,,,
Finland *,,,,,,,,
France *,,,,,,,,
French Guiana *,91.3,1982.0,82.9,1982.0,69.7,1982.0,,
French Polynesia *,,,,,,,,
Gabon *,88.5,2012.0,82.3,2012.0,60.6,2012.0,1.0,2012.0
Gambia *,60.8,2013.0,42.0,2013.0,10.4,2013.0,0.9,2013.0
Georgia *,99.7,2014.0,99.6,2014.0,99.1,2014.0,1.0,2014.0
Germany *,,,,,,,,
Ghana *,85.7,2010.0,71.5,2010.0,34.9,2010.0,0.9,2010.0
Gibraltar *,,,,,,,,
Greece *,98.8,2011.0,97.4,2011.0,92.5,2011.0,1.0,2011.0
Greenland *[7],100.0,2015.0,,,,,1.0,2015.0
Grenada *,99.2,2014.0,98.6,2014.0,96.2,2014.0,1.0,2014.0
Guadeloupe *,99.8,2014.0,96.0,2014.0,82.9,2014.0,1.0,2014.0
Guam *,99.9,1990.0,99.4,1990.0,95.9,1990.0,1.0,1990.0
Guatemala *,94.4,2014.0,81.3,2014.0,50.7,2014.0,1.0,2014.0
Guinea *,46.3,2014.0,32.0,2014.0,13.1,2014.0,0.7,2014.0
Guinea-Bissau *,60.4,2014.0,45.6,2014.0,19.5,2014.0,0.7,2014.0
Guyana *,96.7,2014.0,85.6,2014.0,49.9,2014.0,1.0,2014.0
Haiti *,72.3,2006.0,48.7,2006.0,8.5,2006.0,0.9,2006.0
Holy See,,,,,,,,
Honduras *,96.1,2016.0,89.0,2016.0,66.3,2016.0,1.0,2016.0
Hungary *,98.8,2014.0,99.1,2014.0,99.1,2014.0,1.0,2014.0
Iceland *,,,,,,,,
India *,95.7,2018.0,75.4,2018.0,45.4,2018.0,0.97,2018.0
Indonesia *,99.7,2016.0,95.4,2016.0,70.1,2016.0,1.0,2016.0
Iran *,98.1,2016.0,85.5,2016.0,36.8,2016.0,1.0,2016.0
Iraq *,93.5,2017.0,85.6,2017.0,20.4,2013.0,0.9,2013.0
Ireland *,,,,,,,,
Isle of Man *,,,,,,,,
Israel *,98.6,1983.0,91.8,1983.0,79.8,1983.0,1.0,1983.0
Italy *,99.9,2011.0,98.8,2011.0,96.7,2011.0,1.0,2011.0
Jamaica *,96.3,2014.0,88.1,2014.0,66.6,2014.0,1.1,2014.0
Japan *,,,,,,,,
Jordan *,99.1,2012.0,97.9,2012.0,87.7,2012.0,1.0,2012.0
Kazakhstan *,99.9,2010.0,99.8,2010.0,99.5,2010.0,1.0,2010.0
Kenya *,86.5,2014.0,78.7,2014.0,54.0,2014.0,1.0,2014.0
Kiribati *,,,,,,,,
North Korea *,100.0,2008.0,100.0,2008.0,100.0,2008.0,1.0,2008.0
South Korea *,,,,,,,,
Kuwait *,99.2,2017.0,96.1,2018.0,69.5,2015.0,1.0,2017.0
Kyrgyzstan *,99.8,2009.0,99.2,2009.0,92.5,2009.0,1.0,2009.0
Laos *,92.5,2015.0,84.7,2015.0,58.6,2015.0,1.0,2015.0
Latvia *,99.8,2011.0,99.9,2011.0,99.9,2011.0,1.0,2011.0
