Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Algeria (more info),32.4,28.2,30.3,4.2,1.15,2012,[2]
Angola,24.7,21.4,23.1,3.3,1.15,2001,[3]
Benin[a],23.8,18.7,21.3,5.1,1.27,2006,[3]
Botswana,30.9,26.4,28.7,4.5,1.17,2001,[2]
Burkina Faso[a],24.3,17.9,21.1,6.4,1.36,2010,[3]
Burundi[a],23.6,20.3,22.0,3.3,1.16,2010,[3]
Cape Verde[a],26.2,21.5,23.9,4.7,1.22,2010,[3]
Cameroon[a] (more info),25.8,19.0,22.4,6.8,1.36,2011,[3]
Central African Republic,21.7,17.3,19.5,4.4,1.25,2010,[2]
Chad,24.7,18.8,21.8,5.9,1.31,2004,[2]
Comoros[a],25.6,20.4,23.0,5.2,1.25,1996,[3]
Congo[a],25.1,21.0,23.1,4.1,1.2,2009,[3]
Ivory Coast[a],26.7,19.5,23.1,7.2,1.37,2005,[3]
DR Congo[a],24.2,19.0,21.6,5.2,1.27,2007,[3]
Djibouti,30.8,26.9,28.9,3.9,1.14,2002,[2]
Egypt (more info),31.0,25.0,28.0,6.0,1.24,2019,[4]
Equatorial Guinea,26.1,20.5,23.3,5.6,1.27,2011,[2]
Eritrea,29.1,20.6,24.9,8.5,1.41,2002,[2]
Eswatini,30.5,26.5,28.5,4.0,1.15,2007,[2]
Ethiopia,25.8,21.3,23.6,4.5,1.21,2016,[2]
Gabon[a],24.7,20.4,22.6,4.3,1.21,2000,[3]
Gambia,29.7,21.5,25.6,8.2,1.38,2013,[2]
Ghana[a] (more info),25.7,21.7,23.7,4.0,1.18,2008,[3]
Guinea,28.0,19.8,23.9,8.2,1.41,2014,[2]
Guinea-Bissau,28.1,20.9,24.5,7.2,1.34,2000,[2]
Kenya[a],24.8,20.2,22.5,4.6,1.23,2008-2009,[3]
Lesotho[a],25.5,20.9,23.2,4.6,1.22,2009,[3]
Liberia[a],23.4,18.9,21.2,4.5,1.24,2007,[3]
Libya,32.0,29.2,30.6,2.8,1.1,1995,[5]
Madagascar[a],22.3,18.4,20.4,3.9,1.21,2008,[3]
Malawi[a],22.3,17.9,20.1,4.4,1.25,2010,[3]
Mali[a],25.8,18.8,22.3,7.0,1.37,2018,[2]
Mauritania[a] (more info),27.1,19.0,23.1,8.1,1.43,2000-2001,[3]
Mauritius,29.8,25.4,27.6,4.4,1.17,2000,[3]
Morocco,31.3,25.7,28.5,5.6,1.22,2019,[6]
Mozambique,23.4,18.7,21.1,4.7,1.25,2017,[2]
Namibia[a],31.7,29.2,30.5,2.5,1.09,2006-2007,[3]
Niger,24.0,17.2,20.6,6.8,1.4,2015,[2]
Nigeria (more info),28.6,21.2,24.9,7.4,1.35,2013,[2]
Rwanda[a],24.7,20.6,22.7,4.1,1.2,2010,[3]
São Tomé and Príncipe[a],23.8,18.8,21.3,5.0,1.27,2008-2009,[3]
Senegal,30.6,22.2,26.4,8.4,1.38,2017,[2]
Seychelles,27.3,25.2,26.3,2.1,1.08,2002,[2]
Sierra Leone,27.9,23.1,25.5,4.8,1.21,2017,[2]
Somalia,26.5,20.6,23.6,5.9,1.29,1982,[2]
South Africa[b] (more info),37.0,33.0,35.0,4.0,1.12,2019,[7]
South Sudan,25.6,18.4,22.0,7.2,1.39,2010,
Sudan (more info),28.9,22.0,25.5,6.9,1.31,2010,
Tanzania[a],23.8,18.9,21.4,4.9,1.26,2010,[3]
Togo,27.6,22.3,25.0,5.3,1.24,2014,[2]
Tunisia,32.6,28.7,30.7,3.9,1.14,2004,[2]
Uganda[a],22.4,18.2,20.3,4.2,1.23,2011,[3]
Zambia[a],23.7,18.7,21.2,5.0,1.27,2007,[3]
Zimbabwe[a],24.6,19.9,22.3,4.7,1.24,2010-2011,[3]
