Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Albania,30.9,27.8,29.4,3.1,1.11,2019,[14]
Austria (more info),33.0,30.8,31.9,2.2,1.07,2019,[14]
Belarus,28.3,26.1,27.2,2.2,1.08,2019,[14]
Belgium,32.3,30.0,31.2,2.3,1.08,2015,[14]
Bosnia and Herzegovina,29.5,26.8,28.2,2.7,1.1,2019,[14]
Bulgaria (more info),32.0,29.1,30.6,2.9,1.1,2019,[14]
Croatia,31.5,28.9,30.2,2.6,1.09,2019,[14]
Czech Republic (more info),32.2,29.8,31.0,2.4,1.08,2017,[14]
Denmark,35.0,32.7,33.9,2.3,1.07,2019,[14]
Estonia,32.3,30.4,31.4,1.9,1.06,2019,[14]
Finland (more info),34.2,32.1,33.2,2.1,1.07,2019,[14]
France (more info),33.7,32.0,32.9,1.7,1.05,2013,[2]
Germany (more info),34.5,32.1,33.3,2.4,1.07,2019,[14]
Greece (more info),32.9,30.1,31.5,2.8,1.09,2017,[14]
Hungary,32.8,30.1,31.5,2.7,1.09,2019,[14]
Iceland,34.6,32.7,33.7,1.9,1.06,2011,[14]
Ireland (more info),36.8,34.8,35.8,2.0,1.06,2019,[31]
Italy (more info),33.7,31.5,32.6,2.2,1.07,2018,[14]
Latvia,32.7,30.6,31.7,2.1,1.07,2019,[14]
Liechtenstein,33.9,31.2,32.6,2.7,1.09,2019,[14]
Lithuania,30.7,28.3,29.5,2.4,1.08,2019,[14]
Luxembourg,34.3,31.8,33.1,2.5,1.08,2019,[14]
Malta,30.5,28.5,29.5,2.0,1.07,2011,[14]
Moldova,28.9,26.0,27.5,2.9,1.11,2019,[14]
Monaco,33.4,30.4,31.9,3.0,1.1,2008,[2]
Montenegro,31.1,28.0,29.6,3.1,1.11,2019,[14]
Netherlands,33.0,30.9,32.0,2.1,1.07,2019,[14]
North Macedonia,29.6,26.9,28.3,2.7,1.1,2019,[14]
Norway,36.7,34.1,35.4,2.6,1.08,2020,[32]
Poland (more info),28.9,27.0,28.0,1.9,1.07,2019,[14]
Portugal,33.9,32.4,33.2,1.5,1.05,2019,[14]
Romania,31.6,28.3,30.0,3.3,1.12,2019,[14]
Russia (more info),28.1,25.5,26.8,2.6,1.1,2013,[14]
San Marino,33.5,30.7,32.1,2.8,1.09,2014,[2]
Serbia,31.4,28.6,30.0,2.8,1.1,2019,[14]
Slovakia (more info),31.9,29.4,30.7,2.5,1.09,2019,[14]
Slovenia,32.8,30.7,31.8,2.1,1.07,2019,[14]
Spain (more info),35.6,33.6,34.6,2.0,1.06,2019,[14]
Sweden,36.3,33.9,35.1,2.4,1.07,2019,[14]
Switzerland (more info),32.3,30.1,31.2,2.2,1.07,2019,[14]
Ukraine (more info),28.6,25.9,27.3,2.7,1.1,2019,[14]
United Kingdom (more info),33.6,31.7,32.7,1.9,1.06,2017,[14]
