Country,Men,Women,Median,Age Gap,Age Ratio,Year,Source
Australia (more info),32.1,30.5,31.3,1.6,1.05,2021.0,[33]
Fiji,27.7,24.1,25.9,3.6,1.15,25.9,[2]
Kiribati[d],23.6,20.1,21.9,3.5,1.17,2009.0,[34]
Marshall Islands,25.7,24.2,25.0,1.5,1.06,2011.0,[35]
Micronesia,27.5,25.5,26.5,2.0,1.08,2010.0,[36]
Nauru[e],22.8,21.2,22.0,1.6,1.08,2007.0,[37]
New Zealand (more info),30.6,29.4,30.0,1.2,1.04,2019.0,[38]
Palau,28.9,26.6,27.8,2.3,1.09,2005.0,[2]
Papua New Guinea,25.0,21.4,23.2,3.6,1.17,2006.0,[2]
Samoa,28.7,24.1,26.4,4.6,1.19,2009.0,[2]
Solomon Islands[e],25.6,20.3,23.0,5.3,1.26,2007.0,[39]
Tonga[f],25.0,23.6,24.3,1.4,1.06,2012.0,[40]
Tuvalu[e],27.2,22.1,24.7,5.1,1.23,2007.0,[41]
Vanuatu[d],24.4,20.8,22.6,3.6,1.17,2013.0,[42]
