Country or subnational area,Expenditure on education (% of GDP),Year,Source
Marshall Islands,15.8,2019,[1]
Cuba,12.9,2012,[1]
Micronesia,12.5,2015,[1]
Kiribati,12.0,2001,[1]
Somaliland,9.6,2021,[1]
Djibouti,8.4,2012,[1]
Namibia,8.4,2012,[1]
Norway,8.0,2016,[1]
Botswana,7.8,2012,[1]
Sweden,7.7,2016,[2]
Denmark,7.6,2014,[1]
Palau,7.6,2002,[1]
Iceland,7.5,2016,[2]
Costa Rica,7.4,2016,[1]
Belize,7.4,2017,[1]
Bolivia,7.3,2014,[1]
Solomon Islands,7.3,2012,[1]
Eswatini,7.1,2014,[2]
Finland,6.9,2016,[1]
Oman,6.8,2017,[1]
Moldova,6.7,2017,[1]
Bhutan,6.6,2018,[2]
Tunisia,6.6,2015,[1]
Belgium,6.5,2016,[1]
Lesotho,6.5,2018,[1]
Mozambique,6.5,2014,[2]
New Zealand,6.4,2016,[1]
Cyprus,6.4,2015,[1]
Guyana,6.3,2017,[1]
Uzbekistan,6.3,2017,[1]
Brazil,6.2,2015,[2]
South Africa,6.2,2018,[1]
Zimbabwe,6.1,2014,[2]
Kyrgyzstan,6.1,2017,[1]
Puerto Rico,6.1,2014,[1]
Honduras,6.0,2017,[2]
Israel,5.8,2016,[1]
Saint Vincent and the Grenadines,5.8,2017,[1]
Saudi Arabia,5.6,2012,[1]
Czech Republic,5.6,2016,[2]
Argentina,5.5,2017,[2]
Austria,5.5,2016,[1]
Canada,5.5,2012,[1]
Netherlands,5.5,2016,[2]
Jamaica,5.4,2018,[1]
France,5.4,2016,[2]
Chile,5.4,2017,[2]
Ukraine,5.4,2017,[2]
Morocco,5.4,2012,[1]
Malta,5.3,2015,[1]
Australia,5.3,2016,[2]
State of Palestine,5.3,2017,[2]
Kenya,5.2,2017,[1]
Tajikistan,5.2,2015,[2]
Estonia,5.2,2016,[2]
Yemen,5.2,2012,[1]
Cape Verde,5.2,2017,[1]
Nepal,5.2,2018,[2]
Côte d'Ivoire,5.1,2017,[2]
Syria,5.1,2012,[1]
South Korea,5.1,2014,[2]
Switzerland,5.1,2016,[1]
Ecuador,5.0,2015,[1]
Togo,5.0,2016,[1]
United States,6.1,2020,[2]
Nauru,4.9,2007,[1]
Mexico,4.9,2016,[2]
Portugal,4.9,2015,[1]
Uruguay,4.9,2017,[1]
Sao Tome and Principe,4.9,2017,[2]
Mauritius,4.8,2018,[1]
Belarus,4.8,2017,[citation needed]
Senegal,4.8,2017,[2]
Germany,4.8,2016,[2]
Slovenia,4.8,2016,[1]
Burundi,4.8,2017,[1]
Malaysia,4.7,2017,[1]
Ethiopia,4.7,2015,[2]
Latvia,4.7,2016,[2]
Hungary,4.7,2016,[1]
Vanuatu,4.7,2017,[1]
Barbados,4.7,2017,[1]
Poland,4.6,2016,[2]
Sierra Leone,4.6,2017,[1]
Congo,4.6,2015,[1]
Croatia,4.6,2013,[2]
Colombia,4.5,2017,[2]
Brunei,4.4,2016,[1]
Turkey,4.4,2014,[2]
Seychelles,4.4,2016,[1]
Vietnam,4.3,2016,[2]
Algeria,4.3,2012,[1]
Dominican Republic,4.3,2014,[3]
Nicaragua,4.3,2017,[1]
Burkina Faso,4.2,2016,[2]
Spain,4.2,2016,[1]
Thailand,4.1,2013,[2]
Mongolia,4.1,2017,[1]
Samoa,4.1,2016,[1]
Maldives,4.1,2016,[1]
Afghanistan,4.1,2017,[2]
Bulgaria,4.1,2012,[1]
Greece,4.1,2012,[1]
Panama,4.1,2012,[1]
Malawi,4.0,2017,[1]
Lithuania,4.0,2016,[2]
Benin,4.0,2016,[1]
Luxembourg,4.0,2014,[2]
Serbia,4.0,2017,[2]
China,4.0,2016,[6]
Iran,4.0,2018,[1]
Albania,4.0,2016,[2]
Peru,3.9,2017,[2]
United Kingdom,3.9,2019,[5]
Tonga,3.9,2004,[1]
Slovakia,3.9,2016,[1]
Fiji,3.9,2013,[1]
Georgia,3.8,2017,[1]
Timor-Leste,3.8,2017,[1]
Saint Lucia,3.8,2018,[1]
Italy,3.8,2016,[2]
Egypt,3.8,2012,[1]
Kuwait,3.8,2012,[1]
El Salvador,3.8,2017,[1]
Russia,3.7,2020,[7]
Tuvalu,3.7,1997,[1]
Ireland,3.7,2017,[2]
Jordan,3.6,2017,[2]
Japan,3.6,2014,[2]
Ghana,3.6,2017,[2]
Indonesia,3.6,2015,[2]
Venezuela,3.6,2012,[1]
Niger,3.5,2017,[2]
Angola,3.5,2012,[1]
Iraq,3.5,1989,[2]
Tanzania,3.4,2014,[1]
Dominica,3.4,2015,[1]
Paraguay,3.4,2016,[2]
North Macedonia,3.3,2002,[2]
Hong Kong,3.3,2018,[2]
San Marino,3.2,2017,[1]
Andorra,3.2,2012,[1]
Grenada,3.2,2017,[2]
Trinidad and Tobago,3.1,2003,[1]
Cameroon,3.1,2017,[2]
Mali,3.1,2016,[1]
Romania,3.1,2017,[4]
Rwanda,3.1,2018,[2]
Turkmenistan,3.0,2012,[2]
Singapore,2.9,2013,[1]
Qatar,2.9,2017,[2]
Chad,2.9,2013,[2]
Laos,2.9,2014,[1]
Pakistan,2.9,2017,[2]
India,2.9,2023,[8]
Bahamas,2.8,2000,[1]
Kazakhstan,2.8,2017,[2]
Sri Lanka,2.8,2017,[2]
Guatemala,2.8,2017,[1]
Madagascar,2.8,2014,[1]
Gabon,2.7,2014,[2]
Philippines,3.2,2019,[1]
Macau,2.7,2017,[1]
Saint Kitts and Nevis,2.6,2015,[1]
Uganda,2.6,2017,[1]
Mauritania,2.6,2016,[1]
Antigua and Barbuda,2.5,2012,[1]
Comoros,2.5,2015,[1]
Haiti,2.5,2016,[1]
Azerbaijan,2.5,2017,[2]
Lebanon,2.5,2013,[2]
Armenia,2.3,2020,[9]
Libya,2.3,1999,[2]
Liberia,2.3,2014,[2]
Bahrain,2.3,2017,[2]
Sudan,2.2,2009,[2]
Guinea,2.2,2017,[1]
Myanmar,2.2,2017,[2]
Eritrea,2.1,2012,[1]
Liechtenstein,2.1,2012,[1]
Gambia,2.1,2016,[1]
Guinea-Bissau,2.1,2012,[2]
Bangladesh,2.0,2018,[1]
Cambodia,1.9,2014,[2]
Monaco,1.5,2017,[1]
Democratic Republic of the Congo,1.5,2017,[1]
South Sudan,1.5,2016,[2]
Zambia,1.3,2012,[1]
United Arab Emirates,1.3,2000,[1]
Central African Republic,1.2,2012,[1]
Equatorial Guinea,0.6,2003,[1]
Suriname,n.a.,n.a.,[1]
Nigeria,5.94,2018,[10]
Somalia,n.a.,n.a.,[1]
Bosnia and Herzegovina,n.a.,n.a.,[1]
Montenegro,n.a.,n.a.,[1]
North Korea,n.a.,n.a.,[1]
Papua New Guinea,n.a.,n.a.,[1]
