Rank,Country,Number of scientific publications (2020),Scientific publications per capita (per million)
1.0,China,744042,527.0
2.0,United States,624554,1875.0
3.0,United Kingdom,198500,2959.0
4.0,India,191590,138.0
5.0,Germany,174524,2097.0
6.0,Italy,127502,2159.0
7.0,Japan,127408,1016.0
8.0,Canada,121111,3184.0
9.0,Russia,119195,819.0
10.0,France,112838,1664.0
11.0,Australia,106614,4109.0
12.0,Spain,104353,2202.0
13.0,South Korea,91030,1762.0
14.0,Brazil,89241,416.0
15.0,Iran,71894,863.0
16.0,Netherlands,62512,3534.0
17.0,Turkey,53802,635.0
18.0,Poland,51994,1364.0
19.0,Indonesia,49160,181.0
20.0,Switzerland,47607,5461.0
21.0,Sweden,43270,4141.0
22.0,Taiwan,39201,1677.0
23.0,Malaysia,37099,1135.0
24.0,Saudi Arabia,36301,1037.0
25.0,Belgium,34575,2976.0
26.0,Egypt,34575,298.0
27.0,Denmark,29982,5110.0
28.0,Portugal,29189,2821.0
29.0,Mexico,29089,231.0
30.0,Pakistan,28525,127.0
31.0,South Africa,28365,472.0
32.0,Austria,27324,3044.0
33.0,Norway,25204,4654.0
34.0,Czech Republic,24811,2358.0
35.0,Hong Kong,24203,3273.0
36.0,Singapore,23078,4232.0
37.0,Israel,22743,2402.0
38.0,Finland,21789,3948.0
39.0,Thailand,20830,312.0
40.0,Greece,20123,1884.0
41.0,Iraq,18711,454.0
42.0,Ukraine,17888,434.0
43.0,Vietnam,17485,177.0
44.0,Chile,17137,871.0
45.0,New Zealand,16886,3286.0
46.0,Ireland,16581,3309.0
47.0,Argentina,15605,341.0
48.0,Romania,15537,810.0
49.0,Colombia,15103,296.0
50.0,Nigeria,13282,63.0
51.0,Hungary,12168,1250.0
52.0,United Arab Emirates,10079,1061.0
53.0,Morocco,9463,259.0
54.0,Slovakia,8709,1597.0
55.0,Tunisia,8338,710.0
56.0,Bangladesh,8265,48.0
57.0,Algeria,7968,176.0
58.0,Serbia,7960,1158.0
59.0,Croatia,7814,2010.0
60.0,Slovenia,6808,3228.0
61.0,Jordan,6540,587.0
62.0,Bulgaria,6233,956.0
63.0,Ethiopia,6141,52.0
64.0,Philippines,5636,51.0
65.0,Ecuador,5519,308.0
66.0,Peru,5425,164.0
67.0,Kazakhstan,5339,279.0
68.0,Qatar,5081,1815.0
69.0,Lithuania,4658,1667.0
70.0,Lebanon,4249,628.0
71.0,Ghana,4189,136.0
72.0,Kenya,4110,86.0
73.0,Estonia,3810,2865.0
74.0,Cyprus,3629,4087.0
75.0,Uzbekistan,3491,99.0
76.0,Sri Lanka,2844,128.0
77.0,Nepal,2555,84.0
78.0,Macau,2549,3736.0
79.0,Belarus,2547,272.0
80.0,Oman,2543,562.0
81.0,Latvia,2530,1349.0
82.0,Kuwait,2345,502.0
83.0,Uganda,2259,53.0
84.0,Luxembourg,2256,3554.0
85.0,Tanzania,2199,37.0
86.0,Cuba,2088,187.0
87.0,Cameroon,2086,86.0
88.0,Georgia,1905,511.0
89.0,Uruguay,1902,535.0
90.0,Azerbaijan,1764,174.0
91.0,Iceland,1738,4622.0
92.0,Bosnia and Herzegovina,1574,474.0
93.0,Costa Rica,1438,279.0
94.0,Venezuela,1397,49.0
95.0,Palestine,1204,230.0
96.0,Sudan,1187,27.0
97.0,Armenia,1175,396.0
98.0,Zimbabwe,1116,71.0
99.0,Bahrain,1066,710.0
100.0,Yemen,1064,35.0
101.0,Malta,1016,1974.0
102.0,North Macedonia,990,540.0
103.0,Myanmar,974,18.0
104.0,Malawi,952,50.0
105.0,Senegal,938,54.0
106.0,Puerto Rico,872,265.0
107.0,Zambia,802,44.0
108.0,Botswana,800,332.0
109.0,Panama,777,182.0
110.0,Syria,734,40.0
111.0,Rwanda,715,55.0
112.0,Brunei,681,1584.0
113.0,Libya,674,97.0
114.0,Mongolia,662,194.0
115.0,Burkina Faso,651,30.0
116.0,Benin,625,50.0
116.0,Montenegro,625,1006.0
118.0,Ivory Coast,615,23.0
119.0,Albania,612,216.0
119.0,Mozambique,612,20.0
121.0,Moldova,549,211.0
122.0,Cambodia,529,34.0
123.0,Namibia,524,205.0
124.0,Kyrgyzstan,507,76.0
125.0,Jamaica,478,175.0
126.0,Fiji,469,522.0
