Rank,Country,Year,Titles,Notes,References
1,United States,2013,275232,New titles and re-editions,[3]
2,China,2013,208418,New titles and re-editions,[3]
3,United Kingdom,2020,186000,,[4]
4,Japan,2017,139078,New titles and re-editions,[5]
5,Indonesia,2020,135081,,[6]
6,Italy,2020,125948,,[4]
7,Russia,2019,115171,,[4]
8,France,2018,106799,,[7]
9,Iran,2018,102691,New and revised,[8]
10,India,2013,90000,"total: revised editions not included; 26% in Hindi, 24% in English, and the rest in other Indian languages",[9][10]
11,Turkey,2020,88975,,[4]
12,Spain,2020,83622,,[4]
13,Germany,2018,79916,,[7]
14,South Korea,2018,63476,New,[11]
15,Brazil,2018,46829,,[7]
16,Taiwan,2010,28084,"43,258 total",[12]
17,Vietnam,2009,24589,,[13]
18,Ukraine,2019,24416,,[14]
19,Egypt,2019,23000,,[15]
20,Poland,2015,21130,"34,920 total",[16]
21,Australia,2020,19241,,[4]
22,Portugal,2020,18925,,[4]
23,Mexico,2020,18713,,[4]
24,Colombia,2017,17066,"18,508 total",[17]
25,Netherlands,2014,16502,Only physical Dutch new titles,[18]
26,Czechia,2020,16474,,[4]
27,Malaysia,2015,15354,"Declined since 2013 at 19,987",[19]
28,Romania,2008,14984,,[20]
29,Serbia,2020,14901,,[4]
30,Hong Kong,2005,14603,,[21]
31,Norway,2020,14114,,[4]
32,Belgium,1991,13913,,[22]
33,Bulgaria,2019,12 194,,[4]
34,Switzerland,2001,12156,,[23]
35,Singapore,2007,12000,,[24]
36,Argentina,2019,11514,,[4]
37,Denmark,2020,10715,,[4]
38,Canada,2020,10433,,[4]
39,Finland,2020,10208,,[4]
40,Hungary,2019,9589,,[4]
41,Greece,2020,9583,,[4]
42,Slovakia,2006,9400,,[25]
43,Austria,2020,8711,,[4]
44,Israel,2013,8411,,[26]
45,Belarus,2020,8205,,[27]
46,Sweden,2021,8118,"30,857 total",[28]
47,Chile,2020,7058,,[4]
48,Peru,2020,6885,,[4]
49,Thailand,2018,6750,Only trade sector data; educational sector data not available,[7]
50,Estonia,2020,5809,,[4]
51,South Africa,1995,5418,,[29]
52,Slovenia,2020,5076,,[4]
53,Moldova,2020,4559,,[4]
54,Ecuador,2020,4153,,[4]
55,Sri Lanka,1996,4115,,[30]
56,Algeria,2008,3955,,[31]
57,Pakistan,2012,3811,"Total; 2,943 in Urdu and 868 in English",[32]
58,Morocco,2018/2019,3677,,[33]
59,Myanmar,1993,3660,,[30]
60,Lithuania,2019,3479,,[4]
61,Uruguay,2018,3231,,[7]
62,Afghanistan,1990,2795,,[30]
63,New Zealand,2020,2526,,[4]
64,Saudi Arabia,2014,2387,,[34]
65,Latvia,2020,2375,,[4]
66,Venezuela,2018,2275,,[7]
67,Costa Rica,2018,2158,,[7]
68,Lebanon,2020,2000,,[4]
69,Luxembourg,2001,2000,,[23]
70,Dominican Republic,2018,1866,,[7]
71,Ireland,2020,1773,,[4]
72,Iceland,2019,1767,,[35]
73,Bolivia,2018,1578,,[7]
74,Philippines,1996,1507,,[30]
75,Kyrgyzstan,2018,1455,,[7]
76,Nigeria,1991,1314,,[29]
77,Kazakhstan,1996,1226,,[30]
78,Syria,2004,1138,,[36]
79,Guatemala,2018,1042,,[7]
80,Paraguay,2018,1007,,[7]
81,Uzbekistan,1996,1003,,[30]
82,Eritrea,2015,970,,[29]
83,Panama,2018,940,,[7]
84,Cyprus,1996,930,,[30]
85,Cuba,2020,728,,[4]
86,Tunisia,1996,720,,[29]
87,El Salvador,2018,661,,[7]
88,Georgia,1996,581,,[30]
89,Azerbaijan,1996,542,,[30]
90,Jordan,1996,511,,[30]
91,Malta,2020,511,,[4]
92,Turkmenistan,1994,450,,[30]
93,Fiji,1994,401,,[37]
94,Armenia,1996,396,,[30]
95,Albania,1991,390,,[22]
96,Kenya,1994,300,,[29]
97,United Arab Emirates,1993,293,,[30]
98,Uganda,1996,288,,[29]
99,Mongolia,1992,285,,[30]
100,Ethiopia,1991,240,,[29]
101,Zimbabwe,1992,232,,[29]
102,Vatican City,1996,228,,[22]
103,Qatar,1996,209,,[30]
104,Kuwait,1992,196,,[30]
105,Tanzania,1990,172,,[29]
106,Botswana,1991,158,,[29]
107,Tajikistan,1996,132,,[30]
108,Papua New Guinea,1991,122,,[37]
109,Madagascar,1996,119,,[29]
110,Malawi,1996,117,,[29]
111,Palestine,1996,114,,[30]
112,Namibia,1990,106,,[29]
113,Honduras,2018,102,,[7]
114,Brunei,2009,91,,[13]
115,Laos,1995,88,,[30]
116,Benin,1994,84,,[29]
117,Mauritius,1996,80,,[29]
118,Réunion,1992,69,,[29]
119,Democratic Republic of the Congo,1992,64,,[29]
120,Andorra,1994,57,,[22]
121,Suriname,1996,47,,[38]
122,American Samoa,1980,46,,[39]
123,Guyana,1996,42,,[38]
124,Monaco,1990,41,,[22]
125,Bahrain,1996,40,,[30]
126,Ghana,1992,28,,[29]
127,Nicaragua,2018,27,,[7]
128,Libya,1994,26,,[29]
129,Angola,1995,22,,[29]
130,Gambia,1996,14,,[29]
131,Mali,1995,14,,[29]
132,Burkina Faso,1996,12,,[29]
133,Oman,1996,7,,[30]
