,Country/Territory,"GDP (in US$) per capita by country, United Nations, estimate","Fixed broadband, Average download speed (Mbit/s) (Ookla)","Recorded per capita consumption of pure alcohol (litres) per adult 15 years of age and over per year, 2016",intentional homicide rate,% of GDP,HDI 2021 data (2022 report),Democracy index: 2020,"('Ages 25–34:\xa0% equivalent to a degree course lasting at least:', '2 years')",% Yes for importance of religion,% Christian,Muslim percentage of total population,% Buddhist,% Jewish,"2020 mortality rate, under-5 (per 1000 live births)",Age of criminal responsability reduced,Minimum wage annual in US$,External Debt by % of GDP,World Bank Gini %,Total health spending per capita in PPP international dollars. Not inflation-adjusted,"Suicide rates by gender and country (age-standardized, per 100,000 population, World Health Organization, 2019)[",Fertility rate in 2019 (births/woman),"Annual Cigarette Consumption per person aged 15 or older, 2016","Obesity rates by country (The World Factbook – Central Intelligence Agency, 2016)",% of Internet users,Median age in year 2020 combined M and F,"2019 Economic Freedom of the World Index, score",Oil production April 2022 (bbl/day)[1],population growth rate UN 2015-2020,"List by the World Health Organization (2019), Life expectancy at birth, All","meat consumption per capita, kg/person 2002","Incarceration rates per 100,000 from World  Prison Brief",literacy rate UN member states elderly 65+,age at first marriage Women,Expenditure on education (% of GDP),Homeless per 10k,Milk consumption 2013 (kg/capita/yr) [1],Scientific publications per capita (per million),Total books published per year,Average daily dietary energy consumption kilocalories,Average yearly temperature (1961–1990 Celsius)
0,Afghanistan,373.0,,0.2,4.0,,0.478,2.85,,97.0,,99.7,0.0,,58.0,12.0,858.0,7.0,,,6.0,4.3,311.6,5.5,10.145258307954357,19.5,51.5,,2.41,61.98,,36.0,20.3,15.5,4.1,1180.0,62.23,9.0,2795.0,2040.0,12.6
2,Albania,6396.0,45.25,7.5,2.3,,0.796,6.08,,39.0,,58.8,0.0,,9.8,14.0,4637.0,66.0,29.4,,3.7,1.6,2491.6,21.7,73.74966283790648,34.3,66.5,15003.0,0.13,76.46,38.2,174.0,86.9,27.8,4.0,121.0,303.72,216.0,390.0,3360.0,11.4
3,Algeria,3700.0,,0.9,1.6,4.8,0.745,3.77,,95.0,,99.0,0.0,,23.7,13.0,1777.0,2.0,27.6,,2.6,3.0,1046.7,27.4,59.64511406126434,28.9,46.2,1211863.0,1.67,76.38,18.4,217.0,19.5,28.2,4.3,,141.53,176.0,3955.0,3322.0,22.5
4,American Samoa,,,,0.0,,,,,,,0.0,0.3,,,,,,,,,,,,,27.2,,,,,24.9,538.0,92.7,,,,,282.0,46.0,,
6,Andorra,42066.0,191.23,11.3,2.6,,0.858,,,,,2.6,0.0,,2.5,12.0,18253.0,41.0,,,,1.0,6398.3,25.6,96.2813472682643,46.2,,,-0.21,,,64.0,,,3.2,,,453.0,57.0,,7.6
7,Angola,2258.0,,6.4,4.1,,0.586,3.66,,,,0.3,0.0,,71.5,14.0,663.0,41.0,51.3,,12.6,5.4,340.2,8.2,12.378509666797608,15.9,50.6,1165993.0,3.28,61.64,25.0,79.0,27.0,21.4,3.5,,12.3,5.0,22.0,2385.0,21.55
8,Anguilla,19216.0,,,28.3,,,,,,,0.6,,,,,,5.0,,,,,,,76.44893036247063,35.7,,,,,,240.0,88.0,,,,,867.0,,,
9,Antigua and Barbuda,15246.0,,7.0,17.2,,0.788,,,,,0.3,,,6.4,8.0,6317.0,34.0,,,0.3,2.0,89.2,18.9,83.16866733176713,32.7,,,1.01,78.5,56.0,237.0,,25.0,2.5,,123.74,232.0,,2445.0,25.85
10,Argentina,10761.0,51.51,9.8,4.6,,0.842,6.95,,66.0,,0.9,0.0,,8.6,16.0,21350.0,42.91,42.0,,8.1,2.2,1176.1,28.3,88.39999885150843,32.4,52.2,582289.0,0.94,75.39,79.7,249.0,97.9,33.2,5.5,,195.08,341.0,11514.0,3307.0,14.8
11,Armenia,4967.0,,5.5,2.2,,0.759,5.35,,73.0,,0.03,0.0,,10.9,14.0,1787.0,102.0,27.9,,2.7,1.8,1985.7,20.2,73.20419323146686,36.6,67.7,,0.15,72.04,27.7,72.0,98.9,27.1,2.3,,209.03,396.0,396.0,2997.0,7.15
