Country,Life expectancy at birth(29),Obesity rate (%) (23),Meat Consumption kg/person(30),Total Fertility rate (births/woman) (21),Population Growth Rate UN[5] 2015–20(28),Economic Freedom Score(26),Cigarettes (22),Internet users Pct (24),Median ages in years combined,Oil production April 2022(27)
Japan,84.3,4.3,45.9,1.3,-0.23,72.1,1583.2,94.2,48.6,3243.0
Switzerland,83.4,19.5,72.9,1.52,0.83,81.9,1489.8,91.4,42.7,
South Korea,83.3,4.7,48.0,0.81,0.36,72.3,1667.4,95.4,43.2,
Singapore,83.2,6.1,71.1,1.12,1.4,89.4,851.2,81.1,35.6,
Spain,83.2,23.8,118.6,1.19,0.03,65.7,1499.0,89.3,43.9,19.0
Cyprus,83.1,21.8,131.3,1.32,0.78,68.1,1961.4,76.5,37.9,
Italy,83.0,19.9,90.4,1.25,-0.13,62.2,1493.3,85.3,46.5,83151.0
Australia,83.0,29.0,108.2,1.7,1.3,80.9,917.0,81.6,37.5,310919.0
Israel,82.6,26.1,97.1,3.0,1.55,72.8,1280.7,76.3,30.4,
Norway,82.6,23.1,61.7,1.55,0.94,73.0,552.8,94.8,39.5,1704297.0
France,82.5,21.6,101.1,1.83,0.39,63.8,1089.9,92.2,41.7,11969.0
Sweden,82.4,20.6,76.1,1.67,0.72,75.2,716.2,91.3,41.1,
Luxembourg,82.4,22.6,141.7,1.38,1.27,75.9,6330.9,89.3,39.5,
Iceland,82.3,21.9,84.8,1.82,0.77,77.1,848.1,88.9,37.1,
Canada,82.2,29.4,108.1,1.43,0.9,77.7,1021.3,89.0,41.8,4543800.0
New Zealand,82.0,30.8,142.1,1.64,0.93,84.4,685.1,83.3,37.2,6551.0
Malta,81.9,28.9,86.9,1.14,0.31,68.6,1527.9,65.5,42.3,
Netherlands,81.8,20.4,89.3,1.62,0.29,76.8,1459.9,90.7,42.8,29451.0
Ireland,81.8,25.3,106.3,1.72,0.78,80.5,976.5,80.7,37.8,
Germany,81.7,22.3,82.1,1.58,0.2,73.5,1599.5,93.3,47.8,33242.0
Portugal,81.6,20.8,91.1,1.38,-0.39,65.3,1133.4,74.1,44.6,
Finland,81.6,22.2,67.4,1.46,0.36,74.9,1098.8,97.7,42.8,
Austria,81.6,20.1,94.1,1.48,0.24,72.0,1927.0,86.1,44.5,9953.0
Belgium,81.4,22.1,86.1,1.6,0.58,67.3,2440.9,86.3,41.6,
United Kingdom,81.4,27.8,79.6,1.56,0.58,78.9,827.7,96.6,40.6,744965.0
Denmark,81.3,19.7,145.9,1.72,0.38,76.7,1298.0,92.4,42.0,64791.0
Slovenia,81.3,20.2,88.0,1.64,0.07,65.5,2236.5,77.4,44.9,
Greece,81.1,24.9,78.7,1.39,-0.21,57.7,2078.6,75.9,45.3,1497.0
Kuwait,81.0,37.9,60.2,2.11,1.78,60.8,1412.7,95.4,29.7,2825724.0
Costa Rica,80.8,25.7,40.4,1.53,0.96,65.3,411.4,68.1,32.6,
Chile,80.7,28.0,66.4,1.54,0.78,75.4,769.3,76.3,35.5,2000.0
Peru,79.9,19.7,34.5,2.19,1.2,67.8,97.7,46.5,29.1,40538.0
Maldives,79.6,8.6,16.6,1.69,1.85,53.2,560.9,52.9,29.5,
Colombia,79.3,22.3,33.9,1.72,0.81,67.3,351.4,59.3,31.2,751876.0
Panama,79.3,22.7,54.5,2.33,1.55,67.2,219.3,54.5,30.1,
Czech Republic,79.1,26.0,77.3,1.83,0.06,73.7,2427.9,79.5,43.3,1687.0
Estonia,78.9,21.2,67.4,1.61,-0.23,76.6,1759.9,86.8,43.7,
Croatia,78.6,24.4,49.9,1.62,-0.58,61.4,1578.9,69.2,43.9,10977.0
Turkey,78.6,32.1,19.3,1.89,1.37,64.6,1770.7,82.5,32.2,69012.0
United States of America,78.5,41.9,124.8,1.66,0.71,76.8,1016.6,92.4,38.5,11884154.0
Ecuador,78.4,19.9,45.0,2.03,1.42,46.9,93.5,53.5,28.8,479518.0
Poland,78.3,23.1,78.1,1.33,-0.17,67.8,1363.1,90.6,41.9,17151.0
Slovakia,78.2,20.5,67.4,1.64,0.04,65.0,1500.9,81.6,41.8,43.0
Albania,78.0,21.7,38.2,1.39,0.13,66.5,2491.6,73.7,34.3,15003.0
Jordan,77.9,35.5,29.8,2.83,2.17,66.5,2306.1,58.1,23.5,20.0
Cuba,77.8,24.6,32.2,1.44,0.06,27.8,233.5,50.1,42.1,32079.0
Thailand,77.7,10.0,27.9,1.33,0.22,68.3,837.4,75.5,39.0,143083.0
China,77.4,6.2,52.4,1.16,0.39,58.4,2043.0,76.4,38.4,4089997.0
Iran,77.3,25.8,23.1,1.69,1.04,51.1,936.5,88.8,31.7,3293401.0
Qatar,77.2,35.1,90.5,1.8,2.36,72.6,1020.3,94.2,33.7,1321192.0
Uruguay,77.1,27.9,98.6,1.49,0.36,68.6,899.4,84.9,35.5,
Algeria,77.1,27.4,18.4,2.89,1.67,46.2,1046.7,59.6,28.9,1211863.0
Tunisia,77.0,26.9,25.5,2.09,1.09,55.4,1580.0,64.6,32.7,33320.0
Sri Lanka,76.9,5.2,6.6,1.99,0.35,56.4,254.6,32.7,33.7,
Bosnia and Herzegovina,76.8,17.9,21.4,1.35,-0.22,61.9,1767.2,70.9,43.3,
Argentina,76.6,28.3,79.7,1.89,0.94,52.2,1176.1,88.4,32.4,582289.0
